time	IKK	IKKIkBa	IKKIkBaNFkB	IKKIkBb	IKKIkBbNFkB	IKKIkBe	IKKIkBeNFkB	IkBa	IkBaNFkB	IkBan	IkBanNFkBn	IkBat	IkBb	IkBbNFkB	IkBbn	IkBbnNFkBn	IkBbt	IkBe	IkBeNFkB	IkBen	IkBenNFkBn	IkBet	NFkB	NFkBn
5500.0.	0.022855972490039	0.034781639725892	0.014257307227039	0.000211383120487	0.00026701208902300003	0.00013887473500900002	0.00012086880974000001	0.37321963107676304	0.07017030384672	0.061408723470347	0.007198343114734	0.090323440635482	0.004862448032163001	0.0022998038605700002	0.00041718799643800005	0.00011877218919900001	0.000635981343314	0.002750404263679	0.0009646507024970001	0.000232728451842	6.59749270919682e-05	0.00045387768728700004	0.0011406509531150001	0.0033960222802650003
5750.0.	0.023471230233483003	0.033273574526139	0.014440661355795002	0.00020985627777200003	0.000277955312604	0.00013856891835800002	0.00012653048988900002	0.347747235272437	0.06920193375591101	0.05962198292404101	0.007553522751024001	0.08463820347894101	0.004719263580465	0.002335025220376	0.000417577642285	0.00012763542172	0.0006359632885700001	0.0026829632685740003	0.000984246369146	0.000234281242158	7.133222427639109e-05	0.000453856982305	0.0012074872268610002	0.003673379872391
6000.0.	0.024174461803286	0.031669809754693	0.014608912260443	0.00020873887308300003	0.00029067237915400004	0.00013833945826	0.00013297122787500002	0.32154221319970705	0.06795432141501401	0.05475438618818	0.007935249469207	0.07934913650261101	0.004570431068939	0.0023739567969550002	0.000397984626729	0.00013844130817200002	0.000635946454438	0.0026092287322470003	0.001004876424557	0.00022447210061600002	7.780644076408795e-05	0.00045383767710800005	0.001281507153815	0.004200995124038
6250.0.	0.024962651307841	0.029994942249339	0.014738294347763001	0.00020787804528300002	0.00030509247641900003	0.00013809693685000002	0.000140106735612	0.295213660312702	0.06635660580138	0.046933930723661005	0.00830391427963	0.074441905257165	0.004416245193389	0.0024153299057270003	0.000356621481065	0.000150912224475	0.000635930758398	0.002529689315813	0.0010256451845140002	0.00020213386774900003	8.525598893346548e-05	0.00045381967706200005	0.0013605445382310001	0.005118008517310001
6500.0.	0.025840524407957	0.028285140944342	0.014785802589474002	0.00020724217745900003	0.00032096373223600003	0.00013783316211900002	0.000147748927093	0.269352843802097	0.064235306930548	0.036574005646846	0.008572522689359001	0.069918605497155	0.004258727416601001	0.0024557633175370003	0.000293067857851	0.00016415741782800002	0.0006359161235060001	0.002445799871869	0.0010446606310390001	0.000166877893617	9.318626092203685e-05	0.00045380289392900005	0.0014397543217360002	0.006739843182223
6750.0.	0.026833344926105004	0.026600712076278003	0.014663505627753001	0.00020701167390900003	0.00033771883950300003	0.000137690722227	0.000155513413721	0.24460174511155303	0.061179829895262	0.024686175071658004	0.00853909026352	0.065829045721754	0.004102592876113	0.0024876823269450003	0.00021101836012400003	0.00017542263881800002	0.0006359024780240001	0.002360545936759	0.0010579339721280001	0.00012067720123100001	0.00010002819278800001	0.00045378724544100003	0.0015079846114	0.009795000218158
7000.0.	0.028015080568988004	0.025055248061198	0.014180505224837001	0.000207819284498	0.00035406104514400005	0.00013813734302500002	0.00016253835231800002	0.22182709814470902	0.056291829016515006	0.013483273760827	0.007807144637847	0.062386191119678004	0.003957745548179	0.0024937658278600004	0.000124762044592	0.00017756140535500002	0.0006358897550610001	0.002279866174077	0.001056469727678	7.162768816176741e-05	0.000101662170975	0.00045377265488700006	0.001539295326721	0.015834877264744
7250.0.	0.029491099662149002	0.023857115375001	0.013018578434512	0.00021110238302	0.00036671653994700004	0.000140211843384	0.00016674060477200002	0.20253335919248902	0.048445795755782006	0.006154259856967	0.006210587914227001	0.060315205077533005	0.0038438141656970005	0.002439794462941	6.2059903082136e-05	0.000161642535898	0.000635877892249	0.0022152534294710004	0.001022814962374	3.5728035239531075e-05	9.285774753285267e-05	0.000453759050744	0.001485641154109	0.0265885398879
7500.0.	0.031078752745912003	0.023247120202453002	0.011120675818936	0.00021838170708100003	0.000368483423384	0.000144988416235	0.00016417393686800002	0.18926937038295202	0.03871982515576	0.0032342558909090003	0.004799552293979	0.061112822057291	0.003788446365273	0.002293687283418	3.466523059834112e-05	0.00013697694786200001	0.000635866831436	0.0021829803469910003	0.0009425350806880001	1.997241283169725e-05	7.884432684884384e-05	0.000453746366326	0.0013198597259110002	0.040055096006339004
7750.0.	0.032112087460493	0.023285690938625002	0.00911066101102	0.0002284478552	0.00035180447998200005	0.00015164435365300002	0.00015214510464000002	0.18477389402883101	0.030581127722982004	0.002299804891499	0.004212910829661001	0.0658653478013	0.0038055052933480002	0.002075427206683	2.5302275225029266e-05	0.000121214244276	0.000635856518402	0.002192063852617	0.0008308234145440001	1.4575047834551733e-05	6.981429343243618e-05	0.000453734539452	0.001102518018983	0.05139126367379301
8000.0.	0.03210111879711	0.023879518566082003	0.007598899892025001	0.000237276156202	0.00031842498595600004	0.00015755675989800001	0.000133677977757	0.190322279410282	0.025711912623305	0.002023392477414	0.004117294344804	0.074000176813341	0.0038820367519850005	0.0018442052745910001	2.204773268383356e-05	0.000115077462337	0.000635846902594	0.002236688109733	0.0007211836589120001	1.270181633337512e-05	6.628697266131443e-05	0.00045372351214900003	0.0009133418865940001	0.058459404921053004
8250.0.	0.031044284356195002	0.024889722632730003	0.006748371550269001	0.00024130604506900002	0.000278194916901	0.00016048656994500002	0.000114610947055	0.205336414032168	0.023949870598818	0.002047844018951	0.004308322818505001	0.083830132048649	0.003993235997839	0.0016489100080010002	2.131062381992265e-05	0.000114211192979	0.0006358379368730001	0.0023040689466560004	0.00063711939963	1.2291909153170892e-05	6.582689979812021e-05	0.00045371323035900006	0.000784751979805	0.061349519688235
8500.0.	0.029252419421593002	0.026110763848980003	0.006469625074287001	0.00023922721491600001	0.00024058557923500003	0.000159613159297	9.895925540879685e-05	0.227860647802575	0.024725987295137003	0.0022710497258010003	0.004696540148029	0.09351250533881701	0.004116844281498	0.001512219173824	2.199020182769342e-05	0.00011573607211100001	0.0006358295772900001	0.00238218407778	0.0005864547190590001	1.2716635468606282e-05	6.681960234923552e-05	0.000453703643682	0.000713786632834	0.06077299644772301
8750.0.	0.027126707616852003	0.027301545818773	0.006611126475698	0.000231822357532	0.00021056901773600003	0.00015540737765600002	8.796594303365555e-05	0.255113944602888	0.02755651808676	0.0026686593322	0.005207587881103	0.101572405390614	0.004237610534798	0.001436909561918	2.3776328676953263e-05	0.00011809598274100001	0.000635821782867	0.002462212105141	0.0005673629230730001	1.3802674767707092e-05	6.838665497408372e-05	0.000453694705123	0.0006856495321810001	0.057449537940778006
9000.0.	0.025003910786660002	0.028263445512909	0.007035750689587001	0.000220988056057	0.00018916624310700002	0.000149039890518	8.121703481275781e-05	0.283962100337455	0.032049983168963	0.0032548893145450002	0.005764487041725001	0.10707293435878001	0.004346539894706	0.0014157481696350002	2.6726525293223003e-05	0.00012043607636500001	0.0006358145153950001	0.0025382851402760004	0.000574346073787	1.559002171492106e-05	7.002996493545034e-05	0.00045368637086600004	0.0006862969177050001	0.052012248619373
