time	Akt	AktPIP	AktPIP3	AktPIPP	E	ERK	ERKP	ERKPP	GS	HRG	MEK	MEKP	MEKPP	MKP3	PI3K	PI3Kstar	PIP3	PP2A	P_I	R	RHRG	RHRG2	RP	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	internalization
486.0.	4.456123293214363	1.168956341373892	0.47730808954402504	3.8976122758676173	7	123.98010823552545	182.49496971775525	693.5249220467193	9.970512094472625	250.02933254272747	1.31261993695826	58.31944403452088	60.36793602852078	2.4	3.662229614488115	5.752471062949937	0.04943447183604	11.4	794.4066888213848	0.029332542728533	11.5723089460966	13.380282566648816	13.43814262734868	0.41671205116137205	0.168587271400536	0.029205565205305	0.026674897537660003	0.007243283576067	99.90424434068318	0.09575565931685301	119.9999876318771	1.2368123150991852e-05	0.000282340322594	999.9226551671676	0.013938746186946	6.732330992708733
504.0.	4.548279882671327	1.164491630813658	0.48558996105344904	3.801638525461465	7	116.7553985892673	178.64488656936433	704.5997148413683	9.970776561678878	250.029227618888	1.4168762749798112	61.12012271199423	57.46300101302591	2.4	3.683561143048235	5.733761689724194	0.049273175689761	11.4	794.4990067069882	0.029227618889046004	11.53091191333551	13.284687160951766	13.316885016780295	0.41535132783947104	0.167325839388058	0.028941107514630002	0.026432827795357	0.007182762729483001	99.9182104731073	0.08178952689275701	119.99998763229408	1.2367706166490441e-05	0.000282330807025	999.9231407741083	0.014020197041221	6.973124190888402
522.0.	4.643076912571209	1.159331807196716	0.49408712115350306	3.703504159078442	7	110.35179265197633	175.43033714141225	714.2178702066115	9.971038049271051	250.02912310455787	1.531506088794307	63.89855123086546	54.56994268034014	2.4	3.704894879914677	5.715038751551859	0.049111762686153006	11.4	794.5939651498916	0.029123104558919	11.48967652321512	13.189805821780736	13.196984943197295	0.41398973919380205	0.166076629339622	0.028679629318679	0.026193497940443	0.007122926872364	99.93001551058522	0.06998448941483501	119.99998763270582	1.2367294412060891e-05	0.00028232141079800004	999.9236194114628	0.014102212990768002	7.211746998469775
540.0.	4.740128985856353	1.153459191373574	0.5027559031175001	3.603655919652453	7	104.67858537064474	172.82442436193278	722.4969902674223	9.97129659910965	250.02901899865998	1.6566515601760932	66.64249824121445	51.700850198609345	2.4	3.726230136501661	5.696303042132575	0.048950238062440005	11.4	794.6911787478003	0.029018998661030002	11.448602349019193	13.095633571295584	13.078423528454046	0.41262734076594504	0.16483948059977702	0.028421088759126002	0.025956869233041004	0.007063766319233	99.94000057689439	0.05999942310568301	119.99998763311244	1.2366887793252502e-05	0.00028231213176	999.924091166446	0.014184797106733002	7.448223680732858
558.0.	4.839036028436005	1.146864751846508	0.511551628260917	3.502547591456429	7	99.65630645087182	170.79928708343508	729.5444064656931	9.971552252338372	250.02891530010336	1.792468237643524	69.34065237691676	48.866879385439624	2.4	3.747566226912269	5.677555350141609	0.048788606978395	11.4	794.790247421464	0.028915300104401003	11.407688958602316	13.00216544897026	12.961182212855304	0.41126418776418805	0.163614235181891	0.028165444694357004	0.025722903602008	0.007005271551803	99.94845304262388	0.051546957376198	119.99998763351401	1.2366486217484872e-05	0.00028230296779600003	999.9245561247011	0.014267952479105001	7.682578166026552
576.0.	4.939383605006518	1.139548848946381	0.5204286665966921	3.400638879450267	7	95.21535574553943	169.32713782985692	735.4575064246037	9.971805049398526	250.02881200778364	1.939116183563919	71.98259759541713	46.07828622101889	2.4	3.768902467980711	5.6587964592379585	0.048626874549547006	11.4	794.8907567304633	0.028812007784716	11.366935914593563	12.909396512138251	12.845242748914458	0.409900335063601	0.162400737717686	0.027912656685164003	0.025491563631441002	0.006947433215610001	99.95561469926618	0.044385300733906	119.99998763391064	1.2366089594022461e-05	0.000282293916836	999.9250143703304	0.014351682216737001	7.91483405144438
594.0.	5.040744232773032	1.131521822527821	0.5293406015870711	3.298393343111954	7	91.29478409310893	168.380945985686	740.3242699212052	9.972055030042982	250.0287091205838	2.096752461966098	74.55878797905751	43.34445955897629	2.4	3.790238179314436	5.640027148071667	0.04846504588020201	11.4	794.9922791868994	0.028709120584829002	11.326342774595169	12.817321836514516	12.73058719524741	0.408535837206046	0.16119883540780502	0.027662684980699	0.025262812547451	0.006890242116699001	99.96168881194356	0.038311188056526	119.99998763430239	1.2365697833926503e-05	0.000282284976852	999.925465985927	0.014435989447343001	8.145014608389095
612.0.	5.142679618401003	1.122804397433644	0.538240488745791	3.1962754954194112	7	87.84121039887005	167.93485416642653	744.2239354347035	9.97230223334992	250.02860663737422	2.265524494974354	77.06052401401307	40.6739514910125	2.4	3.811572683336082	5.621248190290347	0.048303126097401006	11.4	795.0943764923103	0.028606637375253003	11.28590909137618	12.725936516694489	12.617197910599053	0.40717074840015305	0.160008377973374	0.027415490504758003	0.025036614205238002	0.006833689218397001	99.96684616245268	0.033153837547417	119.99998763468938	1.236531085001063e-05	0.000282276145853	999.9259110526043	0.014520877317515002	8.37314278802855
630.0.	5.244743775332266	1.113427874923618	0.547081201351694	3.094747148392286	7	84.80786419209929	167.96439627422848	747.2277395336721	9.972546697736252	250.02850455701355	2.445563972083236	79.47993220736839	38.07450382054834	2.4	3.832905305325252	5.602460354544912	0.048141120386136	11.4	795.1966026549528	0.028504557014644	11.245634413061271	12.635235666630688	12.505057547999044	0.405805122521247	0.15882921760854302	0.027171034842388003	0.024812933076481	0.006777765638158	99.97123019837169	0.028769801628429	119.99998763507166	1.2364928556810771e-05	0.000282267421889	999.9263496500246	0.014606348992733002	8.599241226645242
648.0.	5.3464869845622385	1.103434075369358	0.555815857256689	2.994263082811511	7	82.15374228940921	168.44657044557744	749.3996872650135	9.972788460970714	250.0284028783492	2.636981116752212	81.80994951199091	35.55306937125687	2.4	3.854235373460107	5.583664404494644	0.047979034025523004	11.4	795.2985079505436	0.028402878350266003	11.205518283314786	12.54521442008784	12.394149049044154	0.40443901311122804	0.157661208933979	0.026929280226770002	0.024591734236984002	0.006722462644478001	99.9749614008383	0.025038599161827	119.99998763544936	1.2364550870539231e-05	0.00028225880305	999.9267818564275	0.014692407657373	8.823332250881798
