time	ADP	ATP	BPG	Glc	NAD	NADH	P3G	gap	pep	pyr
92.0.72.0	0.00021151123620400002	9.999788488763798	0.0027287374915330002	7.826339275280295	0.00021158148027900002	0.199788418519721	0.8233989563084301	2.538872306200031	7.823610467544662	2.326389532455361
93.0.94.0	0.000209464020946	9.999790535979054	0.002714544717371	7.806260010306245	0.00020954464353000003	0.19979045535647003	0.803335920945293	2.558949534337332	7.80354538496627	2.346454615033757
95.0.16.0	0.000207388666583	9.999792611333417	0.002699488031974	7.786427082050728	0.000207479681885	0.199792520318116	0.783520114336816	2.5787803976312063	7.783727503003429	2.3662724969965963
96.0.38.0	0.000205285162687	9.999794714837313	0.002683573448342	7.766841539281965	0.000205386579984	0.199794613420016	0.7639525792535871	2.5983638472980672	7.764157864416303	2.3858421355837223
97.0.6.0	0.00020315351680300002	9.999796846483195	0.002666807273677	7.74750442727001	0.000203265340206	0.19979673465979403	0.7446343546560731	2.617698838070244	7.744837508172907	2.405162491827117
98.0.82.0	0.00020099375548000002	9.999799006244519	0.0026491961245930003	7.728416786686241	0.000201115983676	0.199798884016325	0.725566474577917	2.636784329297484	7.725767468333429	2.424232531666596
100.0.03999999999999.0	0.000198805925325	9.999801194074674	0.0026307469429600002	7.7095796524325415	0.000198938551326	0.19980106144867402	0.706749966938198	2.655619286118834	7.706948772863557	2.4430512271364693
101.0.25999999999999.0	0.00019659009412700002	9.99980340990587	0.0026114670124380004	7.690994052396318	0.000196733105002	0.19980326689499803	0.688185852278819	2.674202680708734	7.688382442372982	2.461617557627044
102.0.48.0	0.00019434635201500002	9.999805653647984	0.0025913639756910004	7.672661006127335	0.000194499728615	0.19980550027138502	0.6698751424229691	2.69253349360133	7.67006948877502	2.479930511225007
103.0.7.0	0.000192074812672	9.999807925187328	0.0025704458523140004	7.65458152343217	0.00019223852935000002	0.19980776147065002	0.651818839050445	2.7106107150972303	7.652010913863155	2.497989086136872
104.0.92.0	0.00018977561460700002	9.999810224385394	0.0025487210574940003	7.636756602881959	0.00018994963892400002	0.19981005036107602	0.6340179321854791	2.728433346757015	7.634207707800125	2.515792292199902
106.0.14.0	0.000187448922471	9.999812551077532	0.002526198421416	7.619187230228896	0.00018763321489500003	0.19981236678510603	0.616473398592524	2.746000402986047	7.6166608475150355	2.5333391524849933
107.0.36.0	0.000185094928433	9.99981490507157	0.002502887209432	7.601874376726832	0.00018528944203300001	0.199814710557967	0.5991862000753051	2.763310912715249	7.59937129500378	2.550628704996249
