time	AMP	Acetic_acid	Amadori	C5	Cn	Formic_acid	Fru	Glu	Melanoidin	Triose	lys_R
14.0.4.0	1.234785802976837	1.688343197603102	1.169257506606297	1.149524210127589	0.044309548140996004	1.149524210127589	18.857354620905472	133.75528573926104	1.156124391336523	2.022958610505776	11.43983229908033
14.0.8.0	1.2524713327521	1.743857615502781	1.160062850225069	1.183000589853425	0.047953699040994	1.183000589853425	19.276553370752936	133.12568949970344	1.218380499699737	2.127922182060472	11.369085317323075
15.0.200000000000001.0	1.268969121260471	1.799143317164202	1.150629470896224	1.216542405501684	0.05178409122412601	1.216542405501684	19.690821627437895	132.50075751900303	1.28149198330007	2.235073202095331	11.298909424543218
15.0.600000000000001.0	1.284318857584379	1.854194342557007	1.140995217896749	1.250148371513011	0.05580453792092201	1.250148371513011	20.100210240613418	131.88044489896896	1.345400380636361	2.34437991837945	11.229285543882494
16.0.	1.298560410648583	1.9090062710643112	1.131193935412447	1.283817216197844	0.060018796907134006	1.283817216197844	20.50476949721517	131.26470738443948	1.41004922238968	2.4558109221701923	11.160196431549272
16.0.400000000000002.0	1.311733606081538	1.963576052988624	1.121255871799187	1.317547681608839	0.064430571103572	1.317547681608839	20.904549128750897	130.65350133741129	1.475384034695898	2.569335144428984	11.091626487423357
16.0.8.0	1.323878035762075	2.017901858331766	1.111208047099828	1.351338523411831	0.069043509169338	1.351338523411831	21.29959831838805	130.04678371346398	1.541352332083749	2.6849218520846323	11.02356158505433
17.0.2.0	1.33503289622919	2.071982941086444	1.101074583083082	1.385188510755631	0.07386120608853601	1.385188510755631	21.689965707859905	129.44451204024045	1.607903601616981	2.802540644343021	10.955988919070725
17.0.6.0	1.34523685254757	2.12581951745725	1.090876999633504	1.419096426140947	0.078887203750545	1.419096426140947	22.075699404207803	128.84664439776756	1.67498927959848	2.9221614490421093	10.888896868220426
18.0.	1.35452792459258	2.179412656590484	1.080634480929631	1.4530610652887122	0.08412499152392801	1.4530610652887122	22.45684698637455	128.2531394004262	1.742562722033077	3.043754519051253	10.822274872444693
18.0.400000000000002.0	1.362943393050379	2.232764182537311	1.070364114495366	1.487081237008022	0.08957800682406	1.487081237008022	22.83345551166219	127.66395618039836	1.810579169902336	3.167290428713991	10.7561133225519
18.0.8.0	1.37051972272572	2.285876586304974	1.060081105893914	1.5211557630639132	0.095249635674541	1.5211557630639132	23.205571522065142	127.0790543724391	1.8789957101767	3.292740070333454	10.69040346120365
19.0.200000000000003.0	1.377292501015405	2.338752946967712	1.049798971550228	1.555283478045135	0.101143213262482	1.555283478045135	23.573241050488623	126.49839409983649	1.9477712333767299	3.420074650699649	10.62513729405762
19.0.6.0	1.383296389642705	2.391396860913971	1.039529711933564	1.589463229232119	0.10726202448772101	1.589463229232119	23.936509626860392	125.92193596143713	2.016866388393949	3.549265687657929	10.56030751002976
20.0.	1.388565087960152	2.44381237840072	1.029283967103548	1.6236938764652482	0.11360930450605601	1.6236938764652482	24.295422284143086	125.34964101962832	2.086243535191891	3.680285006717967	10.495907409744389
20.0.400000000000002.0	1.393131306317604	2.496003946670238	1.019071156418318	1.657974292013587	0.120188239266555	1.657974292013587	24.650023564253328	124.78147078917978	2.155866695928037	3.813104737702635	10.431930841336015
20.0.8.0	1.397026748161835	2.547976358960713	1.008899604019465	1.6923033604441642	0.127001966043014	1.6923033604441642	25.000357523892674	124.21738722685704	2.2257015049664473	3.947697311436192	10.368372142852227
