time	CC	Cn	Mp	Mt	P0	P1	P2	T0	T1	T2
43.0.92.0	0.9928181641249081	1.929418436034303	1.085750609719959	1.085750609719959	0.42213313480444903	0.528981195784726	0.7330428845221401	0.42213313480444903	0.528981195784726	0.7330428845221401
44.0.64.0	0.837740803828608	2.026778995429171	0.711776984226552	0.711776984226552	0.27861884485995303	0.369407946628854	0.5462382323215801	0.27861884485995303	0.369407946628854	0.5462382323215801
45.0.36.0	0.65106781987659	2.039952195060278	0.381452096882589	0.381452096882589	0.158955866989541	0.22506784905378902	0.324781003485067	0.158955866989541	0.22506784905378802	0.324781003485067
46.0.08.0	0.492868453206653	1.9803559067074392	0.14475889620266902	0.14475889620266902	0.07145770664494401	0.11011398211999801	0.13739031852904202	0.07145770664494401	0.11011398211999801	0.13739031852904202
46.0.8.0	0.39538686382854005	1.8781361223175912	0.04612579412570501	0.04612579412570501	0.025012620143944002	0.041930373630206005	0.054605337649275006	0.025012620143944002	0.041930373630206005	0.054605337649275006
47.0.519999999999996.0	0.340475703721268	1.76085903138945	0.030909090262759002	0.030909090262759002	0.010920057646934002	0.016798582940514003	0.031205692505094	0.010920057646934002	0.016798582940514003	0.031205692505094
48.0.239999999999995.0	0.30563296287111	1.642683730782318	0.036396490041656	0.036396490041656	0.009333413350313001	0.011390157320229001	0.024725478219577	0.009333413350313001	0.011390157320229001	0.024725478219577
48.0.96.0	0.279826638461046	1.529208140518925	0.04782954256217101	0.04782954256217101	0.011299405601814002	0.011968629820389001	0.022806026748118	0.011299405601814002	0.011968629820389001	0.022806026748118
49.0.68.0	0.25844899908602803	1.422313327056208	0.06397236134513401	0.06397236134513401	0.014817759687336	0.014583237876024	0.022358393752828002	0.014817759687336	0.014583237876024	0.022358393752828002
50.0.4.0	0.23961344883559602	1.322408684455033	0.085900336319085	0.085900336319085	0.01976939481904	0.018574905376219003	0.022744055721545003	0.01976939481904	0.018574905376219003	0.022744055721545003
51.0.12.0	0.22252914509200802	1.229348012780112	0.115398975244987	0.115398975244987	0.026512519250762003	0.024125465859287	0.023941554356917003	0.026512519250762003	0.024125465859287	0.023941554356917003
51.0.839999999999996.0	0.20684413713213	1.14279183598428	0.154751927436341	0.154751927436341	0.035607285606506	0.031684492444479004	0.026123978061422002	0.035607285606506	0.031684492444479004	0.026123978061422002
52.0.559999999999995.0	0.192388244057829	1.062349583971886	0.20662377741163102	0.20662377741163102	0.047764007155890006	0.041855826288021	0.029576473210537003	0.047764007155890006	0.041855826288021	0.029576473210537003
53.0.28.0	0.17907704349230602	0.9876366436466291	0.27380963697327104	0.27380963697327104	0.06380735970539	0.055358874383043	0.034687996120830004	0.06380735970539	0.055358874383043	0.034687996120830004
54.0.	0.16688249502673302	0.9183004522172581	0.358815235172359	0.358815235172359	0.084609388977032	0.07297592033305801	0.041956924174289006	0.084609388977032	0.07297592033305801	0.041956924174289006
54.0.72.0	0.15583485318378001	0.854038229711061	0.463355544848539	0.463355544848539	0.11099120113188901	0.095472295460685	0.051998161911156006	0.11099120113188801	0.095472295460685	0.051998161911156006
55.0.44.0	0.146044838320495	0.7946172925756141	0.587952295734399	0.587952295734399	0.143620499221389	0.123507943096179	0.065553914366435	0.143620499221389	0.123507943096179	0.065553914366435
56.0.16.0	0.137746067293563	0.7399054453811761	0.731791937624485	0.731791937624485	0.182940738322173	0.15757199153912602	0.083514742962772	0.182940738322173	0.15757199153912602	0.083514742962772
56.0.879999999999995.0	0.13136439742483902	0.6899193334751641	0.892876313044167	0.892876313044167	0.22915186314464803	0.19796236684905902	0.10695246453837501	0.22915186314464903	0.19796236684905902	0.10695246453837501
57.0.599999999999994.0	0.12762596283448002	0.6449013058192491	1.068362902712384	1.068362902712384	0.28223574556374803	0.24480826279021903	0.137151566333358	0.28223574556374803	0.24480826279021903	0.137151566333358
58.0.32.0	0.127717314330127	0.6054391267092071	1.254939881132776	1.254939881132776	0.342001252525834	0.29811220410702605	0.17560284926091002	0.342001252525834	0.29811220410702605	0.17560284926091002
59.0.04.0	0.133500565211767	0.572644723270853	1.449109708642069	1.449109708642069	0.408120414121154	0.357780031384812	0.22389631522135	0.408120414121154	0.357780031384812	0.22389631522135
59.0.76.0	0.147746922170542	0.548400232110785	1.647303890586095	1.647303890586095	0.48013026537040304	0.42360893904100805	0.28343750484868	0.48013026537040304	0.42360893904100805	0.28343750484868
60.0.48.0	0.17426862384233902	0.535648085788145	1.845765667735006	1.845765667735006	0.557372359146316	0.49521081899780306	0.354956256425683	0.557372359146316	0.49521081899780306	0.354956256425683
61.0.199999999999996.0	0.217728844651699	0.538635632813372	2.040078071752883	2.040078071752883	0.6388206411856641	0.57185591201364	0.43791849642974	0.6388206411856641	0.57185591201364	0.43791849642974
61.0.919999999999995.0	0.282903132555737	0.562942004480923	2.224040524591056	2.224040524591056	0.722687971914812	0.6522116573375261	0.5301168006431081	0.722687971914813	0.6522116573375261	0.5301168006431081
62.0.64.0	0.373369250750321	0.615083080379908	2.3872967373858582	2.3872967373858582	0.8055740069482381	0.7338812820440801	0.627670515739262	0.8055740069482381	0.7338812820440801	0.627670515739262
63.0.36.0	0.48988071425154206	0.7015706767949991	2.5110939430014563	2.5110939430014563	0.8807703770771911	0.8124977408231601	0.725285354568029	0.8807703770771911	0.8124977408231601	0.725285354568028
64.0.08.0	0.6286438931307371	0.8274301488139171	2.5639996817291397	2.5639996817291397	0.93572578273283	0.880093774486785	0.8162378763230811	0.93572578273283	0.880093774486785	0.8162378763230811
64.0.8.0	0.7793796320567231	0.9941976986319051	2.5076375037083363	2.5076375037083363	0.9512727651761781	0.9233289625172231	0.8917612781191091	0.9512727651761791	0.9233289625172221	0.8917612781191091
65.0.52.0	0.923416810641399	1.197395728707419	2.322815996800416	2.322815996800416	0.9091120229482771	0.9246859697621741	0.940545700560041	0.9091120229482771	0.9246859697621731	0.940545700560041
66.0.24.0	1.03396449765713	1.423936818603565	2.030157415477624	2.030157415477624	0.8067806439608021	0.870328563731615	0.94984184751494	0.8067806439608021	0.870328563731614	0.94984184751494
66.0.96.0	1.0817298519585221	1.6510215531553931	1.67228450094232	1.67228450094232	0.6625658038719441	0.7606480526750311	0.9082565300569071	0.6625658038719441	0.7606480526750311	0.9082565300569071
67.0.67999999999999.0	1.045840794127503	1.848621121674234	1.287283001963276	1.287283001963276	0.5033198410323391	0.612745946805307	0.8085472973427381	0.5033198410323391	0.612745946805307	0.8085472973427381
68.0.39999999999999.0	0.9256906725703531	1.9863660451019411	0.903065003343484	0.903065003343484	0.350793531633916	0.451412024269558	0.6497482724034981	0.350793531633916	0.451412024269557	0.6497482724034981
69.0.12.0	0.7485312494408961	2.043489632303709	0.545417728154537	0.545417728154537	0.21778067346354402	0.297464619669079	0.44163448828640806	0.21778067346354402	0.297464619669079	0.44163448828640806
69.0.84.0	0.568230542847029	2.018822950692438	0.25220353653919503	0.25220353653919503	0.11232388493034201	0.165154312046793	0.224116228609287	0.11232388493034201	0.165154312046793	0.224116228609287
70.0.56.0	0.438965580543608	1.934626041428997	0.08109330926032601	0.08109330926032601	0.043930411980732005	0.070926978553064	0.085633653005156	0.043930411980732005	0.070926978553064	0.085633653005156
71.0.28.0	0.36541900985027004	1.822601210426913	0.03384105281381	0.03384105281381	0.015604951569269	0.025954281964699	0.039679411549198004	0.015604951569269	0.025954281964699	0.039679411549198004
72.0.	0.32214939331539705	1.703804865207044	0.032474403352646	0.032474403352646	0.009411184139415	0.012918792462052001	0.027108817268917004	0.009411184139415	0.012918792462052001	0.027108817268917004
