time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
6400.0.	2.464746905263609	997.535156783733	499.999975922	178.06687968388502	734.428217947839	2082.478992750914	3854.7732713861756	5646.8960938591645	587.7412524921664	17.525125713638754	0.560199938345136	47.04879485296522	3952.3908125886815	134.5845704255074	27.561957977669604	54.520117396099	99.9999903689	499.999951844
6600.0.	2.472169128024209	997.5277345609722	499.999975922	177.45768195324078	729.7195827261658	2067.040401713723	3863.7858491058946	5660.099649960995	588.3919568615291	17.48361907492526	0.549924659848411	46.61910066661473	3952.8307820535283	134.75316566577445	27.565229471731787	54.34825066176897	99.9999903689	499.999951844
6800.0.	2.478150075181722	997.5217536138147	499.999975922	176.96973715682518	725.9322442038319	2054.6248538643054	3871.042677432354	5670.731007211529	588.9132150528732	17.450305679998664	0.541862885991038	46.279086907880725	3953.1788575861206	134.88825564898613	27.56780654310352	54.210583607188234	99.9999903689	499.999951844
7000.0.	2.48296975485854	997.516933934138	499.999975922	176.5784360505107	722.8849662174756	2044.637597528972	3876.886971488725	5679.292981023092	589.331275465662	17.423546373528787	0.535503453978813	46.00904102937868	3953.455262896635	134.99662216926637	27.569845494854558	54.10017813515815	99.9999903689	499.999951844
7200.0.	2.486853842784705	997.5130498462119	499.999975922	176.26432196290503	720.4323772779302	2036.6012301364444	3881.594543452015	5686.1896404340205	589.6668989035234	17.402037023280073	0.5304651822810711	45.793929949046095	3953.675412248664	135.08363362470453	27.571464466931147	54.01154770764541	99.9999903689	499.999951844
7400.0.	2.489984145037189	997.5099195439595	499.999975922	176.01196131798991	718.4578618930091	2030.1327421779938	3885.3870992460816	5691.745787963791	589.936558723377	17.384737848337434	0.5264597978719351	45.62217178378202	3953.851175798338	135.1535525190907	27.57275371315773	53.9403395670315	99.9999903689	499.999951844
7600.0.	2.492507102014916	997.5073965869817	499.999975922	175.8090770463883	716.8678342263452	2024.9248259688243	3888.4429154012696	5696.222601384657	590.1533625622991	17.370818281016508	0.5232667356021771	45.48476821058847	3953.991772433801	135.20977221439645	27.573782818696845	53.88309076618649	99.9999903689	499.999951844
7800.0.	2.494540666329176	997.5053630226676	499.999975922	175.6458795429807	715.5871498747887	2020.7308170771985	3890.9053992803283	5699.830174594126	590.3277645479902	17.35961379873159	0.520715602335737	45.37467967860033	3954.104412099056	135.2550002250964	27.57460585281275	53.837039721370274	99.9999903689	499.999951844
8000.0.	2.49617985070679	997.5037238382898	499.999975922	175.5145469762067	714.5554378927834	2017.3526252808902	3892.8899497385496	5702.737568595505	590.4681189138097	17.350591999680375	0.51867371636485	45.28636775529036	3954.1947659083357	135.2914009176561	27.575265105025693	53.79997977659607	99.9999903689	499.999951844
8200.0.	2.497501196934239	997.5024024920624	499.999975922	175.40881931746452	713.7241701812814	2014.631082905805	3894.489456915462	5705.080868782567	590.5811127277325	17.3433258445033	0.517037086575685	45.21545482784103	3954.2673154655754	135.32070718902685	27.57579383330561	53.77014477694635	99.9999903689	499.999951844
8400.0.	2.498566373412905	997.5013373155838	499.999975922	175.32367959297	713.0543192455359	2012.4382307156723	3895.778713398714	5706.969647365464	590.6721058184901	17.33747247823871	0.51572377331831	45.15846773505115	3954.3256158716235	135.34430828216534	27.576218312239522	53.746119204873466	99.9999903689	499.999951844
8600.0.	2.499425070620636	997.5004786183761	499.999975922	175.25510250586936	712.5144847590591	2010.6711504781451	3896.8179544802947	5708.492149901808	590.7453989658761	17.33275641795323	0.514668931113573	45.11264243714353	3954.3724960117356	135.36331912521476	27.576559377595586	53.72676729646801	99.9999903689	499.999951844
8800.0.	2.50011733153025	997.4997863574664	499.999975922	175.19985543271454	712.0793936862846	2009.2470304587007	3897.6557012815097	5709.719460518675	590.8044462860754	17.328956170906938	0.5138210604840731	45.07577374825668	3954.4102125712525	135.37863527820798	27.576833603345836	53.711176917724075	99.9999903689	499.999951844
9000.0.	2.500675427500601	997.4992282614961	499.999975922	175.15534037205117	711.728698308056	2008.0992137766316	3898.3310454154002	5710.708848977692	590.8520239584128	17.325893559236107	0.513139143288538	45.04609878606203	3954.440569450642	135.39097660761152	27.577054206849546	53.69861498481771	99.9999903689	499.999951844
9200.0.	2.501125368560696	997.4987783204358	499.999975922	175.11946807727384	711.4460120930017	2007.1740308887086	3898.8754858833167	5711.506461755932	590.8903646248423	17.3234251875814	0.512590433101493	45.02220594899422	3954.465010997897	135.40092209004257	27.577231750499102	53.68849195873638	99.9999903689	499.999951844
9400.0.	2.501488119580349	997.498415569416	499.999975922	175.09055759343556	711.2181357059862	2006.428258351634	3899.314406668096	5712.149486741657	590.9212646836023	17.32143561265835	0.5121487375660351	45.00296342010574	3954.4846952223206	135.40893760622387	27.57737468928422	53.680333503769596	99.9999903689	499.999951844
9600.0.	2.50178057978375	997.4981231092124	499.999975922	175.06725592110905	711.0344352038437	2005.827078403384	3899.668265787587	5712.667895215009	590.9461701004808	17.319831868099236	0.5117930744528051	44.98746273999275	3954.500551565546	135.41539817614947	27.577489800558233	53.673757822568035	99.9999903689	499.999951844
9800.0.	2.502016371792488	997.4978873172038	499.999975922	175.04847367624183	710.8863421813926	2005.342439514267	3899.9535524824587	5713.085844141932	590.9662451425532	17.318539070899558	0.511506614389175	44.9749740967523	3954.5133266688504	135.4206057731383	27.577582522975053	53.66845750316386	99.9999903689	499.999951844
10000.0.	2.5022064773331643	997.497697211663	499.999975922	175.03333349595832	710.7669517367706	2004.951738317029	3900.1835579762524	5713.422805348628	590.9824275010834	17.317496892648048	0.5112758453533081	44.96491078476165	3954.5236207498774	135.42480361287036	27.57765722486294	53.66418496154259	99.9999903689	499.999951844
10200.0.	2.502359749471054	997.4975439395254	499.999975922	175.02112862294786	710.6706989713807	2004.6367593784105	3900.368996260945	5713.694474981203	590.995472543454	17.316656723282634	0.511089909961286	44.95680087688293	3954.531916593148	135.4281876260997	27.57771741743592	53.66074075573879	99.9999903689	499.999951844
10400.0.	2.502483325399599	997.497420363597	499.999975922	175.01128963236675	710.5930985865825	2004.3828220096107	3900.51850419138	5713.913506151041	591.0059888672241	17.31597939009347	0.510940078202214	44.95026459687821	3954.538602704912	135.43091567744543	27.577765924641863	53.65796419718708	99.9999903689	499.999951844
10600.0.	2.502582959121146	997.4973207298755	499.999975922	175.00335768226128	710.5305352068381	2004.1780934417166	3900.639044415884	5714.090099233807	591.0144668850256	17.315433322395958	0.510819326887202	44.944996212972335	3954.543991840132	135.43311497785265	27.57780501877302	53.65572580264825	99.9999903689	499.999951844
10800.0.	2.5026632895861143	997.4972403994107	499.999975922	174.99696299659578	710.4800945064775	2004.013035766477	3900.736230063666	5714.232477541017	591.021301818863	17.31499307421821	0.510722003529957	44.9407495283668	3954.548335848095	135.43488804779008	27.57783652894017	53.65392122254205	99.9999903689	499.999951844
11000.0.	2.502728056825736	997.4971756321712	499.999975922	174.99180754953176	710.439427171753	2003.8799604846793	3900.8145864116145	5714.347270665517	591.0268122053617	17.314638134783387	0.5106435572597331	44.93732624048999	3954.5518375822426	135.4363175165795	27.577861927970563	53.65246635472223	99.9999903689	499.999951844
11200.0.	2.502780276174165	997.4971234128228	499.999975922	174.987651125598	710.4066392946439	2003.7726696522732	3900.8777617802943	5714.439823447067	591.0312547936054	17.31435197047678	0.510580323106415	44.93456659291392	3954.5546604639726	135.43746998633645	27.577882402106038	53.65129341083074	99.9999903689	499.999951844
11400.0.	2.5028223787119392	997.497081310285	499.999975922	174.98430009435322	710.3802040525578	2003.6861667458988	3900.92869752102	5714.514445005738	591.0348365422358	17.314121253094843	0.510529348883701	44.9323418626984	3954.5569361684106	135.43839914369323	27.5778989069623	53.650347748618685	99.9999903689	499.999951844
11600.0.	2.502856324486408	997.4970473645105	499.999975922	174.98159836859924	710.3588905302141	2003.6164236704094	3900.9697650407365	5714.574609485264	591.0377242830482	17.313935238033825	0.5104882561306521	44.9305483188697	3954.558770804993	135.43914826635452	27.577912212493686	53.64958532042526	99.9999903689	499.999951844
11800.0.	2.502883693785237	997.4970199952116	499.999975922	174.97942012026084	710.3417063533343	2003.5601929877478	3901.0028762570537	5714.6231178711805	591.0400525061875	17.313785263239453	0.510455128334918	44.92910236169123	3954.5602498899666	135.4397522424846	27.577922939147125	53.648970617643634	99.9999903689	499.999951844
12000.0.	2.502905760720551	997.4969979282763	499.999975922	174.97766391120982	710.3278514499289	2003.5148565782804	3901.0295726413865	5714.662228440264	591.0419296330688	17.313664345407705	0.510428421030511	44.92793661025819	3954.5614423487036	135.44023919786113	27.57793158694558	53.64847501446822	99.9999903689	499.999951844
12200.0.	2.502923552554114	997.4969801364427	499.999975922	174.97624796351104	710.3166807780142	2003.4783036559616	3901.0510970036653	5714.693761926116	591.0434430716454	17.313566854530894	0.5104068894545021	44.926996752329174	3954.562403738209	135.4406318072022	27.577938558897603	53.64807543317543	99.9999903689	499.999951844
12400.0.	2.5029378975243493	997.4969657914723	499.999975922	174.97510634773747	710.307674280981	2003.4488324393658	3901.0684513620545	5714.719186299087	591.0446632903764	17.313488251581703	0.5103895303139171	44.92623900735029	3954.563178842329	135.44094835095854	27.577944179841733	53.64775326847731	99.9999903689	499.999951844
12600.0.	2.502949463407735	997.496954225589	499.999975922	174.97418591062103	710.3004126664903	2003.4250708865657	3901.0824435997893	5714.7396851192	591.0456471020143	17.313424877057603	0.5103755348926381	44.92562808271109	3954.5638037623894	135.4412035671419	27.57794871162359	53.647493520511254	99.9999903689	499.999951844
12800.0.	2.502958788607404	997.4969449003892	499.999975922	174.97344379866934	710.2945578807561	2003.405912796635	3901.0937250794827	5714.756212641614	591.0464403104922	17.31337378052985	0.510364251282953	44.92513552716112	3954.5643076015494	135.44140933794603	27.57795236532188	53.647284096008455	99.9999903689	499.999951844
13000.0.	2.502966307217992	997.4969373817787	499.999975922	174.9728454619837	710.2898373672999	2003.3904662959924	3901.102820968777	5714.769538244128	591.047079844472	17.313332583234555	0.510355153960331	44.92473840402413	3954.5647138220097	135.44157524320585	27.5779553110965	53.64711524497368	99.9999903689	499.999951844
13200.0.	2.502972369235467	997.4969313197614	499.999975922	174.97236304498213	710.286031375548	2003.378012308526	3901.1101546912287	5714.78028224806	591.047595477418	17.313299367292817	0.510347819266834	44.92441822185834	3954.5650413388694	135.44170900660274	27.57795768612566	53.64697910654839	99.9999903689	499.999951844
13400.0.	2.502977256849029	997.4969264321479	499.999975922	174.97197408925774	710.2829627300357	2003.367971074541	3901.1160676372565	5714.788944795132	591.0480112140264	17.313272586411806	0.510341905657928	44.92416007273892	3954.565305401598	135.44181685531967	27.57795960100035	53.64686934295656	99.9999903689	499.999951844
13600.0.	2.502981197578408	997.4969224914184	499.999975922	174.97166048769014	710.2804885810925	2003.3598751581685	3901.1208350580782	5714.795929131909	591.0483464081251	17.313250993884026	0.510337137780635	44.92395193758367	3954.5655183046306	135.4419038100345	27.577961144880703	53.646780844363285	99.9999903689	499.999951844
13800.0.	2.502984374864786	997.496919314132	499.999975922	174.97140764139368	710.2784937548103	2003.3533476843147	3901.1246788784256	5714.801560381414	591.0486166637645	17.313233584542985	0.51033329364293	44.923784126291814	3954.5656899600594	135.44197391868263	27.577962389647453	53.646709490948965	99.9999903689	499.999951844
14000.0.	2.502986936611614	997.496916752385	499.999975922	174.97120377983654	710.2768853902516	2003.3480847927162	3901.1277780299415	5714.806100680868	591.0488345619082	17.313219547958234	0.5103301942685571	44.923648826293	3954.5658283594316	135.44203044496194	27.57796339325409	53.64665196106351	99.9999903689	499.999951844
14200.0.	2.502989002068262	997.4969146869283	499.999975922	174.97103941295273	710.2755886170414	2003.3438414914644	3901.1302767787056	5714.809761382064	591.0490102460348	17.31320823071248	0.510327695361606	44.92353973877557	3954.565939945857	135.44207602025054	27.577964202424283	53.64660557660391	99.9999903689	499.999951844
14400.0.	2.502990667381603	997.4969130216151	499.999975922	174.97090688927508	710.2745430697961	2003.3404202523968	3901.132291441586	5714.812712890801	591.0491518944481	17.313199105979976	0.5103256805849861	44.923451785330506	3954.566029914079	135.4421127661299	27.577964854828938	53.646568178320756	99.9999903689	499.999951844
14600.0.	2.502992010072422	997.4969116789244	499.999975922	174.97080003966104	710.2737000777518	2003.3376618151524	3901.1339158019314	5714.815092600977	591.0492661010429	17.313191748995816	0.510324056142003	44.92338087145552	3954.5661024523965	135.44214239316113	27.577965380839867	53.64653802527764	99.9999903689	499.999951844
