time	Delay01_mSHP1	Delay02_mSHP1	Delay03_mSHP1	Delay04_mSHP1	Delay05_mSHP1	Delay06_mSHP1	Delay07_mSHP1	Delay08_mSHP1	ERK1	ERK2	Epo	EpoR	JAK2	MEK1	MEK2	Raf	SHP1	SOS	actSHP1	mSHP1	mSOS	pERK1	pERK2	pEpoR	pJAK2	pMEK1	pMEK2	pRaf	pSOS	ppERK1	ppERK2	ppMEK1	ppMEK2
16.0.2.0	0.39051553188672605	0.8121415859474701	1.282256488084682	1.6238135090791022	1.7153354043624112	1.5541930206155792	1.232885008102702	0.869819091770729	5.887789702763983	17.78541741182594	50	0.226528668081061	0.65032120429578	23.82472313625099	10.70246301771474	3.7718511096930643	0.063691392107489	1.472079238187798	1.117943617199264	0.13650535084384602	2.6944494987047252e-05	0.880095973398286	2.602492282231239	0.773471331918939	1.34967879570422	0.09489903153628601	0.205532487326321	4.8890306938032466e-05	1.037993817317212	0.23211432383773603	0.6120903059428431	0.080377832212724	0.09200449495891401
16.0.8.0	0.333093296254866	0.713843929190714	1.168787537857014	1.5366820388926912	1.685706951537655	1.586118086431145	1.30659873652228	0.9572467980688001	5.954294827449554	17.97594728741537	50	0.271971847005335	0.7451687134050421	23.828438357858523	10.7104886766632	3.77185281409596	0.069665874069752	1.481479341543164	1.323669395295628	0.11768735587945701	2.8474904539251073e-05	0.837658174939182	2.475714802863114	0.7280281529946661	1.2548312865949591	0.095496708831802	0.20324131670633502	4.7185904042498824e-05	1.028592183552294	0.20804699761127002	0.5483379097215381	0.07606493330967601	0.086270006630441
17.0.4.0	0.284588797211266	0.625457785910815	1.059741193113846	1.4443025288398301	1.6429449238386722	1.603145306852404	1.369537716064979	1.040493681953592	6.016594873568994	18.154498706025173	50	0.320819011846802	0.8376449443339161	23.832185486176652	10.718432129856486	3.771853745558948	0.078353216402251	1.493901324610739	1.547134905637698	0.10339994417464801	2.9879178879067564e-05	0.7969116711031551	2.354199191284448	0.679180988153199	1.162355055666084	0.095776304706327	0.200646141830286	4.625444105468434e-05	1.016168796210378	0.18649345532785502	0.491302102690407	0.072038209117027	0.080921728313204
18.0.	0.243956293564475	0.546647805461797	0.9562755753550171	1.348914306227332	1.5890211546965052	1.6058799479068582	1.420868271868431	1.118026010419426	6.074693226686157	18.32108424043176	50	0.37178556068116003	0.9256114900607011	23.835944433513447	10.726267460019189	3.771854102045634	0.089795689770124	1.5093171598370492	1.786869977479091	0.092844967250945	3.1123205021054455e-05	0.7580300630547371	2.238420031069284	0.628214439318841	1.074388509939298	0.09576060991137701	0.197786302427886	4.5897954368547045e-05	1.000751716957926	0.16727671025911	0.44049572849899105	0.068294956575178	0.075946237552902
18.0.599999999999998.0	0.210215963852835	0.476931529458947	0.859206647955967	1.25248215592041	1.525934859201632	1.595228706955914	1.460104762709477	1.188501765199965	6.128678235922146	18.475955492914526	50	0.42337789533782405	1.007528128146986	23.83969796360533	10.733974067224882	3.771854049074926	0.10408823181677701	1.527610183973685	2.041075775597762	0.085329601330314	3.2190828758195264e-05	0.721121117050012	2.12865964206045	0.576622104662178	0.9924718718530131	0.09547528711953501	0.19469962015233502	4.595092507636705e-05	0.9824576251975531	0.15020064702784602	0.39538486502505604	0.064826749275135	0.07132631262276301
19.0.2.0	0.18246138019518202	0.41572660736145506	0.7690561227533	1.156687047132122	1.455645714855506	1.5723323290094	1.487091829277471	1.250802827752919	6.178705005257312	18.619552110416514	50	0.47408772739089106	1.082485223679773	23.84343148079166	10.741535959641954	3.7718537205587923	0.12135839072693701	1.548569825679827	2.307680471580674	0.080257279355036	3.3085943469391214e-05	0.686233444127153	2.025028952080087	0.52591227260911	0.917514776320227	0.09494777049074801	0.191421907041811	4.6279441211072243e-05	0.9614970883767001	0.135061550615539	0.355418937503432	0.061620748717584	0.067042133316216
19.0.8.0	0.15986371771683	0.36238897982809404	0.686098169258423	1.062929186269893	1.380020924559467	1.5384999128330121	1.501975992634173	1.304055052262601	6.224977074253648	18.75245041440214	50	0.522585035475306	1.15013806477644	23.847132776613357	10.74894103571107	3.771853219500896	0.141746397102254	1.5719005133552502	2.584400434537572	0.077121232997681	3.3830380148861804e-05	0.653365523182119	1.927494778064678	0.47741496452469506	0.849861935223559	0.09420616182846901	0.187986587870091	4.678049910713036e-05	0.938165656264597	0.12165740256423702	0.320054807533214	0.058661061558168005	0.06307237641881801
20.0.4.0	0.141673754157736	0.316243415936983	0.610403382047308	0.9723402691878221	1.300795541278378	1.495147507507997	1.5051695934583509	1.347636884384464	6.267728839683276	18.875313989783443	50	0.567855653577103	1.210581317788265	23.850791740325683	10.756180372955205	3.771852619714063	0.165386966000118	1.597242394994003	2.8688039821440983	0.075498703896743	3.4458786545555915e-05	0.6224762488500181	1.8359111780854591	0.432144346422898	0.7894186822117351	0.093278208571479	0.184424448050231	4.7380285939462426e-05	0.912823146219448	0.10979491146671301	0.288774832131137	0.055930051102837004	0.059395178994541005
21.0.	0.12722210634192802	0.276607644575248	0.54187908435147	0.8858022241331651	1.21954485774001	1.443742820945336	1.497309888634344	1.381177673259137	6.307209745403943	18.988849129533676	50	0.609256357612954	1.2642053908150501	23.854400051596535	10.763247555388723	3.771851968992821	0.192394334065447	1.624198483819703	3.158374998584852	0.075044367369063	3.5011480904109484e-05	0.5934959179193681	1.7500517637352742	0.390743642387047	0.7357946091849501	0.09219044694950201	0.18076351067443402	4.8031007180320704e-05	0.8858665046993891	0.099294336676692	0.261099106731077	0.05340950145395101	0.055988933936825004
21.0.599999999999998.0	0.11591783583392401	0.24281110772129502	0.48030549189216704	0.8039701761607341	1.137667382049085	1.385757167594596	1.4792158240618791	1.404547156738178	6.343671136290724	19.09376769603613	50	0.646494037416891	1.31156668303293	23.857950877760636	10.770138073395414	3.771851293517286	0.22285135431514203	1.652362147273034	3.450574096808297	0.075482406824702	3.552921902274865e-05	0.566336563166946	1.6696398584403491	0.353505962583111	0.6884333169670701	0.09096756752809401	0.177029033904575	4.870648271585703e-05	0.8577023235079391	0.08999230054233401	0.23659244552354902	0.051081554711259004	0.052832892699999
22.0.2.0	0.107245499864623	0.214209155895239	0.425367564317544	0.7272977964060701	1.056376808497279	1.3226252109200392	1.451844637025849	1.417837780593047	6.377356290013772	19.190758894594218	50	0.679557137948478	1.353288323583335	23.86143859466955	10.776848819189263	3.771850602743831	0.256802658045218	1.681340293685064	3.742895396660453	0.07659749177463801	3.604910243442361e-05	0.5409007929227141	1.5943741206222062	0.320442862051523	0.646711676416666	0.089632020962067	0.17324360847615902	4.9397256170184866e-05	0.8287236572124981	0.08174291706351701	0.21486698478360602	0.04892938436837	0.049907572334563007
22.0.8.0	0.10076082330516901	0.190193358702053	0.37668256907173103	0.656063575161675	0.9767013650915791	1.255712567918328	1.416250030065369	1.421341580269209	6.408493663138357	19.280470102464708	50	0.7086308347436191	1.389994347250033	23.86485854312028	10.78337768556127	3.771849894202334	0.294251310525301	1.710769988506833	4.032917476298347	0.078225343591241	3.6602479212999875e-05	0.517088690611488	1.523948402171976	0.291369165256382	0.6100056527499671	0.088203844373303	0.169427327966124	5.010579766641433e-05	0.7992934090139511	0.07441764625016001	0.195581495363349	0.046937612506409	0.047194986472593
23.0.4.0	0.09608528286227701	0.170198503966869	0.33382351089974804	0.59039690521833	0.899489011267203	1.186291003624389	1.373543262202291	1.415523305567157	6.437293012163498	19.36349582456997	50	0.734018459694313	1.42227200539237	23.868206826083057	10.789723263420562	3.7718491576594673	0.33515816408749805	1.740328342872143	4.318347447731313	0.08024360257292901	3.7214496907260686e-05	0.494802700628287	1.45806568500135	0.26598154030568805	0.57772799460763	0.086700666884701	0.16559800385460802	5.084234053382475e-05	0.769734442630947	0.067904287208222	0.17843849042871002	0.045092507032242005	0.044678732724815005
24.0.	0.09289996913295001	0.15370681040897102	0.296338666481307	0.530303143014077	0.8254170713369051	1.115520671360987	1.324858113112777	1.40099135398195	6.463943819473684	19.440373182184285	50	0.7560798778271831	1.4506540352546922	23.87148014602823	10.795884624542367	3.7718483784486923	0.3794431395949	1.769736784683926	4.597057547012846	0.082563514562331	3.790506891282778e-05	0.47395070528491606	1.396446734706049	0.24392012217281803	0.5493459647453091	0.08513784246610001	0.16177140044229002	5.1621551309191366e-05	0.7403253102471581	0.062105475241407006	0.163180083109698	0.043382011505674	0.042343975015327
24.0.599999999999998.0	0.09093909631911701	0.140249844525687	0.26376752087856403	0.47568705604703504	0.7550050472203651	1.044438687235715	1.271320332271543	1.3784679057020641	6.488615391596427	19.511582153682475	50	0.7751886699706461	1.475613312676201	23.874675678481644	10.80186117299725	3.771847539957795	0.42698781274937403	1.798761260358989	4.8671139890066	0.08512270804393901	3.8687841027022565e-05	0.45444764186475506	1.33883451536481	0.22481133002935502	0.524386687323799	0.08352866128099701	0.15796147046304002	5.246004220506512e-05	0.71130005179998	0.056936966538823006	0.149583330952745	0.041795660237372	0.040177356539699005
25.0.2.0	0.089983484659858	0.12940860205610202	0.235653440957266	0.42637426147150204	0.6886295198604481	0.9739532268010991	1.214021885586946	1.348759450539357	6.5114580570059495	19.57754894916983	50	0.7917054050365591	1.497564295960434	23.877790976964587	10.807652549954028	3.771846625428708	0.47763883836991805	1.827209830151159	5.126798155750992	0.087879133946516	3.9573018036086244e-05	0.43621603817404403	1.2849954817684242	0.20829459496344202	0.502435704039567	0.081884600296836	0.15418057815413502	5.3374571291863894e-05	0.6828505968308021	0.052325904820014	0.137455569061777	0.040324422738586004	0.038166871891825
25.0.8.0	0.089854268463728	0.12081217673158301	0.211553446431571	0.38213042736386704	0.6265402232931311	0.904842290731615	1.154000056889307	1.312728669588274	6.532604996053053	19.638651194049242	50	0.8059628849443651	1.5168676989740582	23.88082390362217	10.813258577429862	3.77184561913562	0.5312118752919951	1.854928815385394	5.374620452209382	0.09080611300554901	4.0566790827685094e-05	0.41918581221113904	1.234718762058967	0.194037115055637	0.483132301025942	0.08021558292353301	0.150439701757555	5.43808643801105e-05	0.655130617823775	0.048209191735817	0.126630043891818	0.038960513454309	0.036301720812572005
26.0.4.0	0.090407010469674	0.11413539445090301	0.191045443250866	0.342678128154462	0.568876531680872	0.8377562913221701	1.092221273271428	1.271268428173219	6.552174354379945	19.695223930503598	50	0.8182594950742611	1.533836358412736	23.883772580694142	10.818679230202195	3.771844507158158	0.5874957671423771	1.8817983129246372	5.609327359768115	0.093888372315914	4.16724665411443e-05	0.403293621319935	1.18781406238309	0.18174050492574	0.46616364158726403	0.07853022815266601	0.146748611401083	5.549284184117239e-05	0.6282600146088191	0.04453202430013101	0.116962007113345	0.037697191153199	0.034572158396714
27.0.	0.091526331539744	0.10909573924292501	0.17373328601958102	0.307711358325983	0.5156837619812711	0.773223648558449	1.029569360733667	1.225278410943944	6.570271405221915	19.747565768110768	50	0.8288576321419061	1.548741237411968	23.886635358470862	10.823914627403996	3.771843277852321	0.6462568033901911	1.907727604336963	5.8299023741580385	0.09711892510620901	4.2890513509766336e-05	0.388481971811784	1.144108905696359	0.171142367858096	0.45125876258803205	0.076836077293726	0.143116021232593	5.6722147678124195e-05	0.602329505149524	0.041246622966312006	0.108325326192912	0.036528564235417005	0.032969351363406
