time	ATP	Ade	DNA	GTP	Gua	HX	IMP	PRPP	RNA	SAM	SAMP	UA	XMP	Xa	dATP	dGTP
53.0.2.0	2482.2126511295746	0.9897106300139791	5179.354312834106	410.364568961806	5.539605432167463	9.899711865370502	99.59260124136851	5.006792821724439	28685.549007101155	3.994151601754589	0.19967904045758902	101.39392438353097	25.223468321439192	5.2139086645051265	6.014428061613776	3.025676843432484
53.0.900000000000006.0	2482.2178312577944	0.9896988268813641	5179.354486615523	410.36548052853476	5.5393599139140495	9.888866485279431	99.55143827783928	5.006903699335993	28685.563268269176	3.994153429043267	0.19964603962697103	101.38125152561861	25.220505724232027	5.209650688043527	6.01443339859526	3.025673653457588
54.0.60000000000001.0	2482.222230858892	0.9896870410717841	5179.354660296453	410.3664199345131	5.5391249229472415	9.878397625646071	99.51168530118878	5.00701128341565	28685.57729008704	3.994154992736232	0.199614132260538	101.36831466359978	25.21750774881821	5.205540303037705	6.014438537040462	3.025670595312148
55.0.300000000000004.0	2482.2258810030025	0.9896752755477961	5179.354833883124	410.36738550810384	5.538900095553064	9.868292000064713	99.47329432433065	5.007115679856907	28685.591075868873	3.994156303308393	0.199583281878593	101.35514763307155	25.21447712515474	5.201572559075865	6.014443480174737	3.025667666848716
56.0.00000000000001.0	2482.2288116631325	0.9896635329736041	5179.355007381647	410.36837564114	5.5386850751263825	9.858536790173646	99.43621897254108	5.007216991840506	28685.60462888372	3.994157370864738	0.19955345318803802	101.34178225485218	25.211416474978172	5.197742637265497	6.014448231281667	3.025664865880829
56.0.7.0	2482.2310517526444	0.9896518157549921	5179.355180798008	410.3693887868523	5.538479512842987	9.849119630547547	99.40041442993059	5.007315319772742	28685.617952354718	3.9941582051529974	0.19952461204548003	101.32824842792444	25.20832831552124	5.194045852438621	6.014452793694934	3.025662190188449
57.0.400000000000006.0	2482.2326291614145	0.9896401260731951	5179.3553541380725	410.37042345784903	5.538283068168629	9.840028593778266	99.3658373877568	5.007410761250482	28685.63104945849	3.994158815575857	0.19949672542145003	101.31457421945798	25.205215063110884	5.190477654265472	6.014457170790675	3.025659637523086
58.0.10000000000001.0	2482.2335707907187	0.9896284659136281	5179.355527407574	410.3714782241485	5.538095409231252	9.83125217580029	99.3324459944934	5.007503411048185	28685.643923324846	3.994159211202746	0.19946976136569203	101.30078595183491	25.20207903665146	5.187033627457403	6.014461365980294	3.025657205612605
58.0.800000000000004.0	2482.2339025869073	0.989616837090262	5179.355700612127	410.3725517112662	5.537916213078907	9.82277928150478	99.3001998075796	5.007593361123011	28685.656577036578	3.994159400781194	0.19944368897348103	101.28690828663456	25.19892246099639	5.18370949121436	6.014465382703701	3.02565489216575
59.0.50000000000001.0	2482.233649573917	0.9896052412663211	5179.355873757219	410.3736425983533	5.537745165842398	9.814599210675988	99.26905974677912	5.007680700634636	28685.66901362955	3.994159392747815	0.199418478352929	101.27296430556075	25.19574747021179	5.180501098050183	6.01446922442299	3.025652694876389
60.0.2.0	2482.2328358846685	0.9895936799718441	5179.356046848207	410.37474961638907	5.537581962818874	9.806701644275178	99.23898804908468	5.007765515977011	28685.681236092812	3.9941591952389013	0.199394100593262	101.25897558831649	25.19255611073523	5.177404432109722	6.014472894616495	3.025650611427469
60.0.900000000000006.0	2482.2314847913954	0.9895821546186311	5179.35621989032	410.3758715464246	5.537426308490141	9.79907663109016	99.20994822510784	5.007847890819655	28685.693247368912	3.994158816100657	0.199370527734008	101.24496228745006	25.18935034443282	5.174415607075287	6.014476396773229	3.025648639494755
61.0.60000000000001.0	2482.22961873495	0.9895706665129401	5179.356392888661	410.37700721787775	5.537277916487345	9.791714574762802	99.18190501689882	5.007927906156496	28685.705050354245	3.994158262899083	0.199347732735103	101.23094320021158	25.18613205155755	5.171530863745334	6.014479734387687	3.025646776750293
62.0.300000000000004.0	2482.227259353113	0.9895592168663211	5179.356565848204	410.37815550687844	5.537136509511912	9.784606221201875	99.15482435714391	5.00800564036059	28685.716647899528	3.9941575429295293	0.19932568944786203	101.21693583747077	25.182903033612018	5.168746567356043	6.014482910954975	3.025645020865671
63.0.00000000000001.0	2482.224427507958	0.9895478068048471	5179.3567387737985	410.37931533466383	5.537001819221096	9.777742646384867	99.12867332969199	5.008081169243347	28685.72804281031	3.994156663225922	0.199304372586796	101.20295648975713	25.179665016118268	5.166059204705575	6.014485929966292	3.025643369515045
63.0.7.0	2482.2211433122966	0.9895364373770151	5179.356911670164	410.380485666023	5.536873586085177	9.771115244549025	99.1034201313639	5.008154566117041	28685.73923784758	3.994155630569683	0.199283757702262	101.1890202904914	25.176419651297596	5.163465381131561	6.014488794904693	3.025641820377962
64.0.4.0	2482.217426155241	0.9895251095605171	5179.3570845418935	410.38166550778743	5.536751559222243	9.764715716769402	99.0790340350009	5.00822590185968	28685.750235728327	3.99415445149835	0.199263821153912	101.17514127648244	25.173168520663022	5.160961817384483	6.014491509241156	3.025640371141998
