time	CYCDcdk4	CYCDcdk4p27	CYCEcdk2p27	E2F	aCYCEcdk2	aCYCEcdk20	aCYCEcdk21	iCYCEcdk2	p27	pRB	pRBE2F
235.0.	0.001527455126179	0.027711263692100002	1.300685664052423	0.17619133998369502	1.011908953517271	1.9900907160303791	1.780256719889164	10.599646671457863	0.01131100899478	1.7552769398742911	0.002638284623334
240.0.	0.001526299949161	0.026364001612514003	1.192293446093312	0.16263481112359202	0.9170968597104231	1.990152315000784	1.772840542083253	10.485355517269342	0.011437310070355	1.766327893039496	0.0026623835653520004
245.0.	0.0015252003033330002	0.025082509400391	1.092899379392317	0.150108232481797	0.8234719170946381	1.990211316550532	1.765343188425764	10.36641740856933	0.011670311254549	1.776906967044897	0.0026986433207600003
250.0.	0.001524153380184	0.023863624328978	1.001736736398669	0.138530469341273	0.731072475580483	1.99026766289786	1.75777004481145	10.241314977049145	0.012039341338079	1.7870299098072362	0.002749138263636
255.0.	0.0015231563927310002	0.022704350931171003	0.9180968075432471	0.127826274781069	0.640099387410336	1.9903213836791092	1.750125659490584	10.10818034122651	0.012586339342393001	1.79671216661272	0.0028163032129840003
260.0.	0.001522206550369	0.021601858590247002	0.8413210026942881	0.11792586657154701	0.550988213124409	1.9903725601706501	1.742413796375303	9.96473003654264	0.013372105598062001	1.8059688719868632	0.002902903357959
265.0.	0.0015213010099130002	0.020553482093093	0.7707921305020271	0.10876462726430401	0.46450187584581404	1.990421305192062	1.7346375822188662	9.808226318342557	0.014485603465940002	1.814814842086597	0.0030119102751420004
270.0.	0.0015204368011960002	0.019556726293375	0.705924525914656	0.10028299320448501	0.38182628004095204	1.990467752941428	1.7267998261203181	9.63550882344061	0.016057129328223	1.823264567204788	0.0031462059347740004
275.0.	0.001519610733643	0.018609276071237	0.646153426811726	0.092426603568606	0.304623340150646	1.990512055326443	1.7189036011103371	9.443169459858966	0.018274714629199003	1.831332203728835	0.003308025580145
280.0.	0.001518819320863	0.017709011686895003	0.590926449664512	0.085146735265113	0.23495611443802603	1.990554382212728	1.710953136924153	9.227960427419752	0.021397992640289	1.8390315647326232	0.0034980912245990005
285.0.	0.0015180588338010001	0.01685402546037	0.539705683445687	0.07840089317980001	0.17497815903756903	1.990594922093277	1.702954913254867	8.987485696640428	0.025751543021457	1.8463761086253352	0.0037145471264090004
290.0.	0.0015173256938440002	0.016042626028477003	0.491996402682549	0.072153140788438	0.126344487402168	1.990633876597025	1.694918536005801	8.721069687578467	0.031662736453327005	1.85337892641866	0.003952114260468
295.0.	0.0015166173737250002	0.015273303817001002	0.447414056922796	0.066373522038638	0.08951955645974001	1.990671439164644	1.6868566985832771	8.430436587496793	0.039315204644103006	1.8600527303756311	0.004202159030718001
300.0.	0.0015159334628630002	0.014544634542712001	0.405760593355441	0.061036174077529	0.063421495778035	1.990707753897361	1.678783729978009	8.119695466835406	0.048571130328020004	1.8664098489124301	0.004454169484263
305.0.	0.001515275832949	0.013855142047771002	0.36702728397662604	0.056116668867327	0.045782159151398	1.990742872980964	1.67071317235738	7.794446266137291	0.058932955382556	1.8724622319588091	0.0046981917146480005
310.0.	0.001514647307063	0.013203199372925	0.331283054419636	0.05158995544789301	0.03403598678598	1.990776749632926	1.662655750905849	7.46048728734675	0.069743525297542	1.878221466190318	0.004926863711027
315.0.	0.0015140499439750001	0.012587029594050001	0.29854048171080405	0.047429842491256	0.026077418423568	1.9908092795645451	1.654618774119332	7.122872574414456	0.080453030363537	1.883698794173833	0.005136013886398
320.0.	0.0015134843538630002	0.012004779912968002	0.268707581798219	0.043609681542354006	0.020493551888074002	1.990840358455983	1.6466067487429998	6.7856104042523615	0.09073004244881201	1.888905130813491	0.0053240465649230006
325.0.	0.001512950010121	0.011454601140029	0.24161666938789603	0.040103325935867004	0.016428449891374	1.9908699181862852	1.6386223462650622	6.451770434359489	0.100419106819514	1.893851074312157	0.005490980542234
330.0.	0.0015124457824610001	0.0109346977124	0.21706754382339502	0.03688581469232	0.013374170478159001	1.990897935006712	1.6306671659066612	6.123694105486934	0.109462975490192	1.8985469125028611	0.0056376952780630004
335.0.	0.0015119702923950002	0.010443350645331001	0.19485480961255902	0.03393371701773	0.01102078996415	1.9909244222427582	1.6227422012134691	5.803171060404761	0.11785062759093601	1.903002626532635	0.0057654758962650005
