time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
4300.0.	0.000118484363108	499.9998815156346	0.000379406983679	98.83973452327355	3.9679425444663756e-05	8.219015791587003	5.4698345009984066e-05	0.0015752760819970001	1.039097133305641	3.171800216474792e-05	0.35924117426518004	0.001057770168972
4400.0.	0.0047115090170530005	499.9952884909806	0.07914341067057501	102.64959949643651	0.0016248629086980002	7.856316854021256	0.002300719065397	0.06402094016092101	1.270157134003472	0.00019139797728900002	0.063329808792912	0.067099106141003
4500.0.	5.707166453655284e-05	499.99994292833304	7.006418905097957e-05	90.39712898950019	3.387141673996516e-05	4.297018323182314	2.4118340561081182e-05	0.0006934403879220001	0.47532929750079306	0.000135282730766	0.9238178610399531	0.00018512098771400002
4600.0.	9.81908335753222e-05	499.99990180916416	0.00020364534906400003	97.71199535610623	3.735334651968142e-05	7.3110937527345	4.481747887102945e-05	0.0012904541034620002	0.812921898795897	5.449744073844394e-05	0.585688332181027	0.0005467246277010001
4700.0.	0.000152180533787	499.99984781946387	0.001693756389896	104.6146125187553	4.917116062346482e-05	8.725726555939309	7.448056352560723e-05	0.0021384465352980004	1.2982783191105431	1.0571501887553331e-05	0.099498182288744	0.004467298750210001
4800.0.	3.685547430373469e-05	499.9999631445236	2.8845858588638682e-05	89.09818137305095	4.0822839460216986e-05	1.95203751386107	1.5362760209912303e-05	0.000441090932431	0.386632470882937	0.009388974306792001	1.003522101117631	9.329110001214837e-05
4900.0.	7.960386054263695e-05	499.9999203961373	0.00012954621435800001	96.59737418193978	3.5975935936765305e-05	6.141592458996674	3.5927947053662845e-05	0.001034031448726	0.635164945931866	8.162926119910465e-05	0.7636834654111561	0.000339747653799
5000.0.	0.00012051517639200001	499.99987948482135	0.00043667381975400003	103.67625222819868	4.224060846247831e-05	8.179650166268742	5.8359949001327495e-05	0.0016806332732780002	1.07171435919767	3.0906926031306546e-05	0.326515740654021	0.001229844453477
5100.0.	0.013954207694895	499.9860457923028	0.09633773474431001	101.96315111688943	0.006617382918301	5.318955095400819	0.0068310832653480005	0.18684686926388602	1.072121530122403	0.0018358596740190001	0.13236465767434302	0.106925924942724
5200.0.	6.16319560279826e-05	499.99993836804197	8.349957400823799e-05	95.4981547762725	3.5634643296079943e-05	4.690054918201307	2.7511407163044604e-05	0.0007911923575000001	0.505088309487289	0.000125372673368	0.8939676140746781	0.00021964842874500003
