time	A1	A1_2	A2	A2_2	A3	A3_2	CREB_n	DUSP_c	DUSP_n	DUSP_n_ERK_n	DUSP_n_pERK_n	DUSP_n_ppERK_n	DUSPmRNA	ERK_c	ERK_n	Elk1_n	F	FOSn	FOSn_2	FmRNA	Fn	Kin	Kin_2	MEK	PreDUSPmRNA	PreFOSmRNA	PreFmRNA	RSK_c	RsD	RsT	c_FOS_c	c_FOSmRNA	pCREB_n	pDUSP_c	pDUSP_n	pDUSP_n_ERK_n	pDUSP_n_pERK_n	pDUSP_n_ppERK_n	pERK_c	pERK_n	pElk1_n	pMEK	pRSK_c	pRSK_n	pc_FOS_c	ppERK_c	ppERK_n
3795.0.	180.63743679314427	1.714963206856354	20.654309333098592	4.732710666901398	12.46224982276055	0.6303701772394881	995.5214437437513	49.860929929598484	72.44639131831363	187.35419236868225	0.667160677053046	0.186527553086608	29.784530505503202	174.61393239180669	1498.8273204760735	1508.9858067607395	0.151868393489688	12.499100393444474	0.193160631567622	0.148097168861827	0.032332032217075	75.91880517170432	6.746934828295536	574.9243833176645	7821.0270588365565	0.10718130513611801	7.716350833660085	352.8401943928826	244.79877453248517	2.60472546751584	0.7203654117693431	9.757810285425064	4.478556256249205	0.0013864771643640002	0.007465808513076001	0.019306852051892	6.87521935739694e-05	1.9221891322511862e-05	177.64149063247143	0.8472024139106931	1.014193239266209	62.39681668233215	0.133223795595025	0.11357683105174	0.006633216630658001	197.46863655541202	25.417338026629672
3850.0.	180.62735242830627	1.7250475716943412	20.652587331908954	4.734432668091025	12.456337586236454	0.6362824137635851	995.4805005528189	50.3555107739571	73.18573654271677	189.12957851154053	0.668555769526831	0.190379041058128	29.581647203490004	173.5732019585641	1497.7443804971635	1508.9746137180102	0.17148366212804703	12.45791248037748	0.19600365708896803	0.16374960622283402	0.036512348624974	75.85241981507077	6.8133201849290845	574.5891221433898	7767.842701850139	0.11043675669236701	8.38825806502138	352.83907253995335	244.80993672343166	2.5935632765694	0.7181121658731281	9.44494115024302	4.519499447181731	0.0014361108801050002	0.0076524721794260005	0.019775284611767002	6.990512003589701e-05	1.9906159928771553e-05	177.24994313503538	0.84039736724955	1.025386281995288	62.73207785660634	0.134158723352012	0.11437551133361601	0.0066581042280630005	198.67761532137993	25.68007649018108
3905.0.	180.617495266248	1.734904733752594	20.65099317863228	4.73602682136769	12.45049387004372	0.642126129956317	995.4397051655014	50.83982602635289	73.90983013254481	190.86501796536777	0.669926634050518	0.19422829577849202	29.380294181363567	172.5488083747259	1496.6787197526262	1508.9634136703546	0.19312965139979102	12.413025459252248	0.198695355106027	0.180507748924032	0.041126084735400005	75.78697676273696	6.878763237262904	574.2561952708248	7715.062594910431	0.113998935096529	9.090435063395041	352.83795949794364	244.82072991098366	2.582770089017455	0.7156428664871931	9.142390649405	4.560294834499209	0.0014872270811270001	0.007841252542623	0.020248719585676003	7.107330638609759e-05	2.0605767148885354e-05	176.85898549569328	0.8338703255697201	1.036586329650939	63.06500472917102	0.13508629562895402	0.11516797291913701	0.0066799954189200005	199.8749596843007	25.942613258034623
3960.0.	180.60786017014667	1.74453982985395	20.6495173813302	4.737502618669761	12.444717878383926	0.647902121616113	995.3990811592776	51.31399357609094	74.61884730944791	192.5611115754812	0.671273179021427	0.19807325281776703	29.18046492207658	171.54090068842842	1495.6303362910978	1508.9522138023267	0.21694432808406902	12.364640583439188	0.20123271971759202	0.19838625688555703	0.046202762611965	75.72247159681467	6.943268403185181	573.9257470757046	7662.685022598735	0.11783944450397502	9.821519832825254	352.83685581859146	244.83117000500923	2.5723299949919403	0.712968766474238	8.849835294454305	4.600918840723137	0.0015398665521630002	0.008032144999854001	0.020727150263194	7.225673651218041e-05	2.132072154914094e-05	176.46890642436264	0.8276071370866811	1.047786197678516	63.395452924290936	0.136006053563812	0.11595381897514401	0.006698939160049	201.0601348076768	26.204780540485086
4015.0.	180.5984421201157	1.753957879884953	20.64815115278702	4.73886884721295	12.439008824739743	0.653611175260296	995.358650574753	51.778130714351214	75.3129623936599	194.21845205511687	0.6725953703274831	0.20191188903246002	28.982152943756553	170.5495868905674	1494.5992141355034	1508.9410209424843	0.24306683329963902	12.31295118037166	0.20361329197458103	0.21739372736414603	0.051772163366516	75.6588996846905	7.006840315309373	573.5979104477547	7610.708275564101	0.121933793259587	10.579925436160496	352.83576200331333	244.8412720053069	2.562227994694278	0.7101006947382971	8.566961023052931	4.641349425247862	0.001594071172812	0.008225147763576001	0.021210577403678002	7.345542923401043e-05	2.2051033063216782e-05	176.07998125136473	0.8215946451473101	1.058979057520627	63.72328955224027	0.13691758016344102	0.11673268878358001	0.006714987399619001	202.23266305978237	26.466419777574544
4070.0.	180.58923621050724	1.763163789493417	20.64688635818754	4.74013364181243	12.433365931765815	0.6592540682342211	995.3184340127873	52.23235412686957	75.99234879345829	195.83762409071466	0.6738932251573071	0.205742223813056	28.7853517942742	169.57493803069082	1493.585324457789	1508.9298415844091	0.271636685301674	12.258142915599862	0.20583513849064203	0.237532426073002	0.057864156807252	75.59625618724083	7.06948381275904	573.272807605474	7559.130649020403	0.12626051177813902	11.363852905112045	352.83467850686776	244.85105006735557	2.5524499326456738	0.707049070344659	8.293463035944779	4.681565987213565	0.0016498839168010001	0.008420261903677001	0.021699009312332002	7.466943709720882e-05	2.2796713563319733e-05	175.6924721404333	0.8158206021901041	1.070158415595679	64.04839239452045	0.137820497256426	0.117504255108448	0.006728194817798	203.39211953561434	26.727381087250446
4125.0.	180.58023764727847	1.772162352722171	20.64571546667969	4.7413045333202835	12.427788431180932	0.6648315688191021	995.2784507231453	52.67677988660258	76.65717899460954	197.41920444580396	0.675166806403522	0.20956232025089902	28.59005504574091	168.61699194114377	1492.5886266445866	1508.9186819056144	0.30279295400267503	12.200394051837636	0.20789682889885003	0.25879808612320504	0.064508524947435	75.53453606691028	7.13120393308962	572.9505508398154	7507.950441244373	0.13080035744797	12.171306508931057	352.83360574071264	244.86051756240448	2.542982437596867	0.703823916278697	8.029045604456808	4.721549276855549	0.001707348847707	0.008617491382676	0.022192461899200003	7.58988452578328e-05	2.3557777426029502e-05	175.30662832562544	0.8102735924105111	1.081318094390379	64.3706491601793	0.13871446270043702	0.11826822178344001	0.006738618572807001	204.53812795813516	26.987522765875962
4180.0.	180.57144174542003	1.780958254580578	20.644631506533354	4.742388493466628	12.42227556366148	0.670344436338555	995.2387186856523	53.11152344637956	77.30762454980368	198.96376206352573	0.676416217599727	0.21337028622023502	28.396256288966338	167.67575660949362	1491.6090692661683	1508.9075477846095	0.33667341612371104	12.139875702336756	0.209797412503919	0.281179776984852	0.071734781278838	75.47373409565141	7.192005904348505	572.6312431942712	7457.16595208148	0.135535579275573	13.000111072144758	352.83254407608814	244.8696871324628	2.533812867538623	0.700434872825205	7.773421852534298	4.76128131434853	0.0017665111106570002	0.008816843083191	0.022690958719193	7.714377043795157e-05	2.4334242086915033e-05	174.92268636946451	0.8049429621291071	1.092452215395653	64.68995680572387	0.13959916781752701	0.11902432149710102	0.006746318053184001	205.67035692033838	27.24671083453266
4235.0.	180.56284392644525	1.789556073555349	20.643628023628548	4.743391976371446	12.416826578736163	0.6757934212638711	995.1992546847038	53.53669963154612	77.94385606808461	200.47185816781834	0.677641598338227	0.21716427537236402	28.203949127905126	166.7512132347011	1490.6465909593958	1508.8964448163524	0.373413700063338	12.076752078031593	0.21153639442757502	0.304659844429923	0.079571987754389	75.41384486272524	7.251895137274667	572.314979087965	7406.775481466151	0.140449217939266	13.847931014221027	352.8314938468536	244.87857074068523	2.5249292593161963	0.696891210553042	7.526313516104462	4.80074531529714	0.001827416919525	0.009018326826867	0.023194530991191002	7.84043599337176e-05	2.5126128578000023e-05	174.54087043964446	0.79981875698932	1.103555183652802	65.00622091203053	0.14047433503416001	0.119772313755355	0.006751354636899001	206.7885164343674	27.504818625463514
4290.0.	180.55443971593846	1.7979602840621611	20.642699043025612	4.744320956974387	12.41144073468201	0.6811792653180251	995.1600743778649	53.95242263260545	78.56604320428391	201.94404636329108	0.678843120121406	0.220942488039806	28.0131271741198	165.84331899852762	1489.7011212340262	1508.8853783262969	0.41314642959698106	12.011180727983318	0.213113711497238	0.329213921232612	0.08804857143141301	75.35486278236112	7.310877217638794	572.0018448875544	7356.777327962411	0.145524419748988	14.712290774794848	352.83045535210283	244.88717971759613	2.5163202824053092	0.693201842892158	7.287450681518843	4.839925622136173	0.0018901135390860001	0.00922195538394	0.023703217594232003	7.968079065903882e-05	2.5933462042126842e-05	174.16139260167736	0.7948916652221251	1.114621673708543	65.3193551124416	0.141339715705626	0.120511983003696	0.0067537914578510005	207.8923547579521	27.761726403777924
