time	C1	C2	C3	C4	C5	C6	C7	C8	C9	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
105.0.	0	0	0	0	0	0	0	0	0	0.305711854012135	0.041808033662400004	0.26351970865453	0.013658091167028001	0.03520068440967	0.0018266292749070001	0.0005151005380600001	0.001279606935798	0.04634459151215101	0.16053592676754702	0.034946804258057004	0.017304890220114	0.030934139675109003	0.013467474208318002	0.004837503631597	0.008529933557342	0.079473574077062	0.17254015360538003	0.273225135492266	0.027459846394619004	0.11787743655420801	0.026774864507732
110.0.	0	0	0	0	0	0	0	0	0	0.301039418779533	0.043282199037798	0.26142505908241703	0.014468801151463002	0.037098046500710004	0.00203915734303	0.000595482770593	0.001476894416871	0.045134924809260006	0.16039737874367602	0.034252575258606005	0.017159550894680003	0.030643776941900003	0.013450627686955001	0.005078343713344	0.008958844314423	0.079267770007325	0.172611988859793	0.27304774636823403	0.027388011140207003	0.11868876227514001	0.026952253631765004
115.0.	0	0	0	0	0	0	0	0	0	0.29674297115616	0.044593545473130006	0.259484775833466	0.015223305120323001	0.038837351215548	0.0022472180047050003	0.000677736079147	0.001677872950984	0.044062569942832	0.160269093913527	0.033614329117523004	0.017025240229449002	0.030375201299100003	0.013424904623773002	0.005301286522112	0.009355704787372	0.079145201199792	0.17265675472779202	0.27289865261025104	0.027343245272208	0.119370972396954	0.027101347389748003
120.0.	0	0	0	0	0	0	0	0	0	0.29280893995759805	0.045755918980815005	0.257695897563051	0.015921736930378003	0.040424357333757	0.0024485895018780002	0.0007607121923810001	0.00187974510319	0.043112464183218006	0.160150040758112	0.033030556263218006	0.016902321477274003	0.030128985226115002	0.013393588502231001	0.005506601849475001	0.009720974015773001	0.07908687148113701	0.17268049648490902	0.27277364065730103	0.027319503515091003	0.11994312089562201	0.027226359342698
125.0.	0	0	0	0	0	0	0	0	0	0.28922025010936403	0.046783104667214005	0.256053402905692	0.016565184525607003	0.041866626464747	0.0026415147775190003	0.0008433488259880001	0.002079970629559	0.042271269775946	0.160039546847734	0.03249903801534	0.016790701500608	0.029904900739755002	0.013359124712915001	0.005694793398189	0.010055552412511002	0.07907736811476901	0.172688147856425	0.27266907851932803	0.027311852143575004	0.12042169553272701	0.027330921480671
130.0.	0	0	0	0	0	0	0	0	0	0.285957559967353	0.047688445723823004	0.254550833952052	0.017155452359842	0.043172843741999006	0.002824678391819	0.0009246975092140001	0.0022763223059480003	0.041527119091428005	0.159937144521501	0.032017066943733005	0.016689983733466	0.029702179467447003	0.013323306589234	0.005866544047994001	0.010360676011051001	0.079104256832132	0.172683708523028	0.27258184249218403	0.027316291476971004	0.120820920650111	0.027418157507816003
135.0.	0	0	0	0	0	0	0	0	0	0.28300022686832005	0.048484591736427	0.253180788491352	0.017694861375004003	0.04435229597796601	0.002997167808765	0.001003940702835	0.002466915530681	0.040869416689440004	0.159842471372554	0.031581623645714	0.016599579621810003	0.029519704948728003	0.013287424280521001	0.006022667589874	0.010637823678718001	0.079157570498102	0.17267039797369002	0.272509252196236	0.02732960202631	0.121153031745587	0.027490747803764003
140.0.	0	0	0	0	0	0	0	0	0	0.280327047145916	0.049183345638262	0.251935302202598	0.018186084223393	0.045414481579068	0.003158425613124	0.001080399581902	0.002650216218333	0.040288682065863	0.15975520882183603	0.031189516636036002	0.016518789002658	0.029356153512321	0.01325238278347	0.00616406708242	0.010888637665841	0.079229378103447	0.17265078767865402	0.272449013042516	0.027349212321345	0.12142852319821501	0.027550986957483002
145.0.	0	0	0	0	0	0	0	0	0	0.277916812641192	0.049795584074193	0.250806140851332	0.018632012159674003	0.046368827375397006	0.003308197812263	0.0011535341640100001	0.002825031773269	0.0397764217125	0.15967504663027102	0.030837491217605	0.016446857327803002	0.029210096232667	0.013218794800166002	0.006291699685738001	0.011114857137061	0.07931342247862701	0.17262691378682402	0.272399165353627	0.027373086213176002	0.121656370644051	0.027600834646372002
150.0.	0	0	0	0	0	0	0	0	0	0.27574872023149805	0.050331230946733	0.24978502024916802	0.019035649496629	0.047224490020545004	0.0034464820329340004	0.001222937541374	0.0029904897302860003	0.039325022546119005	0.159601664631722	0.030522312503653004	0.016383015693346003	0.029080071529805	0.013187053300075	0.006406547608859001	0.011318263838471001	0.07940481664495401	0.172600372593116	0.272358039461019	0.027399627406883002	0.12184422960545101	0.027641960538981002
155.0.	0	0	0	0	0	0	0	0	0	0.27380266513948903	0.050799268283267	0.24886376902944302	0.019400031470719	0.047990222813612	0.003573478245238	0.00128832589073	0.0031460081569430003	0.03892766116805	0.159534725519294	0.030240827126752003	0.016326508163130003	0.028964635726216003	0.013157387872564002	0.00650959466029	0.011500638754489001	0.07949979006919901	0.17257240094400603	0.27232421617316205	0.027427599055993002	0.121998612048653	0.027675783826837
160.0.	0	0	0	0	0	0	0	0	0	0.27205944334909105	0.05120777223846901	0.248034446624344	0.019728161608196	0.048674292104063	0.003689543678557	0.0013495257500300002	0.0032912612715920004	0.038578225098592	0.15947387439124402	0.029990007576024002	0.016276609760802002	0.028862397149341003	0.013129908231495001	0.006601807807301001	0.011663728459414002	0.07959547727857101	0.172543943602984	0.272296492067059	0.027456056397015004	0.12212504258395102	0.027703507932941
165.0.	0	0	0	0	0	0	0	0	0	0.270500883632571	0.05156396505043401	0.24728942642046603	0.020022965082047	0.04928443053235	0.0037951528412780004	0.0014064598141350002	0.003426143047183	0.038271243303365	0.159418742124551	0.029766982549574002	0.016232637664297	0.028772038044682	0.013104637600429	0.0066841231151710005	0.011809219830765001	0.079689742338881	0.172515709415746	0.27227384910339103	0.027484290584253	0.122228196030252	0.027726150896609004
170.0.	0	0	0	0	0	0	0	0	0	0.26910992558167	0.051874276170208004	0.24662145201106003	0.020287255010683	0.049827817075535005	0.003890862998741	0.001459132249758	0.003550730913404	0.038001824141937	0.159368950622402	0.029569056198947	0.016193957501265	0.028692327547190002	0.013081538170844	0.006757435440458001	0.011938721830407001	0.079781033614023	0.17248821791968802	0.272255428107098	0.027511782080311003	0.12231201804297201	0.027744571892901002
175.0.	0	0	0	0	0	0	0	0	0	0.267870656627598	0.05214440766673	0.24602367276616602	0.020523709111906003	0.050311076153977	0.003977285072507	0.0015076142874230001	0.0036652510798560003	0.037765599429349005	0.15932411867586602	0.029393718680981003	0.016159986163837	0.028622128176588	0.013060530381151	0.006822591281309001	0.012053753147545001	0.079868264023637	0.172461837847902	0.27224050569254205	0.027538162152097003	0.12237983045467402	0.027759494307458003
180.0.	0	0	0	0	0	0	0	0	0	0.266768318265651	0.052379400459658006	0.245489663578305	0.020734854556435003	0.050740289920615	0.004055059666239	0.001552030630321	0.0037700465010790003	0.037558673684231006	0.15928386766510202	0.029238650022309003	0.01613019219819	0.028560397721106003	0.013041507400844001	0.006880384233626	0.012155734613791	0.07995071271072901	0.17243681879286601	0.272228474247224	0.027563181207133	0.12243442290620601	0.027771525752775004
