time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
1350.0.	0.47424737580376203	999.5256563131941	499.999951844	5.070625488361478	94.92936488053853	2941.9921568589543	836.1908143592403	221.81664354179568	209.35082850469198	311.3252347997342	479.3238403845689	99.9999903689	499.999951844
1400.0.	0.394768381474972	999.6051353075233	499.999951844	3.02717067078734	96.97281969811267	3274.092868026586	588.3168998814349	137.58984685196899	74.88428871411776	215.22350911759153	709.8921058572859	99.9999903689	499.999951844
1450.0.	0.401661221743973	999.5982424672541	499.999951844	2.9739104849909763	97.02607988390906	3617.2351782098453	322.3640742394788	60.40036231066877	78.57363819349281	240.28254953813519	681.143715957367	99.9999903689	499.999951844
1500.0.	0.48482106902672206	999.5150826199716	499.999951844	3.452476255248326	96.54751411365166	3934.835985516251	59.62809278179653	5.535536461946188	202.88776130692804	338.27394779159476	458.8381945904727	99.9999903689	499.999951844
1550.0.	0.7536866865642851	999.246217002435	499.999951844	4.904699996611932	95.09529037228808	3988.8751434277956	11.095484407383143	0.028986924819813003	450.30711442566934	325.63278315352176	224.06000610980365	99.9999903689	499.999951844
1600.0.	2.110631601525714	997.8892720874728	499.999951844	8.976350684369528	91.0236396845305	3925.3447395048843	73.58888821042622	1.065987044688263	763.5420584570054	172.80438592236501	63.65345930962356	99.9999903689	499.999951844
1650.0.	16.53629503741983	983.463608651579	499.999951844	19.755128311503505	80.24486205739642	2783.9123494908567	990.112138989511	225.97512627963033	850.7146204918324	133.78377283902577	15.501510358135523	99.9999903689	499.999951844
1700.0.	0.5846311755008501	999.4152725134971	499.999951844	9.458038001225637	90.54195236767434	2820.4790338331545	926.1918584748081	253.32872245203657	326.433482506303	342.67910157120315	330.8873196114884	99.9999903689	499.999951844
1750.0.	0.410666771915268	999.5892369170824	499.999951844	3.2893472395177152	96.71064312938225	3138.466644891264	690.3553878936245	171.17758197511733	107.09303702547075	245.40792148556926	647.4989451779552	99.9999903689	499.999951844
1800.0.	0.391826385753947	999.6080773032438	499.999951844	2.9333596196457083	97.06663074925424	3480.105348818024	430.2091816681541	89.68508427382567	64.30230343084564	213.02877940063215	722.6688208575172	99.9999903689	499.999951844
1850.0.	0.43824420178109	999.5616594872167	499.999951844	3.181824876943769	96.81816549195612	3816.698826616715	160.33727795488338	22.96351018840587	135.93940523124152	302.68678862300254	561.3737098347511	99.9999903689	499.999951844
1900.0.	0.609106553627856	999.390797135369	499.999951844	4.156033497237885	95.84395687166199	3992.5433572004154	7.441189756410866	0.015067803176666	341.4143271825281	349.74238044687706	308.8431960595907	99.9999903689	499.999951844
1950.0.	1.222091438020665	998.7778122509751	499.999951844	6.7873327555320095	93.21265761336785	3971.95597117643	27.872591641458925	0.171051942117491	632.4118850625493	248.43157769544348	119.15644093100316	99.9999903689	499.999951844
2000.0.	13.331163616229391	986.6687400727681	499.999951844	14.805039672415372	85.19495069648454	3479.9559775858397	479.3946510344555	40.64898613970564	936.7741228183061	54.01386582575275	9.211915044937468	99.9999903689	499.999951844
2050.0.	0.9069624952825561	999.0929411937137	499.999951844	16.95464393629964	83.04534643260023	2718.3829690737343	1004.116284498667	277.5003611875941	496.2347894246854	328.8466302353844	174.91848402892546	99.9999903689	499.999951844
2100.0.	0.445076036464273	999.5548276525324	499.999951844	4.105702038883735	95.89428833001617	3006.049754479208	788.8150170329002	205.13484324788618	166.76287993689078	289.13656590879816	544.100457843306	99.9999903689	499.999951844
2150.0.	0.39136085705967905	999.6085428319374	499.999951844	2.970294283452277	97.02969608544763	3342.4570452242087	536.3058647517005	121.2367047840835	66.88564730418645	208.26579534601044	724.8484610387985	99.9999903689	499.999951844
2200.0.	0.4104667833603	999.589436905637	499.999951844	3.021661403645922	96.97832896525401	3684.8735944627556	268.21747833738175	46.90854195985446	92.41785247285432	259.7320381030802	647.8500131130606	99.9999903689	499.999951844
2250.0.	0.517729557191704	999.4821741318056	499.999951844	3.6414777073226423	96.35851266157725	3976.7478483764016	22.123608169514696	1.128158214074975	244.83901631434387	348.69028150977607	406.4706058648756	99.9999903689	499.999951844
2300.0.	0.8608899886647081	999.1390137003324	499.999951844	5.403038965151766	94.59695140374802	3985.6334472422423	14.318574937264577	0.04759258048479	508.5550194006654	305.1415553044233	186.30332898390589	99.9999903689	499.999951844
2350.0.	3.195883129769764	996.8040205592283	499.999951844	10.520344845035842	89.47964552386402	3862.7361014213125	133.97117603202537	3.292337306651574	829.553029946597	129.60929268748143	40.83758105491655	99.9999903689	499.999951844
2400.0.	2.8256552344763373	997.1742484545221	499.999951844	20.897526116689367	79.10246425221052	2687.338219487372	1040.6663578416988	271.9950374309186	727.4115738685817	223.54551448729222	49.042815333121105	99.9999903689	499.999951844
2450.0.	0.517630098664092	999.4822735903352	499.999951844	6.774095257284021	93.22589511161583	2879.603966690265	882.3092271247335	238.08642094499086	262.27715897884167	330.3667645112554	407.3559801988979	99.9999903689	499.999951844
2500.0.	0.40101102214903306	999.5988926668502	499.999951844	3.12477959301871	96.8752107758812	3205.78525381708	639.8837519054123	154.33060903750032	88.05809660967432	227.93038372080048	684.0114233585199	99.9999903689	499.999951844
