time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
1040.0.	767.8754620935445	232.12444159545925	499.999975922	0.0014445018033240001	32.276410323652506	1389.3408474745218	512.2294433685911	0	783.1561233797294	0.175690008164216	750.318520777954	3846.35831760575	148.21463202222722	5.426665132032543	216.57204816146742	0.09418802083835001	0.00040961699363900004	99.9999903689	499.999951844
1080.0.	726.3354958169657	273.66440787203817	499.999975922	0.004534804771109	13.387703491308473	1032.8335775159028	530.4336421936947	0	783.015491219462	0.31323186548165804	777.0030025425825	3790.581135323573	199.43239038357123	9.986089052864967	216.49476009006463	0.17059648185605503	0.0012892273621830002	99.9999903689	499.999951844
1120.0.	688.511651056848	311.48825263215576	499.999975922	0.013347017979257001	5.552990652938608	762.5942795040764	542.4156832289759	0	782.7947964216373	0.5251144500989721	794.5684316264436	3724.4210172695944	258.51110131595476	17.06749617446006	216.37412783012908	0.28872582181205403	0.0037921473428450003	99.9999903689	499.999951844
1160.0.	653.6661500252336	346.33375366377004	499.999975922	0.035769565584628	2.30328564054601	560.9338572781294	549.7371604788295	0	782.4496213370987	0.847866987032844	805.303261012168	3645.2619406167946	326.9037485232362	27.833925619978775	216.1881789159229	0.46830883764916403	0.010158045711165001	99.9999903689	499.999951844
1200.0.	621.336578465548	378.6633252234557	499.999975922	0.089953001728443	0.95536353414684	411.7251360557489	553.6120757573568	0	781.9085870870407	1.3347178009455432	810.9866714498994	3550.2531485600343	405.81822304783634	43.92824315213969	215.90358723016323	0.7375242294501451	0.025534339669444003	99.9999903689	499.999951844
1240.0.	591.2853414178884	408.7145622711155	499.999975922	0.21566345080790503	0.396268471531845	301.8446928617187	554.9583939182805	0	781.0565594850127	2.061034953893783	812.9640296769988	3436.527099656679	495.89673114845374	67.57578395487728	215.47032449694586	1.135131167234823	0.061190135101958004	99.9999903689	499.999951844
1280.0.	563.5336881284148	436.4662155605894	499.999975922	0.49653671461401105	0.164365417508667	221.1394795726578	554.4601297273507	0	779.706789951421	3.129931223681178	812.2378431760594	3301.569948058466	596.8020828313781	101.62758387016852	214.81389166397332	1.711950599046269	0.140803536263815	99.9999903689	499.999951844
1320.0.	538.4859160044787	461.5139876845253	499.999975922	1.100245447476512	0.06817656832048201	161.95078918308457	552.6228939716437	0	777.5560153637597	4.676997078453925	809.5491536573404	3143.717675113959	706.8025537354127	149.47938591064045	213.8240953897434	2.530765428154905	0.311784981411247	99.9999903689	499.999951844
1360.0.	517.1459536998184	482.8539499891863	499.999975922	2.345091924500808	0.028291040218851003	118.57849350605177	549.8187413549249	0	774.1153882355039	6.8727777297110855	805.4432611248558	2962.705283151953	822.4953603987095	214.79897120935038	212.33902074365727	3.663629891204034	0.663995164421823	99.9999903689	499.999951844
1400.0.	501.3518023376995	498.6481013513053	499.999975922	4.80088533027347	0.011959227901632001	86.81122517500742	546.3207362526023	0	768.6108021479339	9.92157041151073	800.3203822229359	2760.1162979265655	938.8481339210251	301.0351829124238	210.1226336655829	5.186018138000231	1.357993995700536	99.9999903689	499.999951844
