time	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
6750.0.	177.60283100366286	59.861189010507765	62.535979985829215	287.07731062571634	82.91476514684105	17.085234853158777	9.76217754706528	3.1605118272209882
6840.0.	201.13856532238435	59.95778814697743	38.90364653063804	269.4074119739794	68.50835132370727	31.49164867629247	20.225237619792285	10.36735040623089
6930.0.	194.64075380159073	61.98439737684043	43.374848821568676	226.37647127977397	50.17157577365702	49.82842422634277	39.6596271649414	33.963901555287165
7020.0.	122.1091406610028	73.08108325984627	104.80977607915082	167.5012133968327	46.92930505935586	53.07069494064392	59.289183073931184	73.20960352923862
7110.0.	9.076674259692682	58.095067915742	232.82825782456533	122.58233754498146	56.054719139265806	43.94528086073398	72.08445757520865	105.33320487981241
7200.0.	0.450047116872036	2.988192544304935	296.56176033882315	104.17121730107402	68.53511591400216	31.46488408599765	79.2469121797347	116.58187051919403
7290.0.	0.5060563954207911	3.214527016243893	296.2794165883354	110.6266052637953	79.79817521367339	20.20182478632638	83.5919626207892	105.78143211541817
7380.0.	0.87945358752015	4.472838857563648	294.64770755491605	136.88630328150956	88.61800076422094	11.381999235778792	85.672514375294	77.44118234319913
7470.0.	2.516714194439222	8.501911293840738	288.9813745117202	177.06004445489847	93.97998386683076	6.020016133168964	82.95428967511491	39.98566586998942
7560.0.	11.150153478030978	19.5626417594993	269.28720476246986	223.51075840632086	96.03300635506085	3.9669936449387873	66.96762609022663	9.521615503455559
7650.0.	34.58600362669307	32.733748384819556	232.68024798848748	266.9306255181647	96.20511796699881	3.794882033000862	31.25031084515275	1.8190636366854962
7740.0.	64.53574643663022	42.67963432980692	192.784619233563	292.2572870028844	95.51674257151532	4.483257428484251	6.818246863995061	0.92446613312361
7830.0.	97.31154853203216	50.165471526235805	152.5229799417323	296.08344180489945	94.14076946091879	5.85923053908078	3.368711379482109	0.54784681562117
7920.0.	131.06963339235955	55.64739926551449	113.28296734212614	294.6750113376373	91.62143004117715	8.378569958822384	4.454229136318359	0.8707595260470591
8010.0.	164.03603495618236	59.08940665187077	76.87455839194705	290.59711809202594	86.6349426766287	13.365057323370833	7.390687128834822	2.012194779141757
8100.0.	192.58647739846	60.13511900047777	47.27840360106229	279.51337646267007	76.03556191523394	23.964438084765543	14.495966786283116	5.990656751049239
8190.0.	203.661535723086	60.165600516721774	36.17286376019226	248.95753627900626	57.450962550970864	42.54903744902861	30.273006102052264	20.769457618943942
8280.0.	163.58597754645857	67.44114427588403	68.97287817765744	193.32812484374298	46.139233071704425	53.86076692829506	51.310222627623055	55.36165252863645
8370.0.	54.052458808716516	76.14473280119202	169.80280839009154	139.45878011214396	51.19320445103347	48.80679554896601	67.29661279416028	93.24460709369819
8460.0.	1.100621274128764	6.510665830097795	292.3887128957737	108.94854648648781	63.03057009440656	36.969429905592925	76.57134077791069	114.48011273560385
8550.0.	0.45134038318219605	3.004200332521311	296.5444592842971	105.03391807502256	75.06044303494104	24.939556965058554	81.91271680420883	113.05336512077095
8640.0.	0.652789668344066	3.739256582018651	295.60795374963806	123.17473358250957	85.09404846204492	14.90595153795476	85.11962568297379	91.70564073451902
8730.0.	1.475760910706661	6.132980725896712	292.3912583633976	158.0513584614349	92.07276002983997	7.92723997015976	85.0682911283209	56.88035041024672
8820.0.	5.6759522908076185	13.705693932279983	280.6183537769136	202.73963249999306	95.44885274784639	4.551147252153374	76.66791011381734	20.592457386192002
8910.0.	22.842502631703923	27.309944389768663	249.84755297852854	248.8941729290645	96.27437270999677	3.725627290003023	47.94958700941551	3.15624006152246
9000.0.	50.873002715539506	38.6319946495838	210.49500263487775	284.44934229185674	95.89933094074189	4.100669059257869	14.278746806077908	1.271910902067981
