time	species_0	species_1	species_2	species_3	species_4	species_5	species_6
21.0.9.0	0.49584631858828304	0.680901359921246	0.9413723905768201	0.72409799191597	2.8062770676347952	3.800905459811354	2.387561485254682
22.0.2.0	0.5407331607483511	0.7839130925881761	1.044287645761408	0.66408220731586	3.043948511506144	3.8224915064336793	2.493528601640234
22.0.5.0	0.5842590863152061	0.895410589721898	1.175298097856912	0.6321483962494521	3.247315722821634	3.733225794794318	2.508026531435834
22.0.8.0	0.6213207358206211	1.005625420859798	1.326313874315046	0.626880377310011	3.388758335605031	3.554249461387853	2.4233902117849713
23.0.099999999999998.0	0.647118849728718	1.102583453989304	1.485502479126803	0.6467144093104461	3.448260694703076	3.319552994652006	2.252286873650049
23.0.4.0	0.6582492994423791	1.173722634707963	1.6377932025714061	0.690311431407932	3.418679047970794	3.063516564230679	2.024272198818055
23.0.7.0	0.653506410923666	1.208266741474807	1.766437436901556	0.756145317409034	3.307165293463045	2.813601439990345	1.776073269031282
24.0.	0.634069293633661	1.199848599851182	1.855552920999385	0.841714178929526	3.132296189078297	2.588833443656494	1.540824383104346
24.0.3.0	0.603037567783507	1.148547695299232	1.89318795085702	0.942773852110501	2.91856385611276	2.401097752707175	1.34122945926265
24.0.599999999999998.0	0.564571086807307	1.061418635836824	1.874057306927902	1.05291930886732	2.690743626756937	2.2570283723209448	1.188357984850288
24.0.9.0	0.5229969832784	0.9510010961718881	1.800956356332339	1.163677333293336	2.470009798113875	2.159771492354837	1.084482333816605
25.0.2.0	0.48215770718355805	0.8322033737816421	1.6841894983280472	1.265082549799845	2.272337124178987	2.110487553491545	1.027170931161005
25.0.5.0	0.445094527617221	0.7188086926518421	1.539126144276935	1.346616375756632	2.108682040883775	2.109512905474095	1.012626209611859
25.0.8.0	0.414013798041073	0.620996395720507	1.382803392005391	1.3984248923127511	1.986077542873347	2.157077519724428	1.0375891387908731
26.0.099999999999998.0	0.390420194066499	0.544587731184601	1.230811988054417	1.412786510580099	1.90891628253525	2.25346144951719	1.0999847336481001
26.0.4.0	0.37530598286667705	0.49178432689427404	1.095370906245942	1.385738118373032	1.87998972106656	2.398443597327928	1.19869932479683
26.0.7.0	0.369318371148858	0.462613087238803	0.984818585680112	1.318546953099923	1.901077913847976	2.5898723134654853	1.332751340799849
27.0.	0.372858413620169	0.45630300823574504	0.9041708467618871	1.218436767808846	1.972992391294136	2.82127984575252	1.499932731380822
27.0.3.0	0.38608429962039204	0.47214365425710103	0.8561532770415331	1.097887194596468	2.095008086047421	3.07886017856679	1.694934244741718
27.0.599999999999998.0	0.40880322055709	0.5096984804301771	0.8421687841426341	0.9722146535738351	2.263665387839786	3.338984460350272	1.9071452036003422
27.0.9.0	0.44025255598351104	0.568443431875168	0.8628500888239261	0.8560498566180491	2.471083051819801	3.568515198274191	2.118809621811339
28.0.2.0	0.478808786231102	0.6470091633768841	0.9180540702830441	0.760209534403252	2.703270087491248	3.730403781588678	2.304892471224893
28.0.5.0	0.521727710058921	0.742278100828468	1.006339385540326	0.690422214675223	2.939385460464668	3.79469800046408	2.436278238690277
28.0.799999999999997.0	0.565087995419814	0.848627165617553	1.124120437547476	0.64817682120978	3.153117412631746	3.750166569076954	2.4868753614691492
29.0.099999999999998.0	0.604116653268809	0.9576061226647471	1.264797938054474	0.6326442532812	3.316823857814811	3.608739615216499	2.4426147127199043
29.0.4.0	0.63395305728586	1.058307349810784	1.41822343143053	0.6423443082750611	3.407664454243174	3.399251901467179	2.307882505319144
29.0.7.0	0.650676480640294	1.138588022225736	1.570853818951944	0.6758975807102181	3.413451256959546	3.155599378440636	2.105298771592744
30.0.	0.6522236629176871	1.1871015750364031	1.706859973215242	0.731908939976036	3.335621878891556	2.907432826837644	1.8684830511636492
