time	R	Rin	x1	x1p	x2	x2p	x3	x3p
36.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974447065533201	0.0025552934466790004	0.992075369725503	0.007924630274497	0.9724222035273611	0.027577796472638003
37.0.	0.0008400985030870001	0.49915990149691203	0.9974452110084491	0.0025547889915510003	0.9920928603983891	0.00790713960161	0.97282946717892	0.027170532821078
37.0.5.0	0.0008400985030870001	0.49915990149691203	0.997445645513482	0.0025543544865180004	0.9921081459870901	0.007891854012909	0.973189540993413	0.026810459006585
38.0.	0.0008400985030870001	0.49915990149691203	0.9974460197679781	0.002553980232023	0.992121501944743	0.007878498055256	0.9735077908559611	0.026492209144038003
38.0.5.0	0.0008400985030870001	0.49915990149691203	0.997446342126526	0.002553657873475	0.992133169706167	0.007866830293832	0.9737889891956921	0.026211010804307003
39.0.	0.0008400985030870001	0.49915990149691203	0.9974466197852451	0.0025533802147560004	0.9921433608281871	0.007856639171812	0.974037377697164	0.025962622302835
39.0.5.0	0.0008400985030870001	0.49915990149691203	0.997446858942413	0.002553141057588	0.9921522606357621	0.007847739364237001	0.9742567239351131	0.025743276064885003
40.0.	0.0008400985030870001	0.49915990149691203	0.9974470649368351	0.0025529350631660003	0.992160031431307	0.007839968568692	0.9744503724097331	0.025549627590266
40.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974472423670141	0.0025527576329880002	0.992166815318215	0.007833184681784	0.974621290447169	0.025378709552830003
41.0.	0.0008400985030870001	0.49915990149691203	0.9974473951938061	0.002552604806196	0.9921727366838391	0.007827263316161001	0.974772109410946	0.025227890589052
41.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974475268288381	0.002552473171164	0.9921779043820851	0.007822095617914	0.9749051616466231	0.025094838353376003
42.0.	0.0008400985030870001	0.49915990149691203	0.9974476402106651	0.0025523597893370004	0.9921824136511841	0.007817586348815	0.9750225135560101	0.024977486443989002
42.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974477378703711	0.0025522621296310004	0.9921863477981161	0.007813652201883	0.9751259951699621	0.024874004830037003
43.0.	0.0008400985030870001	0.49915990149691203	0.997447821988063	0.002552178011939	0.9921897796775461	0.007810220322454001	0.9752172265610771	0.024782773438921
43.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974478944415491	0.0025521055584530002	0.9921927729898731	0.007807227010127001	0.975297641410327	0.024702358589672003
44.0.	0.0008400985030870001	0.49915990149691203	0.997447956848247	0.002552043151755	0.9921953834201431	0.007804616579857	0.9753685080151361	0.024631491984863002
44.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974480106012981	0.002551989398704	0.9921976596370021	0.007802340362998	0.9754309480011901	0.024569051998808003
45.0.	0.0008400985030870001	0.49915990149691203	0.9974480569006621	0.0025519430993400003	0.992199644168622	0.007800355831378	0.9754859529763411	0.024514047023658003
45.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974480967799071	0.0025519032200950003	0.9922013741705251	0.007798625829475001	0.9755343993426481	0.024465600657351
46.0.	0.0008400985030870001	0.49915990149691203	0.9974481311292801	0.002551868870721	0.9922028820984451	0.007797117901554001	0.9755770614618681	0.02442293853813
46.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974481607155841	0.002551839284417	0.9922041962978211	0.007795803702178	0.9756146233505271	0.024385376649472
47.0.	0.0008400985030870001	0.49915990149691203	0.9974481861992911	0.00255181380071	0.9922053415201001	0.007794658479898001	0.975647689063125	0.024352310936874
47.0.5.0	0.0008400985030870001	0.49915990149691203	0.99744820814929	0.0025517918507120003	0.992206339374834	0.0077936606251650005	0.9756767919059741	0.024323208094025002
48.0.	0.0008400985030870001	0.49915990149691203	0.9974482270555821	0.00255177294442	0.9922072087254431	0.007792791274557001	0.975702402609479	0.024297597390520002
48.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974482433402251	0.0025517566597760004	0.992207966035595	0.007792033964405001	0.9757249365733961	0.024275063426603002
49.0.	0.0008400985030870001	0.49915990149691203	0.997448257366751	0.0025517426332500003	0.9922086256722871	0.007791374327714	0.9757447602875551	0.024255239712444
49.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974482694482831	0.0025517305517190002	0.992209200170972	0.007790799829029001	0.975762197019658	0.024237802980341002
50.0.	0.0008400985030870001	0.49915990149691203	0.9974482798545241	0.0025517201454780002	0.992209700467455	0.007790299532546001	0.9757775318519251	0.024222468148074
