time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
48.0.	0	0.047120737756160005	0.000607570983168	0.00023551029083000003	0.007349391244345	0.014187747585355001	0.00094134718413	0.000218963660599	0	0.004333411211651	0.11874449707478502	0.7597562927669781	0.085060410060419	0	0.21956795598175902	0.0022701910360060002	0.05819613272083501	0.014721990596063002	0.967535173064442	0.014903140956504001	0.024356412451283	0.018471228151088002	2.8064108389401652e-05	0.9990417880460181
50.0.	0	0.046700313912728005	0.00056512443531	0.000219881823419	0.007352386788431001	0.013736420362597	0.0009585758849170001	0.00022952710816800002	0	0.004538004867589001	0.122896623254566	0.779043512108706	0.083064569295853	0	0.21361380579800401	0.0023471051752310002	0.058395893719083006	0.014737358596265002	0.965473808121849	0.014926798526314	0.025910520673367	0.018708988985828002	3.055806186976376e-05	0.9989662366641511
52.0.	0	0.046205445827439004	0.000525913007765	0.00020514817103800003	0.007367039357991	0.013306173706296002	0.0009755032771060001	0.00024114464297100003	0	0.004762616921529001	0.127345695631184	0.797159308005253	0.08107461091029	0	0.20796679525080403	0.002425030190238	0.058520060649991004	0.014748337254733	0.9631458235877071	0.014946469130864	0.027668742542095	0.018967941679933	3.2993369207925294e-05	0.9988970956566671
54.0.	0	0.045625257181002	0.000489434844348	0.000191134830243	0.007394976351125001	0.012891858846140001	0.0009920707538510001	0.000254141301294	0	0.005013417291472	0.132187517821991	0.814049018618745	0.079080695008058	0	0.202624586788197	0.002503670650868	0.058555639003918004	0.014755569655599002	0.960465156727009	0.014962908433897	0.029698344044303004	0.019228783139541003	3.5321643667919904e-05	0.9988354917337461
56.0.	0	0.044942005189658005	0.000455190379536	0.00017765941958200002	0.007438803455046001	0.012487671060069	0.001008208000035	0.00026900271939200003	0	0.005299614332479	0.137563840783879	0.8296160750455811	0.077070099692454	0	0.197588027562337	0.002582636027287	0.05848413447523901	0.014759528635210002	0.9573004835635951	0.014976746025431002	0.032102705658041006	0.019478045434078002	3.749885506438408e-05	0.9987826996311281
58.0.	0	0.044126778906367	0.000422642444928	0.000164511570139	0.0075027327246890005	0.012086391633401	0.0010238224606790001	0.00028649454745900005	0	0.0056357066251290005	0.143695758517279	0.843691901486429	0.075024318690888	0	0.19286399504151003	0.002661375531548	0.058277657305335004	0.014760519284893001	0.9534399947562061	0.014988514137311	0.035050208860166	0.019704355852219	3.9481712837782776e-05	0.9987402508256711
60.0.	0	0.043131093483978006	0.000391147323949	0.00015142028211100002	0.007593810695058	0.01167798811405	0.0010387810501530001	0.00030790717422400003	0	0.006046087243715001	0.15095122162034	0.8559748558969751	0.072914219526251	0	0.18847014336401402	0.0027390616642640002	0.057891499718594	0.014758657809711001	0.9485176560125621	0.014998675925157	0.038835730309316	0.019895527181251	4.1225444545657344e-05	0.9987100925070661
62.0.	0	0.041869159421677	0.000359820218352	0.00013799250518600002	0.0077245097733390005	0.011246741793234	0.001052874141113	0.000335609454421	0	0.006575427487263001	0.159995075595519	0.865893847633699	0.07069049310846001	0	0.18444427866777902	0.002814358531602	0.057248650048375004	0.014753803990985002	0.9418427879883271	0.015007658957161002	0.044025999701854	0.020035174794679003	4.268380643480752e-05	0.9986948519927631
64.0.	0	0.040176879085366005	0.00032724193582100004	0.000123585191044	0.007918716869543001	0.010764700035689	0.0010657370197080002	0.000374470961082	0	0.0073152092303070005	0.17216445489986001	0.8722645990401231	0.06826231265917601	0	0.18086532856297002	0.0028849111067810003	0.056204082770713	0.014745383790861	0.9319543910104111	0.015015907757161	0.051851602108579004	0.020096777517687	4.381546282401125e-05	0.9986983133229401
66.0.	0	0.037706972359202	0.00029075905268400004	0.00010702193516600001	0.008226977008897001	0.010175104227098001	0.001076661488039	0.000436177622974	0	0.008483483277519	0.19055894436053802	0.8722803617323621	0.06544337651161701	0	0.177906304891351	0.002946086884129	0.054452702859181	0.01473189894737	0.9152613652248871	0.01502399787195	0.06545467627109401	0.020029810757801	4.4613483062818446e-05	0.9987263059165711
