time	a1	a2	a3	x1	x2	x3
22.0.5.0	2.1080256474106012e-10	1.3906760539848012e-05	9488658882863328.0	0.6768660384479821	1.04137416909437	9.999998309760253
23.0.	1.784779172643386e-10	1.7641343341311744e-05	9975156143951898.0	0.655031239243379	1.057997960427207	9.999998974817672
23.0.5.0	1.519105510675881e-10	2.224489883655664e-05	1.048659545100439e+16	0.6345709804225	1.089795704872983	9.99999937819544
24.0.	1.299403335665228e-10	2.776756974590056e-05	1.102425604563232e+16	0.615359440379451	1.139343651023651	9.99999962285645
24.0.5.0	1.116665688316895e-10	3.4148882172586214e-05	1.158948259972946e+16	0.597285697661265	1.20941956289435	9.999999771250863
25.0.	9.638454993221712e-11	4.1150192040187e-05	1.2183688627349892e+16	0.580251589044503	1.302635359133487	9.999999861256631
25.0.5.0	8.35388863812428e-11	4.829495973203107e-05	1.2808360050790802e+16	0.564169926709948	1.4208153349027182	9.999999915847889
26.0.	7.268885582941094e-11	5.4856571739627455e-05	1.3465058936296698e+16	0.54896300620117	1.564088859927533	9.999999948959161
26.0.5.0	6.348245954930295e-11	5.994359664378179e-05	1.415542741287054e+16	0.534561351308894	1.729776301658082	9.999999969042165
27.0.	5.5636836665683663e-11	6.270855757323781e-05	1.48811917866336e+16	0.5209026531273251	1.9113462930207672	9.999999981223127
27.0.5.0	4.892336460693283e-11	6.263347395812144e-05	1.56441668627071e+16	0.507930869122592	2.0979644135313302	9.99999998861125
28.0.	4.315624177651448e-11	5.975711004521472e-05	1.644626048649684e+16	0.49559545475201106	2.27526867003336	9.999999993092375
28.0.5.0	3.818367807276396e-11	5.4693359226351396e-05	1.7289478316421532e+16	0.48385070542936504	2.427730353908211	9.999999995810313
29.0.	3.388105296019907e-11	4.840525451041058e-05	1.817592884045606e+16	0.47265519078259105	2.542163161342801	9.999999997458826
29.0.5.0	3.014556848876407e-11	4.1866259743223575e-05	1.910782864931204e+16	0.46197126644843006	2.6110092988721982	9.999999998458701
30.0.	2.689204580296291e-11	3.58003628050375e-05	2.0087507979619052e+16	0.45176465128415405	2.633815943141631	9.999999999065155
30.0.5.0	2.4049601901084576e-11	3.0598278084375576e-05	2.111741654108063e+16	0.44200405999411	2.616284821324073	9.999999999432989
31.0.	2.155900813322903e-11	2.637470670663544e-05	2.220012964224805e+16	0.43266088287907806	2.567699342940723	9.99999999965609
31.0.5.0	1.937057976462551e-11	2.307697476017531e-05	2.333835463027561e+16	0.42370890580470905	2.498178166027881	9.99999999979141
32.0.	1.744248152947389e-11	2.0579620083787574e-05	2.4534937660789772e+16	0.415124064617409	2.416771417796627	9.999999999873483
32.0.5.0	1.573936076660217e-11	1.8743366524326064e-05	2.57928708148185e+16	0.40688422916356004	2.330613644521118	9.999999999923265
33.0.	1.4231239828965859e-11	1.7443328628012334e-05	2.7115299580589452e+16	0.39896901283106906	2.244845474327314	9.999999999953458
33.0.5.0	1.289261470247093e-11	1.6578280549311053e-05	2.8505530718912348e+16	0.39135960416277304	2.1629198120285382	9.999999999971772
34.0.	1.170171839631148e-11	1.6070623971517664e-05	2.996704053181862e+16	0.384038617614177	2.087017040963729	9.999999999982878
34.0.5.0	1.063991658437368e-11	1.5862753431130214e-05	3.150348355513663e+16	0.37698996096353704	2.018428340108563	9.999999999989617
35.0.	9.691209852973152e-12	1.5912574706021514e-05	3.311870169674104e+16	0.370198717246213	1.9578577444081562	9.999999999993703
35.0.5.0	8.841822238852829e-12	1.6189263879135313e-05	3.481673384332749e+16	0.36365103939042104	1.905639589263556	9.999999999996177
36.0.	8.079859891326788e-12	1.6669558404206432e-05	3.660182595973557e+16	0.357334055988396	1.8618851406566632	9.99999999999768
36.0.5.0	7.39502693974856e-12	1.7334553296432942e-05	3.8478441706074136e+16	0.35123578685377205	1.826575256301228	9.999999999998595
