time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
26.0.64.0	1.820277543745689	0.46174046119847	4.140729589082478	4.056475815110923	2.571138597503381	0.114171288100518	2.5711385975033823	3.047667615506733	0.26491256053114504	0.003185	0.30891377995124203	0.003185	0.23674555638606	0.003185	0.155499761423694	0.12726714301077002	0.12726714301077002	0.17463731108743002	0.43267567755041203	0.479236043742697	0.23674555638606	0.003185	0.25648729569940504	0.003185
27.0.36.0	2.358317098307157	0.46850832759452604	4.370470519370536	4.020225059487092	2.582634486828771	0.08953029244716301	2.582634486828772	3.100958519018749	0.26667013126084804	0.003185	0.311364185906499	0.003185	0.242029810090878	0.003185	0.212732345762833	0.185694158052521	0.185694158052521	0.25112630728935603	0.43176218119924004	0.48046500623674204	0.242029810090878	0.003185	0.26706888988898103	0.003185
28.0.08.0	2.753153253368146	0.48359400424837506	4.5504922557071765	3.992525423612695	2.6206272488709	0.07922309219762501	2.620627248870902	3.215795437098385	0.267165001008461	0.003185	0.316109818406348	0.003185	0.250363471644839	0.003185	0.274034941364638	0.24505895740949502	0.24505895740949502	0.325153710884973	0.42760346923969406	0.48586016083495004	0.250363471644839	0.003185	0.281982550524398	0.003185
28.0.799999999999997.0	2.956818064394297	0.50400592060396	4.654156851798504	3.974824581095675	2.674652021840672	0.076909336042099	2.6746520218406733	3.379008231823747	0.26612480131175903	0.003185	0.322278468511907	0.003185	0.260680021905765	0.003185	0.331629230686099	0.297542170909374	0.297542170909374	0.386964447482668	0.420389816528467	0.495009154586984	0.260680021905765	0.003185	0.299388383667677	0.003185
29.0.52.0	2.94351890398024	0.527222552762052	4.6659056955855895	3.967377974011248	2.737354578658	0.080822127133302	2.737354578658001	3.573579749867544	0.26350468100678104	0.003185	0.329148103512413	0.003185	0.272043248869258	0.003185	0.37966419634187104	0.33785425574748	0.33785425574748	0.43131442369366	0.41092466820521706	0.5068090539539251	0.272043248869258	0.003185	0.317831784722653	0.003185
30.0.24.0	2.70651568132885	0.551233940434045	4.580654090423174	3.969658835512684	2.8044384831964653	0.091890733731042	2.804438483196466	3.784303256512246	0.25949876340153905	0.003185	0.336248711487164	0.003185	0.28378078592841	0.003185	0.41449210811855003	0.36308276834854003	0.36308276834854003	0.456356281801269	0.40024487653787005	0.519968528200077	0.28378078592841	0.003185	0.336354753197448	0.003185
30.0.959999999999997.0	2.25710182679538	0.574156501573302	4.402529254235758	3.980733829871186	2.874566849566566	0.11473035596799401	2.874566849566566	3.999661508670346	0.254461404015615	0.003185	0.34330599073370305	0.003185	0.29543381441674704	0.003185	0.434149366349786	0.371853982734392	0.371853982734392	0.46182834354310504	0.38929227891661505	0.5333744161450821	0.29543381441674704	0.003185	0.354344451419907	0.003185
31.0.68.0	1.6300266973225699	0.5928501889769661	4.144251895583539	3.999499859668051	2.950586167233687	0.16390876211857702	2.950586167233687	4.211316929133668	0.24880393522732402	0.003185	0.35015676992628103	0.003185	0.30665439279265405	0.003185	0.43764112257436405	0.363504353692202	0.363504353692202	0.44763874774717805	0.37876576750786906	0.546225882604626	0.30665439279265405	0.003185	0.37134331408597204	0.003185
32.0.4.0	0.9161114715335591	0.597192954477876	3.831756333597955	4.024797279878079	3.047603430217519	0.293014881372677	3.047603430217519	4.412628824221985	0.24291517402749402	0.003185	0.3566808494904	0.003185	0.31709975797704204	0.003185	0.424707645918368	0.337984155029666	0.337984155029666	0.41364127258177	0.369119451246525	0.558007895441201	0.31709975797704204	0.003185	0.386874822278568	0.003185
33.0.12.0	0.367386635452535	0.561908681179154	3.528023136431444	4.055437065284471	3.222076548220799	0.684357397370985	3.222076548220799	4.5969155219691	0.237121299699204	0.003185	0.36275320505817404	0.003185	0.326348979199299	0.003185	0.39771008454474405	0.298441579260442	0.298441579260442	0.363048951746043	0.360633187989402	0.568394664642337	0.326348979199299	0.003185	0.400304801229716	0.003185
33.0.839999999999996.0	0.161143727903966	0.5190737387209791	3.321589734406838	4.090188514045185	3.518393847334113	1.444521317061228	3.518393847334113	4.756575879589007	0.231679655980694	0.003185	0.36824041542900604	0.003185	0.333969456331599	0.003185	0.36460297450191803	0.254982047678434	0.254982047678434	0.30799920771459605	0.35349715467709203	0.5771513700203651	0.333969456331599	0.003185	0.41095204033654803	0.003185
34.0.56.0	0.09514727303827301	0.49751120358980405	3.19997639867858	4.127798574802618	3.847229585917111	2.348413432843132	3.847229585917113	4.884799625226643	0.22679019986058502	0.003185	0.37303933163233105	0.003185	0.339716075694854	0.003185	0.331831819404005	0.21536245177461802	0.21536245177461802	0.258186861291513	0.347854898745519	0.5841013797453091	0.339716075694854	0.003185	0.41844708110613305	0.003185
35.0.28.0	0.06695269064268501	0.484376824102325	3.118019324842222	4.167037350942686	4.148491763595497	3.251115842014759	4.148491763595496	4.977574941803467	0.22260483645328902	0.003185	0.377077043864385	0.003185	0.34352889401930903	0.003185	0.30122659087006304	0.181203332787003	0.181203332787003	0.21558845961797102	0.34378894973449603	0.58915293027005	0.34352889401930903	0.003185	0.42274785780284	0.003185
36.0.	0.052218944515097	0.47488325800198206	3.057129865129046	4.206725368345393	4.406293672753345	4.08806589272213	4.406293672753343	5.033796596121538	0.219228680363758	0.003185	0.380299199511745	0.003185	0.34545968969247404	0.003185	0.273139393694104	0.152265078199428	0.152265078199428	0.179808421003775	0.34130477262812603	0.5923105805527661	0.34545968969247404	0.003185	0.424009159543043	0.003185
36.0.72.0	0.043618572540754005	0.467824234714294	3.011811522581726	4.2457498519871955	4.617195547026719	4.822674465178606	4.617195547026717	5.054602230112716	0.21672021421999801	0.003185	0.38266775712734	0.003185	0.34563157017525004	0.003185	0.24755060984687502	0.127935580363798	0.127935580363798	0.14999056269628502	0.340338681262122	0.593658624937448	0.34563157017525004	0.003185	0.42250320304675604	0.003185
