time	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
14.0.	0.889046188015268	0.0036471001730370004	0.41439803015571103	0.09290868165598201	0.049999988701286004	1.2987134901763262e-09	0.03	0.029182623426084003	0.000817365275201	0.002887751168508	0.000207140044984	0.19690500748779202
14.0.25.0	0.888467798889344	0.003380711961343	0.41508809408839403	0.093063395060917	0.049999988794118	1.2058811470476101e-09	0.03	0.029181281070680003	0.000818707723438	0.002676908135283	0.00019201812992800002	0.19713097252890602
14.0.5.0	0.887931656240541	0.0031337807883740003	0.41572775495164105	0.093206808019441	0.049999988880454004	1.119545890328745e-09	0.03	0.029180036817605	0.000819952062848	0.002481457744348	0.00017799991558300002	0.19734044122052102
14.0.75.0	0.8874346735377041	0.0029048862535400004	0.41632069427300705	0.09333974593574701	0.04999998896072701	1.039272932125424e-09	0.03	0.029178883493534	0.0008211054671920001	0.002300276479662	0.00016500488143800002	0.197534617599625
15.0.	0.8869739898589211	0.002692711394082	0.41687032479499503	0.09346297395200101	0.049999989035346006	9.646536550202947e-10	0.03	0.029177814449951003	0.000822174585394	0.0021323227991690004	0.00015295837641900002	0.19771461785975603
15.0.25.0	0.8865469533861711	0.0024960352196590004	0.41737981005579206	0.093577201338377	0.049999989104695004	8.953044860185905e-10	0.03	0.029176823524768	0.000823165579927	0.001976631158312	0.000141791191741	0.19788147675464002
15.0.5.0	0.886151106109414	0.0023137257695920004	0.417852082555128	0.093683085565865	0.04999998916913401	8.308657423068277e-10	0.03	0.029175905006728002	0.000824084162405	0.001832306468641	0.00013143916474	0.19803615353575202
15.0.75.0	0.8857841696512491	0.0021447336598880004	0.41828986060469403	0.09378123608416701	0.049999989228999	7.71000466399975e-10	0.03	0.029175053602417	0.000824935626581	0.0016985189599230002	0.000121842811471	0.19817953745760403
16.0.	0.88544403212984	0.0019880860883910003	0.41869566395623303	0.09387221782553501	0.04999998928460601	7.153932647926969e-10	0.03	0.029174264405675002	0.000825724878931	0.001574499416467	0.00011294698597500001	0.198312452882163
16.0.25.0	0.8851287359838581	0.001842881267769	0.419071828294299	0.09395655445407201	0.04999998933625	6.637491613270462e-10	0.03	0.029173532869247003	0.0008264564670030001	0.0014595347604560002	0.00010470056430400001	0.19843566401148902
16.0.5.0	0.8848364666888441	0.001708283257553	0.41942051867490404	0.094034731378697	0.049999989384207	6.157924740596925e-10	0.03	0.029172854778507003	0.0008271346057	0.0013529639570750002	9.705615150563977e-05	0.198549879275626
16.0.75.0	0.8845655422995511	0.00158351716796	0.41974374198574205	0.09410719854674601	0.049999989428734	5.712657223854012e-10	0.03	0.029172226227107002	0.0008277632016260001	0.0012541742180340002	8.996980990657188e-05	0.19865575540079303
17.0.	0.8843144037577061	0.001467864709786	0.42004335849849006	0.094174373034017	0.049999989470071005	5.299285694892322e-10	0.03	0.029171643594409002	0.000828345875662	0.001162597481789	8.340080716065856e-05	0.19875390118112002
17.0.25.0	0.8840816059090341	0.0013606600662120002	0.420321092578788	0.09423664144596301	0.049999989508443005	4.915568038057084e-10	0.03	0.029171103524565003	0.000828885983878	0.001077707150322	7.731138262023956e-05	0.19884488097550002
17.0.5.0	0.8838658091775661	0.0012612860638450002	0.42057854261487804	0.09429436214370901	0.049999989544058	4.559413620145275e-10	0.03	0.029170602907135003	0.000829386636922	0.000999015063813	7.166653070866363e-05	0.19892921794953503
17.0.75.0	0.8836657718490271	0.0011691706217710001	0.420817190221597	0.094347867307603	0.049999989577112006	4.228873951611971e-10	0.03	0.029170138859128003	0.0008298507179840001	0.0009260686958960001	6.643380005899736e-05	0.19900739708115603
18.0.	0.883480342918706	0.0010837834588060002	0.421038408772385	0.0943974648501	0.049999989607786004	3.922133787248261e-10	0.03	0.029169708708346002	0.0008302808994400001	0.0008584485534220001	6.15831072752521e-05	0.199079867947088
18.0.25.0	0.8833084554624231	0.00100463304044	0.421243471308178	0.09444344018895601	0.049999989636249006	3.6375026683646793e-10	0.03	0.029169309977965	0.0008306796582840001	0.0007957657658560001	5.7086564254648826e-05	0.19914704730613803
18.0.5.0	0.8831491204922961	0.0009312637482360001	0.42143355786858405	0.094486057890882	0.049999989662659006	3.373406903563643e-10	0.03	0.029168940372233002	0.000831049290426	0.000737659850477	5.291831808606653e-05	0.199209321494095
18.0.75.0	0.883001421261804	0.0008632532556290001	0.421609762287442	0.09452556319512301	0.049999989687161	3.128381981270696e-10	0.03	0.029168597763222004	0.0008313919239390001	0.0006837966405900001	4.905440261098054e-05	0.19926704864395903
19.0.	0.882864507987241	0.0008002100952060001	0.421773098491844	0.094562183425706	0.04999998970989301	2.901065404146872e-10	0.03	0.029168280178553004	0.00083170953134	0.0006338663648610001	4.5472600799262365e-05	0.19932056074423202
19.0.25.0	0.882737592955098	0.000741771403562	0.42192450634084605	0.09459612930049201	0.049999989730981007	2.6901899331787594e-10	0.03	0.029167985790009003	0.0008320039409710001	0.000587581866763	4.2152317153549305e-05	0.19937016554706402
