copasi_path	atol:1e-3_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-12_rtol:1e-10_linSol:1_nonlinSol:2_solAlg:3	atol:1e-10_rtol:1e-12_linSol:1_nonlinSol:2_solAlg:3	atol:1e-16_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-14_rtol:1e-14_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-16_linSol:1_nonlinSol:2_solAlg:3
copasi/models/beuke2017/beuke2017_fig6__model27_beuke28.cps	0.001214817516391288	0.0008065279324241565	4.059156540915701e-06	3.5296559193038033e-06	1.4314325675535204e-06	inf	7.544677362265776e-09	4.373578285108829e-08	7.612290825136221e-09	2.3012313994754482e-08
copasi/models/beuke2017/beuke2017_fig6__model28_beuke29.cps	0.002578911351492428	0.0011679824824624321	6.006876409976406e-06	4.187753786597724e-06	7.759501437602736e-07	1.0623225600572021e-08	1.0642588379872364e-08	3.881084282190843e-08	1.0684541211669787e-08	1.1549623071541238e-08
copasi/models/beuke2017/beuke2017_fig6__model29_beuke30.cps	0.004405082486616009	0.0009014877685547817	3.9945803153918295e-06	3.065469685619241e-06	1.1195838815217241e-06	inf	1.0301002932254126e-08	4.3579737520958213e-08	1.0446050687111437e-08	2.2988796938453163e-08
copasi/models/beuke2017/beuke2017_fig6__model2_beuke3.cps	0.0013516926361688217	0.0006364344311163822	2.6830354398284803e-06	1.1151766859724336e-06	6.791397268592117e-07	1.2691928868828882e-08	1.2828683017448217e-08	2.201307107380134e-08	1.2871228794561165e-08	1.129399619226063e-08
copasi/models/beuke2017/beuke2017_fig6__model3_beuke4.cps	0.24782505445034314	0.0010951333948298787	3.5171415103948742e-06	4.392770747322134e-06	5.930356591915282e-07	1.4784493610603903e-08	1.4839973632649931e-08	2.5524157127465357e-08	1.5090224417766758e-08	1.4911362396868526e-08
copasi/models/beuke2017/beuke2017_fig6__model4_beuke5.cps	0.003368506304150748	0.0008600347955816354	3.364735210662956e-06	2.3586350718595233e-06	8.013243981829297e-07	inf	1.1117348766204004e-08	3.968277795807989e-08	1.1243295488476008e-08	1.433275752223053e-08
copasi/models/beuke2017/beuke2017_fig6__model5_beuke6.cps	0.002366853401255198	0.0019330207301478856	5.616318234102538e-06	1.925316596508168e-06	1.20345618108215e-06	inf	inf	4.038252005679066e-08	1.0805694768669548e-08	1.2718862238576424e-08
copasi/models/beuke2017/beuke2017_fig6__model6_beuke7.cps	0.0034261309250020744	0.0016719912847128926	4.159615136682331e-06	3.284263944909634e-06	4.466386089891899e-07	1.2021502412468011e-08	1.223354919222931e-08	3.9082689362233855e-08	1.2387454011768235e-08	1.0088220481628183e-08
copasi/models/beuke2017/beuke2017_fig6__model7_beuke8.cps	0.0016214823425294055	0.0013787212237567346	2.299091465449329e-06	3.6946314363424904e-06	4.779553210250784e-07	inf	inf	2.733469527274984e-08	7.629277946945627e-09	6.575528777419645e-09
copasi/models/beuke2017/beuke2017_fig6__model8_beuke9.cps	0.0052107555852881305	0.001484354564298729	3.9303610826638694e-06	2.150493779502818e-06	9.576033838198847e-07	inf	7.1754180355274055e-09	2.9971694863301407e-08	7.220073674451255e-09	7.758301939971893e-09
