time	LRC_Cave	LRC_EE	LRC_Surf	Smad2c	Smad2n	Smad4c	Smad4n	Smads_Complex_c	Smads_Complex_n	T1R_Cave	T1R_EE	T1R_Surf	T2R_Cave	T2R_EE	T2R_Surf	TGF_beta
295.0.	0.001921022620574	0.255404869424101	0.028542464545943003	393.76481741744874	210.87598892390557	1044.2624597089386	545.0230620494219	45.20995971935222	186.4796796655214	0.009699110343399	0.009518306985399001	0.0009964213964560001	0.9437086778178051	0.620935753338	0.11215658894725501	0.076658510557986
300.0.	0.0019251892596600002	0.254039491980714	0.028464580825475	394.2220013310441	210.9898580498537	1044.7509680041353	545.0429580305648	45.020546263450335	185.56249916649344	0.009535839752432001	0.009360931559774001	0.0009866384289070002	0.9520245320453501	0.6258184893708151	0.112889233809636	0.07671233944410201
305.0.	0.0019290572869970002	0.252799060411393	0.028393958013622003	394.63897037553033	211.09367960019853	1045.196521355112	545.0610266614393	44.84792219703372	184.7256426819408	0.009386200519408	0.009216579705304	0.000977481715467	0.9599999434159051	0.630498262251954	0.11359122675470201	0.07676702125118101
310.0.	0.0019326401649330002	0.25167233000019	0.028329916489525	395.01906644324725	211.1882939329922	1045.6026867268113	545.0774330822861	44.69067011662253	183.96249638723074	0.009248767962541002	0.009083897890349	0.0009688992114510001	0.9676478575007461	0.6349832095857401	0.114263821420177	0.07682251887694401
315.0.	0.001935952224761	0.250649030393067	0.028271839958360002	395.36538831720924	211.27447936772992	1045.9727720439128	545.0923281876069	44.54747947986475	183.26691724088082	0.009122286163824002	0.008961692562927	0.0009608439028540001	0.9749808599428861	0.639281179813869	0.114908223436818	0.07687879692091401
320.0.	0.001939008308117	0.24971978757825303	0.028219169634374004	395.68080339906356	211.35295534144055	1046.309838607501	545.1058497161167	44.41714076914319	182.63321215377235	0.009005646309873001	0.008848909596044001	0.000953273261071	0.9820111667382011	0.643399737318144	0.11552559185729601	0.076935821593778
325.0.	0.0019418234700110002	0.24887605103363503	0.028171398942636	395.9679599759041	211.42438566719946	1046.616714103089	545.1181232856339	44.29853956595671	182.05611570705213	0.008897867959641	0.008744616521889001	0.0009461487625510001	0.9887506183391761	0.647346168298724	0.11611704060110101	0.07699356063326501
330.0.	0.0019444127368560002	0.24811002589243802	0.028128068696030004	396.22929975532185	211.48938183097957	1046.8960059091937	545.129263369353	44.19065063375	181.53076700163928	0.008798082830554001	0.008647987163169	0.000939435464944	0.9952106769441561	0.6511274872469831	0.116683639904313	0.07705198322588701
335.0.	0.001946790912916	0.24741460994132702	0.028088762707129	396.46707044791776	211.54850627504848	1047.1501144689921	545.1393742118139	44.092532086875075	181.05268612040808	0.008705520752622	0.00855828832597	0.0009331016325280001	1.001402426428588	0.654750443863229	0.117226417765159	0.07711105993395201
340.0.	0.0019489724288470002	0.24678333523891302	0.028053103797624	396.68333822018815	211.60227562681973	1047.3812465343499	545.1485506843217	44.003319706152794	180.61775059399312	0.008619497489759001	0.008474868266479	0.0009271184046670001	1.007336574455104	0.658221530295479	0.11774636137789801	0.077170762627357
345.0.	0.0019509712263990002	0.246210314125505	0.028020750170835003	396.87999987855187	211.65116384127552	1047.5914281320847	545.1568790806654	43.92222144684022	180.22217218238438	0.008539404170195001	0.008397146685043001	0.000921459501928	1.013023456368257	0.6615469885970731	0.11824441854902501	0.077231064419698
350.0.	0.001952800673815	0.24569018938491002	0.027991392115561002	397.0587946777216	211.69560523291327	1047.7825171370919	545.1644378547932	43.84851217245466	179.86247421639465	0.008464698104392	0.008324606036169	0.0009161009652140001	1.01847304053887	0.664732818318969	0.11872149909094301	0.07729193960831701
