time	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
50.0.	0.37594794062331505	0.013719924918661001	0.29260290790279303	0.0028258657333220002	0.007364036278331001	9.489180165288632e-05	1.428482584087905e-05	3.3055818875613606e-05	0.076778412193081	0.16497188672301102	0.044714904644322005	0.017894850020844	0.032657816494108004	0.010409082203098	0.0013598209413500002	0.00237029678288	0.09916071508389301	0.166414765683946	0.279142098580269	0.033585234316053	0.091272162332903	0.020857901419730002
55.0.	0.36943255452010504	0.016861885597341	0.29018459016229303	0.0037070886995000003	0.009754546074291002	0.00015736145257200002	2.5699892774147035e-05	6.0863763415136665e-05	0.071781680061776	0.16393590220968401	0.043988712603272	0.018224479566442003	0.033127232305606005	0.011238596269833001	0.001683186658445	0.002936865484708	0.094730266456248	0.16773945837964002	0.27810080164614004	0.032260541620359004	0.09588268469642601	0.021899198353859003
60.0.	0.362568980535297	0.020023051196919002	0.28754473706529304	0.004668198411516	0.012352654179326001	0.00024191450306400002	4.2592418495205824e-05	0.00010260875538000001	0.06748400714984301	0.163162455049557	0.043123185231402	0.018381836339829	0.033309454297271	0.011888859128654	0.002019601499844	0.00352809065317	0.091150175611986	0.1688290421609	0.277205386107082	0.031170957839099	0.09987220829594	0.022794613892917003
65.0.	0.35552844425268004	0.023127085064335	0.28475690931747705	0.005685691308758001	0.015082116296948	0.00034968975074000004	6.599894096112816e-05	0.000160974385574	0.063759215832926	0.162577862612446	0.042177155508593	0.018416222875553	0.033289303336386	0.012385831626069	0.002362661954226	0.0041328340511670005	0.088276647150773	0.169716937086993	0.27643697981563103	0.030283062913006004	0.103314282617188	0.023563020184368
70.0.	0.348460750495448	0.026115609212487	0.28189046106577004	0.006736920512178001	0.017871599084703	0.00048046831300800006	9.671253264782387e-05	0.00023793984952600003	0.060510202427852	0.162127624248691	0.041192602442945	0.018365887235196002	0.033131255935246004	0.012756087399712	0.00270676721749	0.004741119816061	0.08598771690778301	0.17043352327264602	0.27577882418599103	0.029566476727353002	0.10627594070819701	0.024221175814008
75.0.	0.341490435148742	0.028946922589919002	0.279006609997205	0.007801242596053	0.020658791055208	0.000632797120905	0.000135212541585	0.000334598947585	0.057661581873164	0.161772264490383	0.040199876190074	0.018259715621646	0.032883486194709	0.013024235172308002	0.003047135922364	0.005344249314906	0.084180398296406	0.17100590968020002	0.27521616265534005	0.028994090319799003	0.10881756267675101	0.024783837344659002
80.0.	0.33471625157933804	0.031593782059633	0.276156558737837	0.008860675662106	0.023392346742984002	0.000804218499487	0.00018163093727	0.00045109451917900006	0.055154068871075004	0.161483701579358	0.039221011703549004	0.018119057524678	0.032581452353297	0.013211777968649	0.0033797849522850002	0.005934846067343001	0.082768070983327	0.171457925472068	0.27473606070536505	0.028542074527931	0.11099312552190801	0.025263939294634
85.0.	0.328212747724181	0.034040856059163	0.273381094933677	0.009900185383188001	0.026032250496211003	0.000991552312207	0.000235753454936	0.000586654570111	0.052940308701705005	0.161242291150813	0.038271888558092	0.017959386147248003	0.032250861423073006	0.013336811940840002	0.0037014874315570005	0.006506847426112	0.081678145130018	0.171810256935504	0.27432721093580903	0.028189743064495003	0.112850622242362	0.025672789064190002
90.0.	0.32203298730212404	0.036282213428661	0.27071114182093303	0.010907704403149001	0.028549152533227002	0.001191186865534	0.000297049821463	0.0007397056458380001	0.050981833398255	0.161034516517627	0.037363701154209006	0.017791691459365003	0.031910029605375	0.013414172021405001	0.004009718190196	0.007055453876996001	0.080850002370612	0.17208067256947301	0.273979746111086	0.027919327430526	0.11443254313433202	0.026020253888913002
95.0.	0.31621175122412504	0.038319042552156006	0.26816883895303	0.011873972977788002	0.030923125444743002	0.0013993470026360001	0.00036472519632300005	0.000908035602226	0.049246858350277006	0.16085123296783602	0.03650401208022	0.017623596943533	0.031571721864024	0.013455784958668001	0.004302591080343	0.007577045168138	0.08023319865649	0.17228429482552501	0.273685068557314	0.027715705174474	0.11577636768746101	0.026314931442685003
