time	ACA	ADP	AMP	ATP	BPG	EtOH	F6P	FBP	GAP	Glc	NAD	NADH	PEP	Pyr
165.0.	0.066062088609977	0.12066289500028701	0.003264530460801	4.47744488202003	0.351947117001418	5.483533531486887	0.6116982738218101	0.01777668113973	0.004491866207097001	0.011282374844683	3.573563757819354	0.663628018232706	0.002595942424085	0.005705614355899001
168.0.3.0	0.054815701678705	0.10543605991878101	0.0024735833223350004	4.493458143089314	0.319796567770532	5.583249187585582	0.645054963313469	0.007798580241451001	0.001970837317537	0.011281641341093001	3.618615893086828	0.6185851348302871	0.002238213489588	0.004408557585898001
171.0.60000000000002.0	0.052601933285178	0.11642073100633901	0.0030174068901360003	4.481925142178477	0.27857389083348805	5.659047516573454	0.6710487435999201	0.009686975881041001	0.002350967453714	0.011282030478949	3.662441170158772	0.574769079142564	0.002018938174436	0.004239413198521
174.0.9.0	0.057598918804086005	0.14027179227737802	0.004403143263905	4.45668385312432	0.26589030696746	5.732479409385334	0.6680383091877471	0.020003408288483	0.004697848860950001	0.011282985608286	3.66940397630532	0.5678154639998231	0.002068174300796	0.004914379954088
178.0.20000000000002.0	0.06799280936254201	0.15755445795584702	0.005595206161422	4.438204647936212	0.308329440945149	5.825569197884311	0.6231683886471431	0.034896303294446006	0.008085026774623	0.011283799381572	3.614532734867961	0.6226958661606671	0.002519144668817	0.006502035815623
181.0.50000000000003.0	0.06811084882933001	0.126059379793302	0.0035688544381170004	4.471721615958412	0.35207425583836605	5.94668268121808	0.608285415144292	0.020816576089501	0.005204518779954001	0.011282610105125001	3.57106387855183	0.6661738530197211	0.0026408353260530004	0.005986755094297001
184.0.8.0	0.056295094884353004	0.10553055174886	0.002479350522805	4.493335500754393	0.32628486842325605	6.049744418382474	0.640052665451809	0.008258877010729	0.00209957156028	0.011281659005693001	3.6104998439770473	0.626746988056295	0.0022851663976210003	0.0045120065932670005
188.0.10000000000002.0	0.052788081520511	0.11382113296677501	0.002882945659166	4.484636891887794	0.283573126069318	6.126018218939061	0.668528628251658	0.008936193311657	0.0021797870180510002	0.011281931599553001	3.657262741125746	0.579993161387364	0.0020383402012770003	0.004215096654678
191.0.4.0	0.05686578975769901	0.136330543153336	0.004155118513376001	4.460850890937883	0.26470103027495	6.196946926981055	0.671201728071238	0.017857032489218	0.004214160178128	0.011282824130483001	3.671525792381011	0.565739150728617	0.002036048301861	0.004749128816722
194.0.70000000000002.0	0.066817663727657	0.15756222303856102	0.005591091099954	4.438178835112015	0.299089159048172	6.284095973111115	0.6307256876078441	0.033729018074146	0.007792984790945001	0.011283772173404	3.625243828463053	0.612030125458295	0.002442083120929	0.006285457802267001
198.0.00000000000003.0	0.069846590587232	0.13201999000126002	0.003920284901465	4.465387485500859	0.35034092331610905	6.4016402370263155	0.6058954551688931	0.024115445791154003	0.005953295194447	0.011282862803533002	3.570759739050686	0.6665231959957141	0.0026750459891910004	0.006256294522212
201.0.3.0	0.057991015588973	0.10623690676446601	0.0025145220883810004	4.492571957163116	0.332507912290792	6.508039353508333	0.6349266821446661	0.008986130327583	0.002295417194425	0.011281703164722	3.6024020251585362	0.634889861424051	0.0023353043126950004	0.004642736095664001
204.0.60000000000002.0	0.05311322201522101	0.11151323795107301	0.0027663319861790004	4.487039456102774	0.28908026107864304	6.585307967550157	0.6654712468902461	0.008345761933566	0.0020466846958530002	0.011281845281305	3.651416654392243	0.5858841542351511	0.0020626355328750004	0.0042066190911470005
207.0.9.0	0.056261555460064006	0.13246640633255302	0.003919358180781	4.464928915914966	0.26472826858243204	6.654191318567596	0.673314694455428	0.015936810069140002	0.0037793541625140005	0.011282667780433001	3.67226667363022	0.565043027647759	0.0020137398976600002	0.004609551889801
211.0.20000000000002.0	0.065545896535339	0.15628063699195802	0.005494955835139001	4.439534756306355	0.290500930555504	6.735896808353421	0.638564993639216	0.031866947943133	0.007360140255845001	0.011283696089622	3.635434091149553	0.6018844734816321	0.002362669727248	0.0060365975334870006
214.0.50000000000003.0	0.071149404484576	0.1382111807526	0.0043021566467130005	4.458792694709005	0.346664412335679	6.848725956022329	0.604828737996987	0.027447547077906004	0.006682876378300001	0.011283117082532	3.5728834010000092	0.664443997783525	0.002694372931273	0.006488989485767
217.0.8.0	0.059892163449832	0.10763718604355	0.0025837291672080004	4.491080814095135	0.33828063689479104	6.958180192460214	0.629757696065906	0.010028196750017001	0.0025693050483960003	0.011281777213473001	3.594516306546928	0.642819897284301	0.002388199266644	0.004803667514802001
221.0.10000000000002.0	0.053589214331992006	0.10952045721592601	0.002667782308782	4.489109201154601	0.295003011172006	7.03697971790394	0.661939723629659	0.007911519209363001	0.0019512874643810001	0.011281772522103	3.6449836949190093	0.592361284951149	0.002091407685349	0.004214037704134001
224.0.4.0	0.055782140463542004	0.128742508478147	0.0036990209224060005	4.468851636781314	0.26586823202707405	7.104263634933158	0.674441049004462	0.014245273998905001	0.0033945694843240002	0.011282518693878	3.671736905618703	0.56561682137719	0.002000498826798	0.004493979723941
227.0.70000000000002.0	0.06426659955611301	0.15397279965545502	0.005327966805462	4.441988139306102	0.282907839800909	7.181073407360926	0.646199153475543	0.02955456557908	0.006836716987606001	0.011283582871956	3.644644868631329	0.592717576672356	0.002285923334538	0.005776914897062
231.0.00000000000003.0	0.071935911297345	0.144195153932648	0.004687246753520001	4.452402258702198	0.341109837343732	7.288301090800065	0.605358817802716	0.030512563917947003	0.00732711283173	0.011283353675747001	3.577482723595841	0.6598884112926411	0.0026952056737960003	0.006658856585701
234.0.3.0	0.061968915847667005	0.109813483405634	0.002692438453587	4.488774505140452	0.343385656094199	7.400221580864766	0.62464455010578	0.01143758715483	0.0029322000960400004	0.011281884355887001	3.587088377226288	0.650291418618625	0.002443104335223	0.004996867990306001
237.0.60000000000002.0	0.05423031912607901	0.107871879761136	0.0025878427210340002	4.490816486072666	0.301248489811344	7.481090888053495	0.657993306541307	0.0076345513732160005	0.0018944722399760001	0.011281714593449002	3.638042193648774	0.5993462346185201	0.002124333274936	0.004237971354827
240.0.9.0	0.055424066380013	0.125202589222757	0.003495771187072	4.472573643598095	0.268011336308334	7.54721783226483	0.6746583414280011	0.012774425600168001	0.0030586684732980002	0.011282378322447	3.670052350145964	0.5673446821036681	0.001995492047344	0.004400446785799
