time	D_1	E_1	RS_1	R_1	X_1	theta_1
254.0.2.0	0.1554876858566	1.3189547791260021	1.342776299413337	0.43749848033165306	1.857862011360057	0.51796328496028
258.0.29999999999995.0	0.37526804746700604	0.103908870114675	1.511795147747185	0.647408781090407	8.474539626169708	0.340392658543474
262.0.4.0	0.5451466188891411	0.51202029995302	1.450684081681441	0.545559824490317	0.604051893105999	0.43201494911987104
266.0.5.0	0.320840682570019	1.231701809376456	1.30583040149146	0.29082089664632005	0.34117722427855	0.6222583257110981
270.0.59999999999997.0	0.16370911976146402	1.720074433462349	1.237014399794435	0.25611086916984604	0.577597979904458	0.681402516757393
274.0.7.0	0.14173691402184302	1.6220890581296792	1.290839612795122	0.36106366027206804	1.131473015083121	0.5852919067579251
278.0.79999999999995.0	0.24056237077817402	0.261325780590626	1.451086672461774	0.592905823623007	12.188295178596626	0.39617839645816105
282.0.9.0	0.527157297874697	0.282097536920341	1.49695143067728	0.6259741833656941	1.782543264859453	0.37147558768666505
287.0.	0.431562826847359	0.9406157027246441	1.3630686244620431	0.37416906083101004	0.307864279793848	0.5500958986338951
291.0.09999999999997.0	0.20408830711654002	1.576133065393718	1.249782187645464	0.24700864272601203	0.46294572459999606	0.679434534385248
