time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
159.0.5.0	11.309598449861008	36.98288847973235	1.117365515694038	0.083926061777541	2.40492728561773	0.8085347518641751	0.14716485175003902	28.758573910212878	4.155159622350238	0.016080552431087	0.046396242790602005	0.023877097792139	0.114222955735057	0.253343147574414	0.538437908990895	3.886081857476843	6.10385445825704	0.000909792488993	3.48949698729113
165.0.	9.471584160153197	37.38128839612071	0.9901987980290611	0.028041984828928	3.032286496519061	0.548956589425274	0.16678318271011802	30.421920646018407	1.5541128155869202	0.0052387691360170005	0.014629611868098	0.011187151504135	0.050922385273063	0.080602440017231	0.24664737727846103	2.637637207970695	5.047470280483986	0.0007203084833320001	2.863105582304214
170.0.5.0	7.061416013632608	37.380871202374955	1.073014459443347	0.010477314928177	3.452884087213529	0.31658578237393104	0.22049781420959202	32.4456479619261	0.553875830798205	0.0019335546863230003	0.0051548651383500005	0.004505350366124	0.019574401786874	0.028548603428896	0.09645037825953501	1.646403583517171	3.729013237746182	0.000569554576513	2.104271431541676
176.0.	4.914013736995507	37.16989353130184	1.310251771343456	0.004662518714756	3.6696186049823822	0.174396885794494	0.304942566957211	34.17258292605389	0.209987605616916	0.0008554767685050001	0.0021869582364630004	0.00179562156339	0.007394021019746001	0.012149743635039002	0.036794866639982	1.012724659576087	2.573886583602519	0.00045013485281300005	1.448137788533599
181.0.5.0	3.308958756867841	36.818822072863206	1.670926076777697	0.002471427728578	3.771822872031057	0.09912714267205901	0.420993973160936	35.399610032327836	0.090676069583209	0.00045273888284300004	0.0011156709631250001	0.0007863097082860001	0.0030398877584160004	0.006212012784596	0.015223787830174002	0.6300574786609421	1.715398031159836	0.000358028966043	0.9636399343853821
187.0.	2.205723617545601	36.35441363104948	2.139248830029377	0.0015625751667370001	3.821563209619045	0.059265874357832	0.569083915774941	36.17354279789514	0.046511963265276006	0.000286760485997	0.000682210772238	0.00040280514682300005	0.001453475959361	0.0038059924962240005	0.0073146349169340005	0.39781926279142105	1.125394861664238	0.000285957248131	0.631692467417591
192.0.5.0	1.476462780026656	35.79292738257855	2.702354240256565	0.001187302882222	3.8476080724061763	0.037055409581906	0.7482016672696511	36.60533875143335	0.029052118717386003	0.00021881710368800003	0.000502646725982	0.000249781212471	0.000840251063594	0.002809610453045	0.004246485735848	0.254543541286543	0.734262421274068	0.00022821487732900002	0.411968945145659
198.0.	1.003219570229376	35.15030060801302	3.345444336810864	0.0010909177770500001	3.862047757455062	0.02412432928871	0.9556923022987751	36.795871408202274	0.022361929309558003	0.00020221644335100003	0.000448754288327	0.00019050444513900002	0.0005989219963800001	0.002513166667452	0.0030384868147040004	0.165114230751903	0.47935455616693706	0.00018157182915200002	0.268900161502898
203.0.5.0	0.6991798152399811	34.444195480617715	4.051150884306998	0.0012136192281820002	3.870096500966098	0.016498347779508	1.187467591989037	36.82077628017632	0.021256509176475	0.00022643982669500002	0.00048611008724900006	0.000179388526648	0.0005295866944770001	0.0027274659332290003	0.002696176033263	0.109175056590096	0.31492521355985104	0.00014455560056800002	0.17668635867426202
209.0.	0.505700498302001	33.69345294317999	4.800398819926679	0.0016282116082000002	3.87402774118663	0.012228077237525002	1.438412190863629	36.73332708115654	0.024829868416568	0.00030587190462800004	0.000636499955496	0.00020766076081800002	0.000579065456694	0.003577653425096	0.0029574553583270003	0.07475928446643501	0.210147590918102	0.00011688387756500001	0.11799625318418801
214.0.5.0	0.385215522982422	32.91722674153928	5.573041656673401	0.0026125521125190004	3.8744764508165783	0.010482225327609	1.702692698937883	36.57009924470615	0.035292692230667	0.000494102015867	0.000999221260609	0.000292652654575	0.000775720105473	0.005625726398422	0.003972951095759	0.055113883904051	0.145320008962221	9.96909880654812e-05	0.08178835640569401
220.0.	0.315794872484051	32.13518475462074	6.346577226250987	0.004954424409923001	3.870398416576774	0.011400168150386001	1.97356218221787	36.355402797657945	0.060244316132223	0.000943077181757	0.0018589974789440002	0.000495364997158	0.0012563692888030002	0.010481520057771001	0.006449680986873	0.047513852643266005	0.10914476006847701	9.732449056930155e-05	0.06179293556517001
225.0.5.0	0.28941061380175304	31.370509543336194	7.089637465897507	0.010931759611668	3.857416500066133	0.016726525845791002	2.241854268178123	36.103450653993235	0.12156104516835801	0.0020935909533820003	0.004037612262496	0.0009901539638440002	0.002420620045455	0.022790027938857003	0.012446200078771001	0.054212995912137005	0.098253301969038	0.00012323562369300002	0.056318540235925
231.0.	0.317512152879978	30.659945218033236	7.740681698889523	0.027436163274069003	3.822100132486147	0.032218259575609004	2.490929679381344	35.81663683434774	0.284299015022045	0.005285008448968001	0.01002846182542	0.002284164246971	0.005437579202667	0.056623449528894004	0.027959864488598003	0.088004989480572	0.12138184547143901	0.000218306548271	0.070833334251219
236.0.5.0	0.45585830276923306	30.08299607164934	8.14463496483047	0.07518927510418501	3.724626699181576	0.074857377297934	2.681408559251865	35.4740461597319	0.7486376578724361	0.014569355121259002	0.027514414958643003	0.0058507363437530005	0.01382937045534	0.155095918336206	0.07083581672139	0.19107249699641402	0.216004994634437	0.0005051722102840001	0.12803511417153002
242.0.	0.8837444238259731	29.836181736603848	7.907707070218864	0.20520526396260802	3.458424891164303	0.18853114577285301	2.709950576796927	34.99267776556742	2.099469882921739	0.040057022781506	0.077427392789418	0.015303608717523001	0.037644149695536006	0.43342151364385706	0.19009620464977703	0.48862338797591603	0.49824470005208205	0.0013012012838800001	0.29782575629970404
247.0.5.0	2.082781731927097	30.328251839201286	6.409663640556785	0.45165512295937504	2.854118756243904	0.43541930015151503	2.349455501272485	34.139567543540274	5.517615563361261	0.08928560160000701	0.187843142710295	0.033869139524839005	0.096456790036646	1.033300652972353	0.470136014043089	1.267423981764236	1.256318106593326	0.00293842763911	0.7517204209547941
253.0.	4.753103761800646	31.901475402649403	4.037857273361775	0.590110803483708	2.06728286336075	0.738447700054901	1.4481734971006381	32.55570404953237	10.569769931651573	0.11896740260968301	0.290176218088884	0.049160849696828005	0.183421515524249	1.561412899806661	0.851687071363263	2.70809534850481	2.818466531532081	0.00395462053397	1.6737013013009192
258.0.5.0	8.281356496233812	34.06808441020433	2.3958563111003413	0.43173087470319904	1.725820256368722	0.897979503053671	0.5733869196053191	30.467735637615608	11.782156189344743	0.08746537271304401	0.238868655536071	0.047789006716245	0.21964171032562702	1.2779943757431491	0.9987695235357261	4.042464102992587	4.702364178152134	0.0025248217816800003	2.753988442845251
264.0.	10.485535644177709	35.90167932759861	1.588227063140654	0.21086540660250802	1.956285933283132	0.9051394219359461	0.230604581809485	29.162014088005794	7.909048312440212	0.041600234453926	0.11829490482829201	0.036834121811681005	0.17679425354928502	0.6393330633761141	0.8149462694199491	4.2964130661322635	5.771214135927193	0.0012991536539080002	3.334868040603621
269.0.5.0	10.450042664005457	36.943538851118795	1.185362367140969	0.07900109939807501	2.515740165000537	0.7583311035652731	0.16675281645803403	29.46421300010655	3.725477627781448	0.015055365195306002	0.042820514656526004	0.022254938276754	0.10344470105134801	0.234221802490392	0.49022909210608	3.51904345668961	5.642021101742952	0.0008979536751580001	3.226115128017311
275.0.	8.791623029187427	37.31713450508548	1.057897983681494	0.027527401717791004	3.091630932529199	0.512279219563488	0.18383141864490601	30.970580307059763	1.4438358589796811	0.005129948752306	0.014171290678263001	0.010548872391068	0.047042738178975	0.078138870084722	0.22849823733726102	2.41646224349307	4.686145666329169	0.00070385507648	2.658738752889705
280.0.5.0	6.587759471207855	37.31019464200694	1.143142950903656	0.010667432111222001	3.477853319483359	0.29729553309456	0.23840574852305402	32.81867373472456	0.5338795663808671	0.001966343493366	0.005202778742276	0.004357554841341	0.018618321675352	0.028825852742599002	0.091875270905378	1.527071606588743	3.478795366464902	0.000556201127371	1.963568949160158
286.0.	4.6094439188857415	37.09422609734151	1.3850322533933381	0.004892170518126001	3.6792344854423433	0.16544905957250802	0.324972102296606	34.40321714902058	0.209894811649555	0.000897311066375	0.0022802824262620003	0.001793558657951	0.007276990542280001	0.012671885254463002	0.036245905784909	0.9486737870842951	2.413268348726771	0.000440356019356	1.358102043936727
291.0.5.0	3.120636141349393	36.73703707983312	1.751938746917718	0.002667053664543	3.775663296020729	0.09488188893198801	0.443659357985477	35.53202392615795	0.09392634777668801	0.000488704368513	0.0011977304644350002	0.0008129598720770001	0.0031010231628150003	0.006670684751757001	0.015540832012383002	0.5945366394528211	1.615978349365936	0.00035083161405000005	0.9079875348766161
297.0.	2.09127681971173	36.26617172299476	2.226816476767754	0.001734151266161	3.823141017241172	0.057151379879222	0.59447548553843	36.24260607615254	0.0498871198519	0.00031845426034	0.00075363394938	0.00043113615859200003	0.0015369841331540001	0.004205560761682	0.007739482587852	0.377611147938262	1.064825024208688	0.00028057523979200003	0.597812838860577
