time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
297.0.	9.09262576804232e-05	8.439504986680778e-06	9.534305425314275e-11	0	3.4097656445509027e-07	2.00624777829717e-18	1.357482085629538e-05	1.63240159114126e-06	0.128706694696114	1.048606388057459e-06	0.18831727878128302	0.033991188359723	4.668571902569601e-09	0.6489597970885781
306.0.	9.153688577608785e-05	8.112590892217519e-06	9.621035519326176e-11	0	3.466118865860112e-07	2.159290130451669e-18	1.2919599334780702e-05	1.553610668447553e-06	0.12289568648367401	1.051080366081867e-06	0.17803200194642102	0.034322376599436	4.890843677118973e-09	0.6647259464902661
315.0.	9.21378486421872e-05	7.788921153712597e-06	9.689737212915818e-11	0	3.520050546753911e-07	2.318164288815107e-18	1.228958214383642e-05	1.477850541470689e-06	0.11722281998895101	1.051675536149931e-06	0.16824570788097	0.034628988755340005	5.1151900071538186e-09	0.679879518128221
324.0.	9.272803742459478e-05	7.4694666997215e-06	9.740894095589936e-11	0	3.571557794680378e-07	2.4828019849882183e-18	1.1684146736636853e-05	1.405046348541403e-06	0.111699489906282	1.05049334472027e-06	0.158939067105157	0.034911987842257006	5.341454121003666e-09	0.6944274833985321
333.0.	9.330644904330045e-05	7.155090068098757e-06	9.775047153604636e-11	0	3.620642391379027e-07	2.6531246730129823e-18	1.1102690820558601e-05	1.3351256643062489e-06	0.10633490638345301	1.047636367017957e-06	0.15009322530474	0.035172315507241	5.569485443529009e-09	0.708378544530171
342.0.	9.387218635843573e-05	6.846551166527259e-06	9.792788417359783e-11	0	3.667311078152862e-07	2.8290439109239742e-18	1.0544626524311241e-05	1.268017798215447e-06	0.101136307092988	1.043207537861326e-06	0.14168978993931902	0.035410892447824	5.799139458558465e-09	0.7217429354886671
351.0.	9.442445761771206e-05	6.544512835773947e-06	9.794754546632079e-11	0	3.7115757392126483e-07	3.010461796099229e-18	1.0009375551545122e-05	1.203653211640405e-06	0.096109154665238	1.037309461861827e-06	0.133710820991332	0.035628618634837	6.0302775733908595e-09	0.734532233571732
360.0.	9.496257516905404e-05	6.249546284649151e-06	9.781620406270763e-11	0	3.753453488697266e-07	3.19727145105924e-18	9.49636524494167e-06	1.1419630444827959e-06	0.09125732049047401	1.030043799156332e-06	0.126138825119288	0.035826373376770006	6.2627669842123735e-09	0.7467591813891621
369.0.	9.54859534455076e-05	5.962136444320796e-06	9.754092689242076e-11	0	3.792966668073498e-07	3.3893575553672675e-18	9.005025485172096e-06	1.082878742182902e-06	0.08658325573134801	1.021510722901256e-06	0.11895675253761001	0.036005015259749	6.49648054151011e-09	0.7584375190292091
378.0.	9.59941062502608e-05	5.682687271434898e-06	9.712903645589723e-11	0	3.830142761583607e-07	3.5865969184482666e-18	8.534786349014234e-06	1.026331774023421e-06	0.08208815025869401	1.011808444776691e-06	0.11214799600421001	0.036165381994269004	6.7312966147756356e-09	0.769581826286285
387.0.	9.648664338742253e-05	5.411527014272865e-06	9.658804975206312e-11	0	3.865014238195834e-07	3.7888590874785144e-18	8.085076450793919e-06	9.72253433610075e-07	0.07777208012660501	1.0010328047342908e-06	0.10569639135577301	0.036308290196897006	6.96709895598516e-09	0.7802073748659101
396.0.	9.696326669889902e-05	5.14891344378875e-06	9.592561939579624e-11	0	3.8976183290960337e-07	3.9960069840085705e-18	7.655321891515006e-06	9.205747124340645e-07	0.07363414413183901	9.89276921190782e-07	0.09958621908955001	0.036434535132153	7.203776561516821e-09	0.790329990497954
405.0.	9.7423765579034e-05	4.895039041635373e-06	9.514947743205572e-11	0	3.927996750118258e-07	4.2078975626681944e-18	7.24494574079746e-06	8.712262375121673e-07	0.06967258995286	9.766308978326826e-07	0.09380220654898201	0.036544890436772004	7.4412235323198345e-09	0.7999659248834211
414.0.	9.786801204681464e-05	4.650036130020097e-06	9.426738229517448e-11	0	3.956195378651634e-07	4.4243824851577864e-18	6.85336797822215e-06	8.241382642780294e-07	0.06588493033091501	9.631815831678658e-07	0.08832953032808001	0.036640107845646	7.679338932285231e-09	0.809131737378259
423.0.	9.829595546034231e-05	4.41398192319332e-06	9.328706929318885e-11	0	3.982263894482153e-07	4.6453088027459944e-18	6.480005822945073e-06	7.792407161703519e-07	0.06226804973570001	9.490123789441719e-07	0.083153818565652	0.036720916935794004	7.918026644883831e-09	0.8178441862843091
432.0.	9.87076169602902e-05	4.186903477325269e-06	9.221620492196658e-11	0	4.006255393753479e-07	4.870519640653644e-18	6.124274383505031e-06	7.364632627316779e-07	0.05881830194774901	9.342030935604758e-07	0.07826115285458901	0.036788024901947006	8.157195228234461e-09	0.826120129576546
441.0.	9.910308372838316e-05	3.968782514196679e-06	9.106234523555707e-11	0	4.0282259847793003e-07	5.0998548779922915e-18	5.785587563547323e-06	6.957354284881496e-07	0.055531598986043006	9.188298366252711e-07	0.07363806954285501	0.036842116374674	8.396757768845117e-09	0.8339764348506661
450.0.	9.948250314399472e-05	3.759560094248071e-06	8.983289842076171e-11	0	4.048234373843706e-07	5.333151817322107e-18	5.463359163631983e-06	6.569867254151367e-07	0.05240349180976701	9.029649508740721e-07	0.069271560251022	0.036883853289465	8.636631734332469e-09	0.841429898228909
459.0.	9.984607691709977e-05	3.559141115823125e-06	8.853509164801888e-11	0	4.066341448414491e-07	5.570245838378153e-18	5.157004124261432e-06	6.201468023907582e-07	0.049429243225721	8.866769777401489e-07	0.065149071475796	0.036913874812897006	8.876738825472547e-09	0.848497171917146
468.0.	0.00010019405526900001	3.367398619640696e-06	8.717594219950089e-11	0	4.0826098644001663e-07	5.8109710310649954e-18	4.8659398606080354e-06	5.851456056820753e-07	0.046603893435996004	8.700306529824425e-07	0.061258503189481006	0.036932797329909006	9.117004827968133e-09	0.8551947000647061
