time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
2.0.88.0	8.366951969477283	2.254148841678327	1.227341323952988	0.18215386823210603	0.15667765315756402	0.293122991480252	0.094174541694653	0.046024583865856006	0.48069694706952004	1.7899309672319892	3.828767058177114	2.119683029905162	0.46117050895419603	2.943929070187891	1.148787834843156	0.12014064889268601
3.0.5999999999999996.0	8.188561765681088	2.275391729640243	1.7635581820130821	0.20490219457859302	0.26748896592987403	0.307642652098484	0.11878821597295501	0.08004020760744501	0.5352314706859981	1.8056461355688311	4.471498317134574	2.277104790558409	0.5082984183835301	3.257638532016711	1.163750777304203	0.12140471147991201
4.0.32.0	8.015623150998634	2.276140017923065	2.300763963938722	0.21967979234783203	0.41245973012101705	0.31675965804835104	0.144620277856361	0.137413013656652	0.580809333185283	1.751229992169087	5.091790224838888	2.426816567272613	0.5458126857501401	3.562104792112945	1.168039434552275	0.12182437546045301
5.0.04.0	7.862054668709917	2.253628523168949	2.83342739414678	0.22945668489058701	0.5901066306807701	0.32187104820086804	0.16675991464165502	0.21563429211894303	0.6194839159494331	1.626839190635329	5.694396789021941	2.5679131094599033	0.576298264283791	3.853821762662959	1.169219543258492	0.12196082586960501
5.0.76.0	7.741375878031104	2.207721909533391	3.360541341633583	0.23607155488737802	0.8065617927213691	0.323627308788267	0.184747319255979	0.31087329298730204	0.652585761509008	1.444005346260717	6.277999218260877	2.697828844675385	0.6014415015344591	4.125437570511824	1.168595719317904	0.121999322829914
6.0.4799999999999995.0	7.664565235567111	2.141278657276282	3.880275754429767	0.24065542309409402	1.073650548071112	0.32216690108052903	0.19921878154875003	0.41526037693417805	0.6810250188654421	1.222162417135808	6.838613573841725	2.809589672827687	0.6224076189023751	4.359467443561982	1.16469786857447	0.12198603984232001
7.0.199999999999999.0	7.637198293650246	2.05985438197346	4.385090761421775	0.24390764593279102	1.4055983239105831	0.317189479657402	0.210888026941167	0.5160324200622031	0.705457446733964	0.9857819740350701	7.367633002973183	2.8841290440848892	0.640035953791349	4.512976197224444	1.15259859443323	0.12189880155339801
7.0.92.0	7.65695452508851	1.970903219396382	4.851456222271893	0.246258497035882	1.813076933521411	0.30800719750028205	0.220307836202315	0.597178015518777	0.7263868081446311	0.76106101895332	7.842873652433415	2.872890969560772	0.65494656856258	4.495179183720789	1.121284801929399	0.12164038467052601
8.0.64.0	7.7140581535507025	1.8825722386274242	5.225308032667717	0.24796114379993103	2.29239009562405	0.29377736758266904	0.22786313534662703	0.6442704438607291	0.7442344060445371	0.570768438881412	8.208809698102808	2.691456992305134	0.6675966938026401	4.202599839020427	1.05673743469319	0.121009919860473
9.0.36.0	7.795591362037326	1.802251095311334	5.432621633518275	0.24914956537505703	2.813516810000367	0.274201544064445	0.23382444418691503	0.6510222622157731	0.7593869038922081	0.42782984197786805	8.372118772042379	2.304419107511994	0.6783081929133451	3.659500520945404	0.9611360341358831	0.11978928452857601
