time	Bar1	Bar1a	Bar1aex	Cdc28	Far1	Far1PP	Far1U	Fus3	Fus3PP	GaGDP	GaGTP	Gabc	Gbc	Sst2	Ste11	Ste12	Ste12a	Ste2	Ste20	Ste2a	Ste5	Ste7	alpha	complexA	complexB	complexC	complexD	complexE	complexF	complexG	complexH	complexI	complexK	complexL	complexM	complexN
6.0.6.0	0.9387982384567811	186.99927355247877	12.061928209065648	282.81250890462616	0.00035780814615200005	0.006587034535102	481.15948743834826	346.3679453908906	154.87281876406584	18.88429068104721	71.0740678488035	1576.7083081701423	0.012607029904151001	199.49645918747416	130.10486941032173	0.7148386152160571	199.28516138478386	1171.8808786676816	911.7003741123688	81.93080809096652	130.10486941032173	48.2900274554814	31.885336701816545	115.87935123135989	47.69419318630005	165.7161044819664	4.898871729499369e-05	0.014606452622884002	0.0028480800561250003	0.000383239654419	0.002435785060404	55.17390180796508	30.86955243851664	2.23589808375986	1.646076623594067	17.187491095375545
6.0.8999999999999995.0	0.9361249867588981	186.44178563086857	12.622089382373588	282.8081963116551	0.00036324906568100003	0.006585866202509	481.16009916996234	351.85763070759776	149.25314511673398	21.51084154025836	65.20258221615552	1579.9532429435799	0.010144574734088	199.59103515796482	131.05250853772367	0.7416530954417411	199.25834690455812	1164.8778957610639	914.9379087051653	74.87824136130114	131.05250853772367	48.2478644431246	28.533159612923026	115.68450373603116	48.48914783073003	168.20085657098804	3.986041932355452e-05	0.011889235232732	0.002316034491286	0.000311603260432	0.0019786603352840004	53.173555101904036	29.750782374349054	2.121258285266119	1.641148026421803	17.191803688346774
7.0.199999999999999.0	0.933462345474746	185.88595707231255	13.180580582213747	282.80390768209395	0.00036894519821800004	0.006584627962035	481.1607203403821	357.08705298539945	143.9050199724208	24.07159749348334	59.55763081382323	1583.0374383926876	0.008273686459995001	199.65836347589982	131.94714936152022	0.769109258586383	199.23089074141353	1158.1121682279281	918.0153119969134	68.13481491352056	131.94714936152022	48.20756956970841	25.40519398784487	115.50524753648241	49.24482732839406	170.56288224970052	3.2849207336062575e-05	0.009805668179835001	0.0019086639643090002	0.00025676542422300004	0.0016292246638940002	51.269736898215804	28.685956653616714	2.015394129026097	1.636233768548749	17.19609231790794
7.0.5.0	0.930810350607242	185.33178287023011	13.73740677916365	282.7996435174147	0.00037490188061400004	0.006583322799526001	481.1613513869802	362.0734917541338	138.81016481076477	26.527590360673294	54.16669032023899	1585.9723860190818	0.006823069064349	199.70533610190918	132.79309234213795	0.797225041695787	199.20277495830413	1151.5283656880797	920.9439036493479	61.730950906951584	132.79309234213795	48.16907686237314	22.506889241350557	115.33993227340838	49.96394775327303	172.81085167835826	2.7355440597686334e-05	0.008174599771866001	0.001590163545601	0.000213898649139	0.00135639757497	49.45595419515362	27.67145243563046	1.9173546603306262	1.631333905751458	17.200356482587207
7.0.8.0	0.9281690446075851	184.77925802660022	14.292572928793216	282.79540429839216	0.000381124176185	0.006581952350594	481.16199275595335	366.83287367552373	133.95176872028756	28.84648387071251	49.051691579928246	1588.7684912493537	0.005678634925706001	199.73704919000895	133.59418520969493	0.8260198114108771	199.17398018858904	1145.077584570779	923.7339746270555	55.689119822198315	133.59418520969493	48.13230365918853	19.839706322044254	115.18711424181066	50.648995792416954	174.95265219868966	2.2976857695106732e-05	0.0068751093283590005	0.0013366810242920002	0.000179787935546	0.001139519762666	47.72623752714875	26.703937823035726	1.8263189247133642	1.626448465909055	17.204595701609787
8.0.1.0	0.9255384742001	184.22837755410683	14.846083971693977	282.7911904940791	0.00038761676501800004	0.0065805174497010005	481.16264490176246	371.37982145754034	129.31442836682095	31.002377317290545	44.22910816355309	1591.435181219151	0.004762244186029	199.75726787761369	134.3538729575947	0.8555139519166871	199.14448604808328	1138.7171757079886	926.3948736574698	50.02451529850628	134.3538729575947	48.09715990600157	17.401564299112476	115.04552971943167	51.30224277112465	176.9954515444161	1.9436024613669154e-05	0.005824149665235001	0.001131863944328	0.000152229732392	0.000964455308004	46.075118104602815	25.78035957333721	1.741575965944403	1.621577458098951	17.20880950592294
8.0.4.0	0.9229186890924971	183.67913647739516	15.397944833513211	282.7870025671122	0.00039438384936200005	0.006579018461995	481.1633082863998	375.727741160359	124.88404880529708	32.97548841758345	39.71016936744903	1593.981008914962	0.004019035151499001	199.76877066473003	135.0752452972357	0.885728620688158	199.11427137931184	1132.4105309664558	928.9350986653578	44.7457230933035	135.0752452972357	48.06355355518485	15.187318032271303	114.91407051908153	51.9257622612323	178.94576631220153	1.653683641937098e-05	0.004963226739112	0.0009642125894170001	0.000129674767672	0.0008212803913970001	44.497591838254664	24.897923312619604	1.6625077892847901	1.616720878398239	17.212997432889726
8.0.7.0	0.92030974120686	183.131529833803	15.948160424991025	282.7828409767588	0.000401429068426	0.0065774554922230005	481.16398337850546	379.8889229864112	120.64773138552613	34.75174475663012	35.50117282743487	1596.4137491159292	0.003409630641068	199.77360448873375	135.7610796285345	0.916685603477669	199.08331439652227	1126.1268197536106	931.3623848978772	39.85539358185138	135.7610796285345	48.031393702437704	13.189249085393305	114.79176245607779	52.521448382274436	180.80952867565546	1.4137606782915912e-05	0.004250205175333001	0.000825454870754	0.00011100883131100001	0.000702867472015	42.989079186378405	24.05407131387564	1.588575065523776	1.611878713690183	17.21715902324302
9.0.	0.917711684224611	182.58555267377716	16.49673564199914	282.77870618051395	0.000408755419426	0.006575828521721	481.16467065234355	383.87464317941084	116.59366164239502	36.322307162776944	31.603874904968368	1598.740484632249	0.002905204576924	199.77327367405329	136.41387904107697	0.9484072296108501	199.05159277038914	1119.8406729477847	933.6837862150024	35.350920288092865	136.41387904107697	48.00059237815284	11.397554039910148	114.67774675416167	53.09103341718564	182.59214828582176	1.2133939874408452e-05	0.003654117345421	0.0007095187857920001	9.541420398119153e-05	0.0006039918758170001	41.54538520529733	23.24646032394948	1.5193052135440972	1.607050944226928	17.221293819487872
9.0.299999999999999.0	0.915124573324367	182.04120006109594	17.04367536558058	282.7745986347317	0.00041636518320900003	0.0065741375019110005	481.1653705866496	387.6952610813598	112.71100325091042	37.68304494614479	28.015938965093696	1600.967682788756	0.002484277684973	199.76887988134277	137.03590550872113	0.9809163245779331	199.01908367542208	1113.5318171175143	935.9057483593921	31.225121581865622	137.03590550872113	47.971065523307885	9.800816515318381	114.57126414665622	53.63610413216943	184.29856825646527	1.04475467492571e-05	0.0031517879202560004	0.000611865358025	8.227972106524755e-05	0.000520752881312	40.16266185996164	22.47294061088357	1.4542824838866681	1.602237545394652	17.22540136527009
