time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s27	s28	s19	s20	s21	s22	s23	s24	s25	s26	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	nnamed: 5
78	1.10501	1.1050200000000001	1.10501	1.10501	1.10501	1.1050799999999998	1.10503	1.1050200000000001	1.1050200000000001	1.10505	1.1051	1.1051	1.10505	1.10513	1.1051600000000001	1.10514	1.1051799999999998	1.10524	1.10531	1.10537	1.1052	1.1052899999999999	1.10524	1.10524	1.10524	1.10524	1.10524	1.10524	1.1053899999999999	1.10534	1.1053600000000001	1.10535	1.1053899999999999	1.1054	1.1053600000000001	1.10538	1.10541	1.1054	1.10538	1.1053899999999999	1.1053600000000001	1.10538	1.1053600000000001	1.10538	1.10537	1.1053899999999999	1.1053600000000001	1.10538	1.1053899999999999	1.1054	1.1053899999999999	1.1054	1.1053899999999999	1.1053899999999999	1.1053899999999999	1.1053899999999999	1.1053899999999999	
81	1.10507	1.1050799999999998	1.1050799999999998	1.10507	1.10507	1.10512	1.10509	1.1050799999999998	1.1050799999999998	1.1051	1.10514	1.10514	1.1051	1.1051600000000001	1.10519	1.10517	1.1052	1.10525	1.1053	1.10534	1.10521	1.1052799999999998	1.10524	1.10524	1.10524	1.10524	1.10524	1.10524	1.1053600000000001	1.10532	1.10534	1.10533	1.1053600000000001	1.1053600000000001	1.10534	1.10535	1.10537	1.10537	1.10535	1.1053600000000001	1.10534	1.10535	1.10534	1.10535	1.10534	1.1053600000000001	1.10534	1.10535	1.1053600000000001	1.1053600000000001	1.1053600000000001	1.1053600000000001	1.1053600000000001	1.1053600000000001	1.1053600000000001	1.1053600000000001	1.1053600000000001	
84	1.10512	1.10512	1.10512	1.10512	1.10512	1.1051600000000001	1.10514	1.10513	1.10513	1.10514	1.10517	1.10517	1.10514	1.10519	1.10521	1.10519	1.10522	1.10525	1.1052899999999999	1.10532	1.10523	1.1052799999999998	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10534	1.1053	1.10532	1.10531	1.10533	1.10534	1.10532	1.10533	1.10534	1.10534	1.10533	1.10534	1.10532	1.10533	1.10532	1.10533	1.10532	1.10533	1.10532	1.10533	1.10533	1.10534	1.10533	1.10534	1.10533	1.10533	1.10533	1.10533	1.10533	
87	1.1051600000000001	1.1051600000000001	1.1051600000000001	1.1051600000000001	1.1051600000000001	1.10519	1.10517	1.1051600000000001	1.1051600000000001	1.10517	1.1052	1.1052	1.10517	1.10521	1.10522	1.10521	1.10523	1.10525	1.1052799999999998	1.10531	1.10524	1.10527	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10532	1.1052899999999999	1.1053	1.1053	1.10532	1.10532	1.1053	1.10531	1.10532	1.10532	1.10531	1.10532	1.10531	1.10531	1.10531	1.10531	1.10531	1.10531	1.1053	1.10531	1.10532	1.10532	1.10532	1.10532	1.10531	1.10531	1.10531	1.10531	1.10532	
90	1.1051799999999998	1.10519	1.10519	1.1051799999999998	1.1051799999999998	1.10521	1.10519	1.10519	1.10519	1.1052	1.10521	1.10521	1.1052	1.10522	1.10523	1.10522	1.10524	1.1052600000000001	1.1052799999999998	1.1053	1.10524	1.10527	1.10525	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.1053	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1053	1.1053	1.1052899999999999	1.1053	1.10531	1.10531	1.1053	1.1053	1.1052899999999999	1.1053	1.1052899999999999	1.1053	1.1053	1.1053	1.1052899999999999	1.1053	1.1053	1.1053	1.1053	1.1053	1.1053	1.1053	1.1053	1.1053	1.1053	
93	1.1052	1.10521	1.1052	1.1052	1.1052	1.10522	1.10521	1.10521	1.10521	1.10521	1.10523	1.10523	1.10521	1.10523	1.10524	1.10523	1.10524	1.1052600000000001	1.10527	1.1052899999999999	1.10525	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052899999999999	1.1052799999999998	1.1052899999999999	1.1052799999999998	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1053	1.1053	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	
96	1.10522	1.10522	1.10522	1.10522	1.10522	1.10523	1.10522	1.10522	1.10522	1.10523	1.10523	1.10523	1.10523	1.10524	1.10525	1.10524	1.10525	1.1052600000000001	1.10527	1.1052799999999998	1.10525	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052899999999999	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052899999999999	1.1052799999999998	1.1052799999999998	1.1052899999999999	1.1052899999999999	1.1052799999999998	1.1052899999999999	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052899999999999	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052899999999999	
99	1.10523	1.10523	1.10523	1.10523	1.10523	1.10524	1.10523	1.10523	1.10523	1.10524	1.10524	1.10524	1.10523	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.10527	1.1052799999999998	1.10525	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052799999999998	1.10527	1.1052799999999998	1.10527	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	
102	1.10524	1.10524	1.10524	1.10524	1.10524	1.10525	1.10524	1.10524	1.10524	1.10524	1.10525	1.10525	1.10524	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.10527	1.10527	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052799999999998	1.10527	1.10527	1.10527	1.1052799999999998	1.1052799999999998	1.10527	1.10527	1.1052799999999998	1.1052799999999998	1.10527	1.1052799999999998	1.10527	1.10527	1.10527	1.10527	1.10527	1.1052799999999998	1.10527	1.10527	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	1.1052799999999998	
105	1.10524	1.10525	1.10524	1.10524	1.10524	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.10525	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	
108	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	
111	1.10525	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.10525	1.10525	1.10525	1.10525	1.1052600000000001	1.1052600000000001	1.10525	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	
114	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	
117	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	
120	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.10527	1.10527	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.1052600000000001	1.10527	1.1052600000000001	1.10527	1.1052600000000001	1.10527	1.1052600000000001	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	1.10527	
123	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	
126	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	1.1052600000000001	
