time	x1	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x2	x20	x21	x22	x23	x24	x25	x3	x4	x5	x6	x7	x8	x9	nnamed: 2
216000	0.143851	-0.0	8.11181e-68	-9.048769999999994e-264	-1.1558599999999994e-265	90.0963	1.5	15.0	0.0	0.2	0.5	32.9328	1.25641e-34	8.4e-323	0.00205408	0.07	0.8	0	2721.8	0.0	0.263521	0.06579310000000001	2701.7	-3.3642699999999995e-30	-1.06597e-29	
222000	0.143852	0.0	-1.4165e-69	-1.4193599999999992e-266	-1.813039999999999e-268	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9331	-8.857939999999999e-36	1.14e-322	0.00205408	0.07	0.8	0	2721.81	0.0	0.263521	0.0649491	2739.35	-2.3933199999999997e-30	2.83757e-29	
228000	0.143852	5e-324	-3.5978999999999997e-69	-3.617869999999998e-270	-4.6213499999999974e-272	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9333	1.7538499999999998e-34	1.33e-322	0.00205408	0.07	0.8	0	2721.82	-0.0	0.263521	0.0641385	2776.5	-5.76214e-30	-9.14116e-28	
234000	0.143853	2e-323	7.193399999999999e-70	-1.496499999999999e-270	-1.9115799999999986e-272	90.0963	1.5	15.0	0.0	0.2	0.5	32.9335	-1.7372099999999998e-34	5.04e-322	0.00205408	0.07	0.8	0	2721.83	5e-324	0.263521	0.06335940000000001	2813.17	-4.49038e-29	-3.3192899999999996e-27	
240000	0.143853	-0.0	6.991029999999999e-71	-4.302319999999998e-274	-5.495639999999997e-276	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9337	2.56032e-31	7e-323	0.00205408	0.07	0.8	0	2721.84	-0.0	0.263521	0.0626096	2849.37	6.29391e-29	4.390299999999999e-28	
246000	0.143854	-2e-323	-7.51118e-73	4.740169999999997e-272	6.054939999999997e-274	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9339	-2.5916200000000002e-30	-5.6e-322	0.00205408	0.07	0.8	0	2721.85	5e-324	0.263521	0.061887300000000006	2885.12	-4.21763e-28	2.4864099999999998e-26	
252000	0.143854	-4.4e-323	1.7963199999999997e-71	1.4771099999999994e-271	1.8868099999999987e-273	90.0963	1.5	15.0	0.0	0.2	0.5	32.9341	-2.00413e-29	-1.596e-321	0.00205408	0.07	0.8	0	2721.86	1.5e-323	0.263521	0.061190999999999995	2920.43	-3.68944e-27	6.31836e-26	
258000	0.14385499999999998	-9e-323	-5.608639999999999e-72	1.3212899999999993e-271	1.687779999999999e-273	90.0963	1.5	15.0	0.0	0.2	0.5	32.9343	-3.49943e-29	-1.665e-321	0.00205408	0.07	0.8	0	2721.87	2.5e-323	0.263521	0.060519100000000006	2955.33	-3.54773e-26	-1.43954e-25	
264000	0.14385499999999998	0.0	7.733209999999999e-73	8.383109999999996e-273	1.0708299999999995e-274	90.0963	1.5	15.0	0.0	0.2	0.5	32.9345	-1.75385e-32	1.14e-322	0.00205408	0.07	0.8	0	2721.88	0.0	0.263521	0.059870299999999994	2989.83	-2.13016e-27	-1.09912e-25	
270000	0.14385599999999998	5e-324	3.149639999999999e-73	4.8452199999999976e-273	6.189119999999997e-275	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9347	6.938249999999999e-31	-1.4e-322	0.00205408	0.07	0.8	0	2721.88	-1e-323	0.263521	0.05924310000000001	3023.93	-6.35536e-28	-4.3729400000000005e-26	
276000	0.14385599999999998	-5e-324	4.590799999999999e-74	1.2516999999999992e-272	1.5988799999999994e-274	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9349	-2.01965e-30	-2.47e-322	0.00205408	0.07	0.8	0	2721.89	5e-324	0.263521	0.0586365	3057.66	-2.8305399999999997e-27	-1.30667e-26	
282000	0.14385699999999998	0.0	2.2258799999999996e-75	1.686879999999999e-275	2.1547599999999993e-277	90.0963	1.5	15.0	-0.0	0.2	0.5	32.935	7.112189999999999e-31	3.5e-323	0.00205408	0.07	0.8	0	2721.9	5e-324	0.263521	0.0580494	3091.03	1.4298e-28	1.29841e-28	
288000	0.14385699999999998	5e-324	9.377829999999997e-78	-1.8469099999999988e-278	-2.359189999999999e-280	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9352	7.03167e-33	2.6e-322	0.00205408	0.07	0.8	0	2721.91	0.0	0.263521	0.05748060000000001	3124.04	4.24039e-29	2.48692e-26	
294000	0.14385799999999999	-0.0	2.5464299999999997e-78	-6.477949999999997e-280	-8.274719999999994e-282	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9354	-7.47215e-30	-8.4e-323	0.00205408	0.07	0.8	0	2721.91	0.0	0.263521	0.0569294	3156.71	-1.5566199999999999e-27	5.968569999999999e-26	
300000	0.14385799999999999	-5e-324	5.754879999999999e-79	-3.8663099999999976e-282	-4.938699999999997e-284	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9355	1.1824499999999999e-33	-2.47e-322	0.00205408	0.07	0.8	0	2721.92	0.0	0.263521	0.056394799999999995	3189.05	5.16287e-29	1.9134300000000002e-26	
