time	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
732.0.	3.546913403708909e-10	1.559537814458376e-10	1.887447188725696e-12	7.514974185106875e-16	8.441134268496662e-10	1.076333877070583e-10	7.316832219970646e-13	4.805278369625476e-12	1.0613790467198341e-09	5.374670956049402e-11	5.3982572242635084e-14	2.361446474528944e-11	1.162425314304314e-14	4.078128535079141e-16	5.180538967280899e-13	2.3094368092086494e-08	4.883189108044734e-09	5.924466039347791e-11	4.6350489912131055e-12	3.3838642752644245e-10	3.510672362120173e-10	1.706446408139671e-11	1.07550309513642e-09	2.765351634051958e-09	1.104126110995454e-12	1.6511139618395e-07	1.1593645401673533e-09	1.608817631253435e-07	8.155453358936648e-09	1.0936868557549381e-15
744.0.	3.546913403708908e-10	1.5594855435202992e-10	1.89226601499037e-12	7.538762614948664e-16	8.487700462284318e-10	1.086316817309273e-10	7.438403150379795e-13	4.876941108625397e-12	1.066839669343461e-09	5.4024414282842526e-11	4.6423869186994546e-14	2.3693705836034028e-11	1.167106517503625e-14	4.093461923964272e-16	5.197783342090783e-13	2.230791178626394e-08	4.825751849523905e-09	5.879675990459286e-11	4.581613272659268e-12	3.3240043448025733e-10	3.449162707338886e-10	1.675383224778289e-11	1.038877723364823e-09	2.7590362815815805e-09	1.102410438681948e-12	1.659897965184346e-07	1.174937507851524e-09	1.617267232038306e-07	8.198149514475722e-09	9.39824558079979e-16
756.0.	3.546913403708909e-10	1.55943299591506e-10	1.897100170370333e-12	7.562642963238522e-16	8.532668227921478e-10	1.0961828874758801e-10	7.559044704428963e-13	4.947332325399291e-12	1.0721357568318882e-09	5.429374752986194e-11	4.058877573761595e-14	2.3767720818563427e-11	1.1715353640304448e-14	4.1079090951632044e-16	5.213897204340706e-13	2.154823759827173e-08	4.770431230580885e-09	5.834935779151524e-11	4.528474319322987e-12	3.266263562057974e-10	3.387785461734263e-10	1.644463458245998e-11	1.0034996367307202e-09	2.7527061272693126e-09	1.1006899098877489e-12	1.668382901252622e-07	1.190235072039159e-09	1.625429388257733e-07	8.23939318870713e-09	8.210424113379042e-16
768.0.	3.54691340370891e-10	1.559380182768312e-10	1.901948603012834e-12	7.586610139546698e-16	8.576091978519545e-10	1.1059363764770861e-10	7.678758433261429e-13	5.0164554432384375e-12	1.077272898630517e-09	5.455499369656846e-11	3.608881666860513e-14	2.3836695454306078e-11	1.175720598524469e-14	4.1215003375900617e-16	5.228918315889387e-13	2.081443377123352e-08	4.71714456206005e-09	5.790292639370787e-11	4.47567285485521e-12	3.210564392715092e-10	3.326602458366869e-10	1.6137131406136168e-11	9.693263646390753e-10	2.7463623410151203e-09	1.098964786231206e-12	1.6765790589412322e-07	1.2052592191601011e-09	1.633313923947392e-07	8.279234024345248e-09	7.294340349633492e-16
780.0.	3.546913403708909e-10	1.5593271142266822e-10	1.906810298653494e-12	7.610659230630897e-16	8.61802427575998e-10	1.1155814061034091e-10	7.797546830549571e-13	5.084315116970232e-12	1.0822564933079892e-09	5.480842746561846e-11	3.262293068886366e-14	2.3900810417556377e-11	1.179670725528889e-14	4.134265278227545e-16	5.242883973809471e-13	2.010561952224887e-08	4.665812681470857e-09	5.745790617956101e-11	4.4232465473676005e-12	3.1568323024660695e-10	3.2656711822696584e-10	1.583156372401622e-11	9.363168812420215e-10	2.740006047379691e-09	1.097235319252765e-12	1.68449636940387e-07	1.220012115502537e-09	1.64093032388881e-07	8.31771994970739e-09	6.5887212163382255e-16
792.0.	3.546913403708909e-10	1.5592737996263652e-10	1.911684279551552e-12	7.634785495408414e-16	8.658515893031444e-10	1.1251219381567461e-10	7.915413268208663e-13	5.150917145293092e-12	1.08709175516791e-09	5.505431414375996e-11	2.995780191207536e-14	2.3960241149517817e-11	1.183394003134797e-14	4.1462328155078134e-16	5.255830832575394e-13	1.9420943999559683e-08	4.6163597843427915e-09	5.701470739387629e-11	4.371230170639867e-12	3.1049956301137585e-10	3.20504499486212e-10	1.552815423943195e-11	9.044315563583059e-10	2.733638327633372e-09	1.0955017509759842e-12	1.692144418787523e-07	1.2344960927830481e-09	1.648287745615288e-07	8.354897239390855e-09	6.046081379288151e-16
804.0.	3.54691340370891e-10	1.5592202476250573e-10	1.9165696034337652e-12	7.658984359979053e-16	8.697615874955231e-10	1.1345617811080691e-10	8.032361936118717e-13	5.216268388529303e-12	1.091783720474223e-09	5.529290997862285e-11	2.79126513867152e-14	2.4015157784236168e-11	1.186898439911499e-14	4.1574310743465615e-16	5.267794775068628e-13	1.8759585296527363e-08	4.568713267458204e-09	5.65737116007685e-11	4.319655755400286e-12	3.054985469076062e-10	3.144773344833857e-10	1.522710830622835e-11	8.736321091553905e-10	2.7272602215989903e-09	1.093764314394632e-12	1.699532460212229e-07	1.2487136346128661e-09	1.6553950307040668e-07	8.390810571342387e-09	5.62962797353832e-16
816.0.	3.54691340370891e-10	1.559166466306928e-10	1.921465362368174e-12	7.683251412325477e-16	8.735371597871123e-10	1.1439045967013031e-10	8.148397783591586e-13	5.2803766888720696e-12	1.0963372537627829e-09	5.552446247989189e-11	2.6347372801662924e-14	2.4065725142260488e-11	1.190191794937899e-14	4.167887379695654e-16	5.278810823191938e-13	1.812074944670771e-08	4.5228035748953534e-09	5.613527319817381e-11	4.268552737979223e-12	3.006735549698492e-10	3.0849019760448887e-10	1.492861486672713e-11	8.438815610390032e-10	2.720872729424153e-09	1.092023233921908e-12	1.706669425882512e-07	1.262667363439912e-09	1.662260716197692e-07	8.425503084579945e-09	5.310845949418396e-16
828.0.	3.546913403708909e-10	1.559112463264503e-10	1.9263706817139996e-12	7.707582397378724e-16	8.771828824741441e-10	1.1531539059373922e-10	8.263526465485667e-13	5.343250796886646e-12	1.1007570535670542e-09	5.574921071066706e-11	2.51534191927838e-14	2.411210275676713e-11	1.193281579292944e-14	4.177628241445595e-16	5.288913076006733e-13	1.750366951023656e-08	4.478564058617116e-09	5.569972080041037e-11	4.217948096422024e-12	2.960182132604391e-10	3.025473118069479e-10	1.463284731164071e-11	8.151441928671789e-10	2.7144768131478474e-09	1.0902787257775901e-12	1.713563938075315e-07	1.2763600284937341e-09	1.6688930449635082e-07	8.45901643154794e-09	5.067643309826086e-16
840.0.	3.54691340370891e-10	1.559058245664601e-10	1.931284719017064e-12	7.731973211831917e-16	8.807031761263669e-10	1.1623130950458651e-10	8.377754289761082e-13	5.404900300122977e-12	1.1050476582582082e-09	5.596738558464197e-11	2.424667774905119e-14	2.4154444942141562e-11	1.196175059491243e-14	4.1866793506987265e-16	5.298134671892176e-13	1.6907604638311212e-08	4.435930840953439e-09	5.526735860320363e-11	4.167866484835428e-12	2.915263902221438e-10	2.9665256747101706e-10	1.433996432989265e-11	7.873855011963762e-10	2.7080733982392513e-09	1.088530998355613e-12	1.7202243203141098e-07	1.289794494140533e-09	1.675299976234031e-07	8.491390831385934e-09	4.882900970978996e-16
