time	Ib	It	Iv	Sb	St	Sv
7.0.300000000000001.0	399852.2394994086	209198.22699352886	1946340.8188596142	2219535.1991351396	2485550.5290245363	14979073.052155308
7.0.4.0	409853.46090588026	214713.05641675726	1997592.8568562367	2207495.1006640964	2482012.625703236	14934605.986374889
7.0.5.0	420036.4346691772	220357.43680117288	2049936.7270590793	2195194.058052983	2478294.5681599253	14888602.732687116
7.0.6000000000000005.0	430401.40495309007	226133.09819579645	2103382.1507850206	2182630.493144942	2474393.6562568997	14841045.453271847
7.0.7.0	440948.4313091428	232041.72800497065	2157938.173964672	2169803.014062229	2470307.220463269	14791916.925703438
7.0.800000000000001.0	451677.3800488248	238084.9666692276	2213613.1218601507	2156710.425396693	2466032.6265719202	14741200.594151583
7.0.9.0	462587.9156221679	244264.40321523164	2270414.552974084	2143351.7384619964	2461567.2805828955	14688880.621756697
8.0.	473679.4920323881	250581.57067963347	2328349.2122446694	2129726.181577541	2456908.63374932	14634941.944090629
8.0.1.0	484951.3443182488	257037.94141248637	2387422.9836312374	2115833.210351858	2452054.187781184	14579370.32360292
8.0.200000000000001.0	496402.4801377368	263634.9222667216	2447640.8422045563	2101672.5179310306	2447001.50020137	14522152.404942064
8.0.3.0	508031.6714885184	270373.84968105855	2509006.8058660678	2087244.0451755452	2441748.1898473664	14463275.77103041
8.0.4.0	519837.4466024759	277255.9846646371	2571523.8868303634	2072547.9907268442	2436291.9425111655	14402728.99976008
8.0.5.0	531818.0820533622	284282.5076925835	2635194.0430151774	2057584.820922793	2430630.516708807	14340501.721166134
8.0.6.0	543971.5951182689	291454.5135226878	2700018.1294932803	2042355.2795192972	2424761.7495700107	14276584.674921855
8.0.700000000000001.0	556295.7364351377	298773.00594432966	2765995.8501706184	2026860.3971734345	2418683.5628372584	14210969.767989859
8.0.8.0	568787.9829999306	306238.89247178205	2833125.709864698	2011101.5006417218	2412393.968962646	14143650.132251522
8.0.9.0	581445.5315483273	313852.97899500944	2901404.9669667953	1995080.2216455243	2405891.077289673	14074620.181926273
9.0.	594265.2923678565	321615.96440206846	2970829.5868806336	1978798.5053542096	2399173.100306087	14003875.670581661
9.0.1.0	607243.8835872259	329528.4351882042	3041394.196438838	1962258.6184354182	2392238.3599527553	13931413.74752479
9.0.200000000000001.0	620377.6259902398	337590.8600677101	3113092.039506669	1945463.156620807	2385085.293972453	13857233.013355915
9.0.3.0	633662.5384020553	345803.58460556646	3185914.9339899113	1928415.0517348875	2377712.462281363	13781333.57445572
9.0.4.0	647094.3336956424	354166.82588681043	3259853.230470642	1911117.5781340562	2370118.5533450022	13703717.09616932
9.0.5.0	660668.4154661142	362680.66724246176	3334895.772700363	1893574.3585027612	2362302.3905392773	13624386.854442375
9.0.600000000000001.0	674379.8754200734	371345.05305168446	3411029.8601849736	1875789.3689538569	2354262.9384763306	13543347.785657667
9.0.700000000000001.0	688223.4915263108	380159.7836406538	3488241.2130998503	1857766.943380662	2345999.3092739135	13460606.534415036
9.0.8.0	702193.7269729677	389124.510299317	3566513.9397760136	1839511.7770090704	2337510.768746121	13376171.498992704
9.0.9.0	716284.7299747333	398238.7304378975	3645830.506999694	1821028.9290992534	2328796.742492475	13290052.874224823
10.0.	730490.3344716427	407501.78290552646	3726171.71336732	1802323.8247482039	2319856.8218616475	13202262.691528404
