time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
105.0.	-2.648488034967391e-72	7.112693470668352e-06	2.887306521287097e-06	4.135870924377005e-09	1.6790312105053477e-71	5.996027529772596e-06	-1.209993764506632e-33	2.112530069971373e-06	8.044566996875176e-15	1.634006969659501e-10
108.0.	5.107224599469755e-74	7.112693470631739e-06	2.88730652122224e-06	3.356497178092999e-09	-4.5545331669654985e-73	5.9968069035188814e-06	-1.0857442859025702e-33	2.112530069934758e-06	8.146038006171592e-15	1.634006969659501e-10
111.0.	-3.1893962736049407e-75	7.112693470596589e-06	2.887306521159977e-06	2.723990550016918e-09	-1.205234991610063e-75	5.997439410146958e-06	-9.941907563448488e-34	2.1125300698996077e-06	8.24345023663612e-15	1.634006969659501e-10
114.0.	3.826082684308187e-76	7.112693470562845e-06	2.887306521100205e-06	2.2106750406081203e-09	-1.1315929241426662e-75	5.997952725656365e-06	-9.254474501462301e-34	2.112530069865865e-06	8.336966036959351e-15	1.634006969659501e-10
117.0.	1.0344651713010379e-78	7.112693470530451e-06	2.887306521042824e-06	1.7940899638252473e-09	-2.9254568654618424e-79	5.998369310733148e-06	-8.730280851952468e-34	2.112530069833471e-06	8.426741261988786e-15	1.634006969659501e-10
120.0.	8.580736080695195e-81	7.112693470499351e-06	2.8873065209877368e-06	1.4560072093231632e-09	1.400934620005904e-81	5.99870739348765e-06	-8.3254394974406e-34	2.112530069802373e-06	8.512925532464387e-15	1.634006969659501e-10
123.0.	6.005325154978313e-83	7.112693470469498e-06	2.887306520934855e-06	1.181633606087325e-09	7.377430717756466e-84	5.998981767090887e-06	-8.009445929546248e-34	2.112530069772519e-06	8.595662484390147e-15	1.634006969659501e-10
126.0.	3.2437320013223535e-85	7.11269347044084e-06	2.887306520884088e-06	9.589636439259159e-10	3.7370729947443534e-86	5.999204437053047e-06	-7.760594053478525e-34	2.1125300697438578e-06	8.675090008417343e-15	1.634006969659501e-10
129.0.	3.320105001414126e-88	7.112693470413327e-06	2.887306520835352e-06	7.78254160709533e-10	3.800169217011099e-89	5.999385146536265e-06	-7.563120248609027e-34	2.112530069716345e-06	8.751340479654797e-15	1.634006969659501e-10
132.0.	-2.676622563745063e-89	7.112693470386912e-06	2.8873065207885646e-06	6.315980199020882e-10	-3.0891934389831247e-90	5.999531802677072e-06	-7.405372880522584e-34	2.112530069689932e-06	8.824540978287279e-15	1.634006969659501e-10
135.0.	-5.726235863966965e-91	7.112693470361556e-06	2.88730652074365e-06	5.125781253524521e-10	-6.608643666923967e-92	5.999650822571623e-06	-7.278608207115249e-34	2.1125300696645742e-06	8.894813501369234e-15	1.634006969659501e-10
138.0.	-8.758358382857116e-93	7.112693470337213e-06	2.88730652070053e-06	4.1598663439534553e-10	-1.0108036524626348e-93	5.99974741406258e-06	-7.176179215442773e-34	2.1125300696402318e-06	8.962275166146922e-15	1.634006969659501e-10
141.0.	-1.1713043253657249e-94	7.112693470313845e-06	2.887306520659136e-06	3.375970831306547e-10	-1.3518045264062271e-95	5.999825803613846e-06	-7.092977048670603e-34	2.112530069616864e-06	9.027038405247776e-15	1.634006969659501e-10
144.0.	-1.452999912325209e-96	7.112693470291411e-06	2.887306520619397e-06	2.739794529792744e-10	-1.6769099292452462e-97	5.999889421243998e-06	-7.0250385352791196e-34	2.112530069594429e-06	9.089211154062327e-15	1.634006969659501e-10
147.0.	-1.7149760834455478e-98	7.112693470269875e-06	2.8873065205812478e-06	2.223500865550172e-10	-1.9792571194147063e-99	5.999941050610422e-06	-6.969265287789463e-34	2.112530069572892e-06	9.148897030630933e-15	1.634006969659501e-10
150.0.	-1.951488008401661e-100	7.112693470249198e-06	2.8873065205446246e-06	1.8044988576119102e-10	-2.25221597625658e-101	5.999982950811217e-06	-6.923219246053772e-34	2.112530069552218e-06	9.2061955083352e-15	1.634006969659501e-10
153.0.	-2.15711135472673e-102	7.1126934702293485e-06	2.8873065205094672e-06	1.4644546253940792e-10	-2.4895262665083343e-103	6.000016955234441e-06	-6.884971584955125e-34	2.1125300695323693e-06	9.261202081681777e-15	1.634006969659501e-10
156.0.	-2.3268585106996326e-104	7.112693470210294e-06	2.8873065204757143e-06	1.188489170160147e-10	-2.685431778078033e-105	6.000044551779962e-06	-6.8529895310546825e-34	2.112530069513315e-06	9.314008425454984e-15	1.634006969659501e-10
159.0.	-2.456289861103318e-106	7.112693470192004e-06	2.8873065204433127e-06	9.645273285321867e-11	-2.834808742708791e-107	6.000066947964126e-06	-6.8260505507617856e-34	2.112530069495023e-06	9.364702547503351e-15	1.634006969659501e-10
162.0.	-2.5416177821730593e-108	7.112693470174444e-06	2.887306520412207e-06	7.827694108143018e-11	-2.933285856699316e-109	6.0000851237558955e-06	-6.803176600903584e-34	2.112530069477463e-06	9.413368935414847e-15	1.634006969659501e-10
165.0.	1.2716683487824652e-110	7.1126934701575845e-06	2.887306520382346e-06	6.352593891697574e-11	1.4676348300909853e-111	6.0000998747580595e-06	-6.783582994909116e-34	2.112530069460605e-06	9.460088738218752e-15	1.634006969659501e-10
