time	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
230.0.	4.1224222830160326e-11	4.9999999999999996e-06	9.711941741560892e-10	4.649897397234765e-08	4.507334957542415e-23	8.549641754735006e-07	1.0863502131650351e-11	1e-05	1e-05
240.0.	4.12242227553167e-11	4.9999999999999996e-06	9.711941723928207e-10	4.6789636410413013e-08	4.507334948200718e-23	8.605598297610457e-07	1.0931323404293209e-11	1e-05	1e-05
250.0.	4.1224222691838137e-11	4.9999999999999996e-06	9.711941708972215e-10	4.703616700648823e-08	4.5073349402770906e-23	8.653071774311989e-07	1.0988847241686689e-11	1e-05	1e-05
260.0.	4.1224222638043906e-11	4.9999999999999996e-06	9.711941696298327e-10	4.724508425352889e-08	4.507334933562527e-23	8.693311481958348e-07	1.1037594626274989e-11	1e-05	1e-05
270.0.	4.122422259249075e-11	4.9999999999999996e-06	9.711941685566006e-10	4.7421996149415445e-08	4.507334927876598e-23	8.727393285981486e-07	1.107887409155946e-11	1e-05	1e-05
280.0.	4.12242225539403e-11	4.9999999999999996e-06	9.71194167648353e-10	4.757171213174239e-08	4.507334923064745e-23	8.756240621220641e-07	1.1113807840224948e-11	1e-05	1e-05
290.0.	4.122422252133328e-11	4.9999999999999996e-06	9.71194166880132e-10	4.769834587077221e-08	4.5073349189947525e-23	8.780643884418554e-07	1.114335572916941e-11	1e-05	1e-05
300.0.	4.122422249376578e-11	4.9999999999999996e-06	9.71194166230642e-10	4.7805408094262275e-08	4.5073349155537796e-23	8.801278019905768e-07	1.11683369286381e-11	1e-05	1e-05
310.0.	4.122422247046768e-11	4.9999999999999996e-06	9.71194165681739e-10	4.789588936548866e-08	4.507334912645722e-23	8.818718253381276e-07	1.118944923710341e-11	1e-05	1e-05
320.0.	4.122422245078298e-11	4.9999999999999996e-06	9.71194165217978e-10	4.79723331535227e-08	4.507334910188871e-23	8.833454016607447e-07	1.120728613100373e-11	1e-05	1e-05
330.0.	4.1224222434158845e-11	4.9999999999999996e-06	9.711941648263048e-10	4.803689981260082e-08	4.5073349081136714e-23	8.84590116511132e-07	1.1222351693268698e-11	1e-05	1e-05
340.0.	4.1224222420119813e-11	4.9999999999999996e-06	9.711941644955427e-10	4.8091422252990655e-08	4.507334906361313e-23	8.856412627220674e-07	1.1235073603196279e-11	1e-05	1e-05
350.0.	4.122422240826702e-11	4.9999999999999996e-06	9.71194164216292e-10	4.8137454114168926e-08	4.507334904881855e-23	8.865287631594808e-07	1.1245814376864279e-11	1e-05	1e-05
360.0.	4.122422239826167e-11	4.9999999999999996e-06	9.711941639805655e-10	4.8176311277064805e-08	4.507334903632988e-23	8.872779667858202e-07	1.125488105332641e-11	1e-05	1e-05
370.0.	4.122422238981691e-11	4.9999999999999996e-06	9.711941637816077e-10	4.8209107511122176e-08	4.507334902578916e-23	8.87910332887127e-07	1.1262533512264189e-11	1e-05	1e-05
380.0.	4.122422238269026e-11	4.9999999999999996e-06	9.711941636137033e-10	4.823678498818066e-08	4.507334901689371e-23	8.884440172239826e-07	1.126899159389626e-11	1e-05	1e-05
390.0.	4.122422237667646e-11	4.9999999999999996e-06	9.711941634720188e-10	4.8260140345434384e-08	4.5073349009387313e-23	8.88894373004797e-07	1.127444118033857e-11	1e-05	1e-05
400.0.	4.1224222371602116e-11	4.9999999999999996e-06	9.711941633524925e-10	4.827984689866019e-08	4.507334900305401e-23	8.892743780891617e-07	1.127903937869374e-11	1e-05	1e-05
410.0.	4.1224222367321023e-11	4.9999999999999996e-06	9.711941632516025e-10	4.829647354101062e-08	4.507334899770984e-23	8.895949986104401e-07	1.12829189307723e-11	1e-05	1e-05
