	median_intern	median_extern	failure	n_species	n_reactions	n_submodels	run_0	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16	run_17	run_18	run_19	run_20	run_21	run_22	run_23	run_24
sarma2012c	0.030455	0.2473416328430176	False	19.0	22.0	1.0	0.029198	0.031246	0.032021	0.030633	0.029598000000000006	0.028345	0.030657	0.029806	0.028634	0.030463	0.02917	0.030665	0.030410000000000006	0.031503	0.029893	0.027063	0.029591000000000006	0.031023	0.029777	0.03174	0.03058	0.028775	0.03166	0.030995	0.030455
sarma2012d	0.013504	0.22547411918640134	False	18.0	22.0	1.0	0.015097	0.016372	0.015976	0.016434	0.015598	0.013504	0.014653	0.013423	0.017586	0.013156	0.011847	0.01955	0.013696000000000002	0.012386	0.013034	0.013699	0.01223	0.01313	0.012628	0.019917	0.012464	0.013194	0.012375	0.012606	0.023606
sasagawa2005	0.14821099999999998	0.5076153278350829	False	99.0	150.0	1.0	0.13886800000000002	0.133297	0.154981	0.160554	0.131444	0.133077	0.123524	0.123416	0.167926	0.17036800000000002	0.183865	0.134229	0.135348	0.135864	0.161693	0.180851	0.180751	0.152527	0.151612	0.13280699999999998	0.132916	0.14821099999999998	0.14207	0.204214	0.205655
schilling2009	0.02211	0.2592465877532959	False	33.0	42.0	1.0	0.025434	0.023925	0.023317	0.02447	0.024164	0.025884	0.025117	0.026635	0.023289	0.021923	0.020847	0.020864	0.020003	0.021101	0.02211	0.0232	0.022997	0.021484	0.020411	0.020129	0.016778	0.02132	0.021869	0.022241	0.021204
sengupta2015	0.12503499999999998	0.8284428119659424	False	240.0	175.0	1.0	0.120534	0.11287	0.119871	0.114493	0.118797	0.118345	0.120206	0.119771	0.121287	0.115204	0.122472	0.127388	0.128694	0.122366	0.126496	0.12726800000000002	0.134379	0.130171	0.135218	0.13613599999999998	0.13126600000000002	0.131203	0.132689	0.133243	0.12503499999999998
singh2006	0.275309	0.5595097541809082	False	68.0	72.0	1.0	0.24343	0.240897	0.29637600000000003	0.299161	0.28116	0.279986	0.274098	0.278451	0.26782	0.29375500000000004	0.275309	0.263568	0.257058	0.251817	0.258092	0.263676	0.302516	0.290752	0.26040100000000005	0.265355	0.26210900000000004	0.298692	0.308413	0.282267	0.28186300000000003
sivakumar2011	0.014174	0.28005099296569824	False	50.0	29.0	1.0	0.014437	0.014174	0.01524	0.013891	0.014281	0.013931	0.013543	0.013953	0.014478	0.014441999999999997	0.014216	0.013909	0.013827	0.011909	0.016315	0.016124	0.015653	0.0158	0.015603	0.016234000000000002	0.013959	0.013575	0.014087	0.013124	0.01292
strasen2018	0.013672499999999999	0.26947808265686035	False	23.0	65.0	2.0	0.013640000000000001	0.013729499999999999	0.0142335	0.013672499999999999	0.0123025	0.015099	0.0131455	0.013524000000000001	0.0128535	0.013736000000000002	0.0134665	0.013481	0.013155000000000002	0.013984	0.015562000000000001	0.014166500000000004	0.0139805	0.012696	0.0136625	0.01183	0.013954	0.013969	0.014154499999999999	0.013605500000000001	0.0152505
strasen2018a	0.01673816666666666	0.27967528502146405	False	23.0	66.0	6.0	0.01719966666666667	0.016616	0.01673816666666666	0.016064666666666668	0.016298999999999998	0.0169955	0.015938499999999998	0.01679166666666667	0.015749833333333334	0.016187500000000004	0.016703833333333334	0.01638966666666667	0.01609883333333333	0.017696833333333332	0.01703583333333333	0.017746	0.01822216666666666	0.01678683333333333	0.01678766666666667	0.016367333333333334	0.0166285	0.016819499999999998	0.017901833333333332	0.016540833333333334	0.016940833333333332
teusink1998	0.001173	0.198455810546875	False	4.0	4.0	1.0	0.001117	0.001234	0.001214	0.001186	0.001344	0.001141	0.001163	0.001263	0.001167	0.001158	0.001374	0.00111	0.001207	0.001123	0.001123	0.001336	0.001358	0.001137	0.001212	0.001173	0.000485	0.001205	0.001106	0.001049	0.003817
