time	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
217.0.	0	253.86261375323707	46.1373862467625	3075090.6970453276	2944748.021338071	0.588737775528415	0.011720733935869001	83.49464998708244	36.90535001291761	0.167289740395096	0.43471025960491005	0.762636464869319	6.626454898832228	2090.3089397247513	18.667915631776538	198.05208436822352	71.13539149769966	37.22460850230038	73.99080193103414	166.80919806896546	301	2.728363997470042	60.2	120.4	3.825137180254629	60.2	116.57486281974543	95.79962907443193	57.99432437395386	0.015757059737386	0.04074659558540401	128.3989034222354	21.815503272775317	93.05849302900073	0.33634850653097903	0.00469995500434	5851.880825317027
224.0.	0	254.26249397459597	45.73750602540361	3078105.950075319	2941733.6263384596	0.588736242642364	0.011721250648486002	85.7627161214202	34.63728387857982	0.16764154599504302	0.43435845400496303	0.7687677457185461	6.694581098013607	2090.1547538875093	19.093470585317057	197.62652941468303	72.43400058918768	35.92599941081235	78.2759540368856	162.52404596311396	301	2.918308530654015	60.2	120.4	4.116790847030643	60.2	116.28320915296943	95.00991244701082	58.14820609265629	0.016211443269839	0.043423463370553	126.1755146970926	22.41214411569484	93.05825612658548	0.336372491840756	0.00491388828328	5851.880823487914
231.0.	0	254.58246278817882	45.417537211820814	3081125.255512558	2938715.0983571764	0.588734744754815	0.011721662055544	87.77655046694606	32.62344953305395	0.167924990172952	0.43407500982705405	0.7737450417479511	6.749956653165033	2090.0304540577285	19.451059942367475	197.26894005763256	73.49523218444679	34.864767815553215	82.4497371499786	158.35026285002095	301	3.109928795454528	60.2	120.4	4.411479554521706	60.2	115.98852044547834	94.24226106663431	58.272269262375765	0.016650360811937	0.046157433956988	124.0496397070312	22.98500234314231	93.05802370389068	0.33639168099701805	0.005128208302291001	5851.880821532249
238.0.	0	254.8384153973485	45.16158460265114	3084147.7782280156	2935693.26828963	0.5887332753091871	0.011721987934746	89.57295897954475	30.827041020455276	0.16815299652703902	0.433847003472968	0.7777730250538261	6.794817861718496	2089.9304203942534	19.754827010481222	196.9651729895188	74.369734795033	33.990265204966974	86.50657867164864	154.29342132835086	301	3.303017382974345	60.2	120.4	4.708719592208655	60.2	115.69128040779138	93.49557381860569	58.37212096971495	0.017074678440388	0.048944656150198	122.02504002309554	23.535389463829443	93.05779492224929	0.33640697489104404	0.005342839616061	5851.88081947383
245.0.	0	255.04311532084822	44.95688467915143	3087172.851480936	2932668.8015655624	0.5887318289016661	0.011722244568696001	91.18371065222301	29.216289347777046	0.16833617386913502	0.433663826130872	0.781024637137889	6.831063412147518	2089.8500287027223	20.01634317850807	196.703656821492	75.09809862238632	33.26190137761362	90.44300320447664	150.35699679552278	301	3.497402312484824	60.2	120.4	5.008105964799343	60.2	115.39189403520074	92.76877199629826	58.452374939585894	0.017485221017292	0.051781487159144005	120.10247035358678	24.064558983040566	93.05756909024682	0.336419115168105	0.005557721115051001	5851.880817332238
252.0.	0	255.20679837858737	44.79320162141233	3090199.943369411	2929642.230836032	0.588730401106204	0.011722445282442	92.63559033305927	27.76440966694077	0.168483184077337	0.43351681592267005	0.7836442619906331	6.860284504167698	2089.7854963496216	20.244772516423353	196.47522748357662	75.71200501400475	32.6479949859952	94.25723621132929	146.54276378867013	301	3.69294098139617	60.2	120.4	5.309300439717933	60.2	115.09069956028215	92.06081401226591	58.51680525779843	0.017882766840291	0.054664503197970005	118.28057384005275	24.57369773629977	93.05734564144537	0.336428708735031	0.005772803431286001	5851.880815123491
259.0.	0	255.337665964978	44.662334035021715	3093228.629837281	2926613.982317866	0.5887289883155	0.011722600928856	93.95089987037647	26.44910012962355	0.168601069142605	0.43339893085740205	0.785751329855029	6.883801317699615	2089.7337435389727	20.44721916740678	196.27278083259318	76.23577506579188	32.124224934208094	97.94886669844361	142.85113330155582	301	3.889515057727764	60.2	120.4	5.612020908027669	60.2	114.78797909197242	91.37070455121099	58.5684847714076	0.018268045390663002	0.05759050289137001	116.55655516821818	25.063921842779298	93.05712411410694	0.336436249882663	0.005988046766361	5851.880812860631
266.0.	0	255.44228526406883	44.5577147359309	3096258.57301043	2923584.396975733	0.588727587601085	0.011722720313839	95.14812699717274	25.25187300282729	0.16869553458601003	0.43330446541399703	0.7874439211523251	6.9027006478439965	2089.6922720340112	20.629122214404653	196.09087778559535	76.68792005108186	31.67207994891815	101.51856398661926	139.2814360133801	301	4.087026206668363	60.2	120.4	5.916032119714723	60.2	114.48396788028543	90.69749971390773	58.60990608722403	0.018641737184289003	0.060556505282233004	114.92668017048082	25.536275836957454	93.05690413333265	0.336442139662034	0.006203419090695	5851.880810554238
273.0.	0	255.52591252114163	44.47408747885812	3099289.5038402285	2920553.7475253525	0.5887261965930101	0.011722810560864001	96.24261636840052	24.157383631599508	0.168771190530859	0.43322880946914805	0.788802130892431	6.917871707825078	2089.659061338606	20.79462453672296	195.9253754632771	77.0825014407486	31.27749855925138	104.96784232186465	135.8321576781347	301	4.285392537891385	60.2	120.4	6.221137744510911	60.2	114.17886225548929	90.04030931975252	58.64308515241493	0.019004475001573002	0.06355974390923201	113.38664214883161	25.99173392344536	93.05668539569119	0.33644670249326303	0.006418894661957	5851.880808212868
280.0.	0	255.59275337146346	44.407246628536285	3102321.2082144865	2917522.2520664996	0.588724813378103	0.011722877418563002	97.2471638444923	23.152836155507735	0.16883175392632901	0.43316824607367704	0.7898910781518931	6.930038559320465	2089.632481194325	20.94688431403306	195.773115685967	77.43023671698593	30.929763283014076	108.29886680629184	132.50113319370752	301	4.484545665587812	60.2	120.4	6.527173649609926	60.2	113.87282635039033	89.39829723586013	58.66964855783867	0.019356845978536003	0.066597658131714	111.9318270770681	26.431202594441906	93.05646765621204	0.33645020017820204	0.0066344528133690005	5851.880805843424
