time	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
384.0.	2462.1652084715543	694.4557393549628	54.40617773059771	1478.243809622405	416.941105439945	33.52202255433595	2002.1076572882434	564.6976900496583	15.818660187020091	94126.20138492128	26548.299261856097	3627.0435121015844	32691.92402153017	9220.79144816379	2544.1281739159886	43339.064991034276	12223.860449026712	949.8333088671948
390.0.	2447.7679131127516	690.3949363403098	54.099157668533636	1485.1158285346962	418.8793564416496	33.726842707170206	2010.4316140788176	567.0454599474549	15.89767849758611	92643.11120658019	26129.992410967032	3579.200384251694	32593.542050289852	9193.042540678987	2585.787602265139	43613.36905336429	12301.228033268646	967.9314997449909
396.0.	2433.019101180024	686.2349873473864	53.78451772197039	1491.8486972062503	420.778359616836	33.928061909444715	2018.5885966962978	569.3461339701728	15.975479418340042	91168.19155688137	25713.990077846815	3531.5545704204283	32493.28959303728	9164.766059823449	2627.26727765962	43884.77721100714	12377.77882642565	985.9995675435237
402.0.	2417.9152950263365	681.9749115125447	53.462178360371986	1498.438139231124	422.6369087751305	34.125696673566694	2026.570818083818	571.5975157392884	16.05204194301374	89701.56717541443	25300.327445622752	3484.108920649397	32391.160588090923	9135.960295730954	2668.5648237160326	44153.31814971367	12453.520918762106	1004.035922710224
408.0.	2402.45316796868	677.613770553081	53.132062926081616	1504.8795664028817	424.45370978276037	34.3197524828172	2034.3701215818653	573.7973046297598	16.127340157569318	88243.36494251512	24889.040301225432	3436.8663388767554	32287.147019946347	9106.622987472863	2709.6778574480063	44419.01327659008	12528.460347627148	1022.0390108437626
414.0.	2386.6295616907446	673.1506736757146	52.79409800840006	1511.1680828413018	426.2273817264853	34.51022410714129	2041.9779856415923	575.9430970993982	16.201343446536804	86793.71391559597	24480.16504563536	3389.8297836317615	32181.239108358295	9076.751376386961	2750.603986600888	44681.87715850288	12602.601221104473	1040.0073074873187
420.0.	2370.4415041121943	668.5847826166821	52.448213825410384	1517.2984890114656	427.9564580471808	34.69709589954953	2049.3855282734216	578.0323879435869	16.27401668084764	85352.74536004777	24073.738702598366	3343.0022687533988	32073.425473736963	9046.342252725986	2791.340807233256	44941.917925081056	12675.945831676923	1057.9393132675286
426.0.	2353.8862277920457	663.9153168324747	52.09434461546283	1523.2652857114876	429.6393876645835	34.880342074711216	2056.58351136907	580.0625715143083	16.34532038901831	83920.59277496515	23669.79892588111	3296.386864122353	31963.69328227459	9015.391996589284	2831.885901515033	45199.13763924224	12748.494760731484	1075.8335493520615
432.0.	2336.9611889202783	659.1415588564956	51.732429039891684	1529.062678105559	431.27453611482287	35.05992697134236	2063.562345032333	582.0309429416536	16.41521091345856	82497.39191380765	23268.384005098218	3249.986696396638	31852.028373774883	8983.89661397602	2872.2368357163778	45453.532637979995	12820.246974676502	1093.688553201037
438.0.	2319.6640869397224	654.2628598334903	51.362410598230746	1534.6845798798997	432.86018672262514	35.23580530001566	2070.3120920523165	583.9346993955212	16.483640553605596	81083.28079999115	22869.532870109408	3203.8049497418147	31738.415374778127	8951.851768691216	2912.391158365296	45705.09384597524	12891.199913394175	1111.5028745895784
444.0.	2301.9928848289865	649.2786452404234	50.98423805691753	1540.1246176006339	434.394541830477	35.407922378043146	2076.8224726521635	585.7709414250253	16.55055769751956	79678.39973730089	22473.28509395611	3157.8448665472365	31622.83779925123	8919.252810744589	2952.3463985552717	45953.807064436965	12961.349571706594	1129.2750718807476
450.0.	2283.945830066381	644.1884207994342	50.59786589221987	1545.3761353543932	435.87572410753893	35.5762143531065	2083.082869646545	587.5366744132125	16.615906943516233	78282.89131492931	22079.680894281973	3112.109748119961	31505.27813883614	8886.09480180451	2992.100064387124	46199.65323743351	13030.690574493154	1147.0037085299405
456.0.	2265.5214762843316	638.9917785855469	50.203254747876144	1550.4321997546153	437.3017779617099	35.74060841733864	2089.0823341422038	589.2288101849542	16.679629213361647	76896.90040686296	21688.76113315946	3066.6029553480766	31385.717944415424	8852.37253820304	3031.649641531881	46442.60869784574	13099.21624606042	1164.687349803539
462.0.	2246.718705613337	633.688403328866	49.80037190770508	1555.2856053989515	438.67067107893536	35.90102301358801	2094.8095919174857	590.8441688063607	16.74166185850734	75520.57416527123	21300.56731522468	3021.327909325119	31264.137900555423	8818.080571932249	3070.992591903749	46682.64539495561	13166.918674332439	1182.3245596962183
468.0.	2227.5367517039663	628.2780789080116	49.3891917832089	1559.928880865868	439.98029611460174	36.057368035630724	2100.253050619008	592.3794806146788	16.801938760807385	74154.06200748518	20915.1415840042	2976.2880919270724	31140.517894219538	8783.213230024441	3110.1263524342544	46919.73110557935	13233.788770399891	1199.9138980328337
474.0.	2207.975223404526	622.7606950284871	48.96969641595947	1564.354295341355	441.2284725626614	36.209545024130975	2105.400807916206	593.8313885183753	16.860390429125985	72797.51559609424	20532.52671630074	2931.4870463331654	31014.837079003384	8747.764632669509	3149.0483339405073	47153.829630558874	13299.816323939664	1217.4539177422391
