time	ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
33.0.6.0	0.000170790209447	9.999829209790551	0.004708887905941	1.9692626507035071	0.45863113767184505	8.974299706432909	0.00032816782352	0.19967183217647902	3.853808599731077	1.5461914002688841
34.0.8.0	0.00017201663641400002	9.999827983363586	0.004698841332213001	1.933988176060406	0.463001815719758	8.939015421483544	0.000328404090986	0.199671595909013	3.814378486778926	1.585621513221037
36.0.	0.00017325035988000002	9.99982674964012	0.004687944140273	1.898829228800549	0.46697799932486705	8.903845791108491	0.00032861816773300005	0.19967138183226601	3.775073163861868	1.6249268361380982
37.0.199999999999996.0	0.000174490818457	9.999825509181543	0.0046762134180160005	1.863787977998526	0.47058316797063204	8.868792999880416	0.000328808463945	0.199671191536054	3.735895543429803	1.664104456570165
38.0.4.0	0.000175737397552	9.999824262602448	0.004663663552622	1.828866727942951	0.473839149624425	8.833859364839771	0.000328973344274	0.199671026655725	3.696848659195619	1.703151340804351
39.0.6.0	0.00017698942497700002	9.999823010575023	0.004650306352184001	1.794067920012097	0.476766225953467	8.799047337487739	0.000329111123537	0.199670888876462	3.657935670338396	1.7420643296615772
40.0.8.0	0.00017824616624200002	9.999821753833757	0.0046361511553	1.7593941349412692	0.47938323034712105	8.764359506158797	0.00032922006231300005	0.199670779937686	3.619159865995938	1.7808401340040372
42.0.	0.000179506819519	9.999820493180481	0.004621204929416	1.724848095481725	0.48170763921172105	8.72979859877349	0.000329298362438	0.199670701637561	3.580524670056688	1.819475329943289
43.0.199999999999996.0	0.000180770510242	9.999819229489757	0.00460547235863	1.69043266945239	0.48375565697249706	8.695367485973312	0.000329344162386	0.199670655837613	3.54203364626188	1.8579663537380982
44.0.4.0	0.00018203628532400003	9.999817963714674	0.0045889559216080004	1.656150873186972	0.485542295187709	8.661069184640995	0.000329355532515	0.199670644467483	3.503690503629536	1.89630949637044
45.0.6.0	0.00018330310696200002	9.999816696893038	0.004571655960221	1.6220058753804572	0.48708144615257803	8.626906861810747	0.000329330470174	0.199670669529825	3.465499102212714	1.934500897787263
46.0.8.0	0.00018456984601000003	9.999815430153989	0.004553570739448	1.588001001340104	0.48838595134497303	8.592883838974101	0.00032926689465600004	0.19967073310534303	3.427463459205064	1.9725365407949131
48.0.	0.000185835274877	9.999814164725121	0.004534696499085	1.5541397376473132	0.489467665040888	8.559003596788271	0.000329162641984	0.19967083735801502	3.389587755407513	2.010412244592463
49.0.199999999999996.0	0.00018709805993400003	9.999812901940064	0.004515027497731	1.520425737237741	0.490337513405447	8.525269780194888	0.000329015459529	0.19967098454047003	3.3518763420704563	2.04812365792952
50.0.4.0	0.0001883567534	9.999811643246595	0.00449455604953	1.486862824908057	0.491005549344431	8.491686203957908	0.000328823000438	0.19967117699956102	3.314333748126423	2.085666251873554
51.0.6.0	0.00018960978466600002	9.99981039021533	0.004473272554097	1.453455003258608	0.49148100338197603	8.458256858630454	0.00032858281787100004	0.19967141718212802	3.276964687828675	2.123035312171302
52.0.8.0	0.00019085545103200003	9.999809144548966	0.0044511655200760005	1.420206459082	0.49177233081217203	8.424985916960994	0.000328292359047	0.19967170764095202	3.239774068811531	2.160225931188446
54.0.	0.00019209190783700002	9.99980790809216	0.004428221582745	1.387121570208227	0.491887255355588	8.391877740749914	0.000327948959077	0.199672051040922	3.202767000588474	2.197232999411503
55.0.199999999999996.0	0.00019331715792900002	9.999806682842072	0.004404425516103001	1.3542049128174471	0.49183280953637504	8.358936888168012	0.00032754983460200004	0.199672450165397	3.165948803504148	2.234051196495829
56.0.4.0	0.000194529040467	9.999805470959537	0.0043797602398700005	1.321461269231685	0.49161537198132504	8.32616812154863	0.00032709207722	0.199672907922779	3.129325018156242	2.270674981843735
57.0.599999999999994.0	0.00019572521902200003	9.999804274780981	0.004354206821863001	1.288895636196842	0.49124070182919305	8.293576415665271	0.000326572646713	0.19967342735328603	3.092901415302834	2.307098584697143
58.0.8.0	0.000196903168945	9.999803096831057	0.004327744476228	1.256513233666014	0.490713970426622	8.261166966506172	0.00032598836408200005	0.19967401163591703	3.056684006270108	2.343315993729868
60.0.	0.00019806016399700002	9.999801939836006	0.0043003505580580005	1.224319514094573	0.49003979047612006	8.228945200556872	0.00032533590439900003	0.1996746640956	3.020679053874279	2.3793209461256972
61.0.199999999999996.0	0.00019919326220900003	9.999800806737795	0.004272000554967	1.192320172256374	0.48922224279179005	8.196916784600672	0.00032461178949700004	0.19967538821050101	2.984893083870031	2.415106916129946
62.0.4.0	0.00020029929098400003	9.999799700709021	0.0042426680762690005	1.160521155588939	0.488264900809795	8.165087636045559	0.000323812380519	0.19967618761947903	2.9493328969357213	2.450667103064256
63.0.599999999999994.0	0.00020137483142400003	9.999798625168578	0.004212324840486	1.128928675073353	0.48717085299303403	8.13346393378403	0.00032293387036500004	0.199677066129634	2.9140055812028742	2.485994418797102
64.0.8.0	0.00020241620190600002	9.999797583798097	0.004180940662016	1.097549216651722	0.48594272326306104	8.102052129589635	0.000321972276075	0.199678027723924	2.8789185253339813	2.521081474665996
66.0.	0.00020341944093000002	9.999796580559073	0.004148483437901001	1.066389553181431	0.48458268958712303	8.070858960050359	0.000320923431208	0.19967907656879003	2.844079432148162	2.555920567851815
67.0.2.0	0.00020438028929000001	9.999795619710714	0.004114919135805	1.035456756920688	0.483092500844285	8.039891459034594	0.000319782978286	0.19968021702171201	2.809496332788691	2.590503667211286
68.0.39999999999999.0	0.000205294171617	9.999794705828384	0.004080211784466	1.004758212533973	0.48147349209211404	8.00915697067963	0.00031854636138300003	0.199681453638616	2.77517760141944	2.624822398580537
69.0.6.0	0.00020615617740900002	9.999793843822594	0.004044323468103001	0.9743016305987201	0.47972659835436704	7.978663162885601	0.000317208818973	0.19968279118102603	2.74113197042883	2.6588680295711473
70.0.8.0	0.00020696104166000002	9.999793038958343	0.0040072143265070005	0.944095061585521	0.477852367050821	7.948418041288996	0.000315765377171	0.19968423462282803	2.707368546109488	2.692631453890489
72.0.	0.000207703125244	9.999792296874759	0.0039688425628150005	0.9141469102731961	0.475850969192852	7.918429963679314	0.00031421084350800004	0.19968578915649102	2.673896824769205	2.7261031752307723
73.0.2.0	0.00020837639528400003	9.99979162360472	0.003929164461328001	0.8844659505467201	0.473722209472958	7.888707654809292	0.000312539801452	0.19968746019854702	2.640726709213602	2.759273290786375
74.0.39999999999999.0	0.00020897440574500003	9.99979102559426	0.003888134418083	0.8550613405099111	0.47146553538329106	7.859260221533675	0.00031074660589000005	0.199689253394109	2.6078685255226413	2.792131474477336
75.0.6.0	0.00020949027859300002	9.999790509721413	0.0038457049873780002	0.8259426378254671	0.46908004550778204	7.830097168192484	0.00030882537984800004	0.19969117462015	2.575333040021218	2.8246669599787593
76.0.8.0	0.000209916685924	9.999790083314078	0.0038018269479460002	0.7971198151718321	0.46656449714492504	7.801228412132357	0.000306770012787	0.199693229987212	2.543131476318051	2.8568685236819262
78.0.	0.00021024583355	9.999789754166454	0.0037564493930570004	0.7686032756788631	0.46391731343415504	7.7726642992325505	0.00030457416083800004	0.19969542583916103	2.51127553225614	2.8887244677438373
79.0.2.0	0.00021046944663500003	9.99978953055337	0.0037095198495300003	0.740403868171645	0.46113659017845704	7.744415619270433	0.00030223124946800005	0.19969776875053102	2.47977739658139	2.920222603418587
80.0.39999999999999.0	0.00021057875811200002	9.999789421241893	0.003660984431391	0.712532902013279	0.458220102579913	7.7164936209235435	0.00029973447908100004	0.19970026552091802	2.448649765092979	2.951350234906998
81.0.6.0	0.00021056450071800002	9.999789435499286	0.003610788034773	0.6850021612921261	0.455165312133863	7.688910026160906	0.000297076834217	0.199702923165782	2.417905855988305	2.982094144011671
82.0.8.0	0.00021041690366400002	9.999789583096343	0.003558874581628	0.657823918045902	0.451969373961905	7.6616770437243815	0.00029425109706	0.19970574890293902	2.387559424056228	3.012440575943749
84.0.	0.00021012569513600003	9.999789874304874	0.0035051873208910003	0.631010944153098	0.44862914490465405	7.634807381339914	0.000291249866133	0.19970875013386602	2.357624773303359	3.042375226696618
85.0.2.0	0.000209680111987	9.999790319888023	0.0034496691969060004	0.604576521450323	0.44514119274281705	7.60831425622818	0.00028806558115800003	0.19971193441884103	2.328116767518413	3.071883232481564
86.0.39999999999999.0	0.00020906891825800002	9.999790931081751	0.003392263296173	0.578534449551255	0.441501806970275	7.5822114034024395	0.00028469055521900005	0.19971530944478003	2.299050838187646	3.10094916181233
87.0.6.0	0.00020828043433500002	9.999791719565675	0.0033329133848060003	0.552899050747738	0.43770701160616604	7.55651308114787	0.000281117015536	0.19971888298446303	2.27044298906919	3.129557010930786
88.0.8.0	0.00020730257885800003	9.999792697421151	0.0032715645504810004	0.5276851712652331	0.433752580604913	7.531234072969818	0.00027733715431300005	0.19972266284568602	2.242309796614412	3.157690203385565
90.0.	0.000206122925731	9.999793877074277	0.0032081639639600004	0.50290817802244	0.42963405650400704	7.506389685177505	0.000273343191317	0.199726656808683	2.214668405289611	3.185331594710365
91.0.2.0	0.000204728778852	9.999795271221155	0.0031426617765720004	0.478583949908147	0.42534677303900204	7.481995739134533	0.000269127450026	0.19973087254997401	2.187536516700859	3.212463483299117
