time	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
195.0.	1.381730159469214	0.043489199917661	0.13419106366591402	0.22896078381027302	0.15783985626461	0.036567454210402	0.048739047622206	0.045596213339586
200.0.	1.290587047576251	0.040261028240051004	0.124014579300877	0.21130788375094503	0.146639197958935	0.033882649151377	0.042277270143143	0.039596477623654
205.0.	1.202109781665065	0.037178428728695	0.114326352806525	0.19454029044519003	0.135903311900458	0.031280949489304	0.036438682763477004	0.034167758054243005
210.0.	1.116585737191705	0.034246160887005	0.105137764730826	0.178673066599072	0.12564874986893101	0.028774009178099	0.031205564303028004	0.029294902663390004
215.0.	1.034278649161497	0.031467821846534	0.096456458676133	0.16371468649676102	0.11588895474051501	0.026372731734948	0.02655389778864	0.024956958685533003
220.0.	0.9554224024051841	0.028845752820864	0.088286125358286	0.14966676373988502	0.106633936580454	0.024086883249137003	0.022453925216543002	0.021127637114145
225.0.	0.8802154559552741	0.026380978840459	0.08062639079491801	0.13652395925027502	0.097890019813809	0.021924720860157003	0.018870949949703	0.017776005819124002
230.0.	0.8088162481664171	0.024073187113757003	0.073472821469099	0.12427408661745301	0.089659678238919	0.019892669682315	0.015766352320705	0.014867383784672
235.0.	0.74133989026849	0.021920747070092002	0.06681705233995401	0.112898420018884	0.081941471266447	0.017995080387604	0.013098760980605001	0.012364387659459
240.0.	0.677856379237982	0.019920772277913	0.060647035172353	0.10237219611285901	0.07473008957603901	0.016234093844554	0.010825304517512001	0.010228064376828001
245.0.	0.618390452030104	0.018069221324363	0.054947395803311004	0.092665287117001	0.068016511784454	0.014609628583402002	0.008902858384915	0.00841903341984
250.0.	0.562923074784322	0.016361031799841	0.049699880829666004	0.08374300963756601	0.061788266395262005	0.013119492883122	0.007289203423369001	0.0068985616356480005
255.0.	0.5113944299038691	0.014790279169103	0.044883867945764	0.075567024516638	0.056029786126574006	0.011759608441906001	0.005944024366005001	0.00562950283185
260.0.	0.463708149700768	0.013350350858458001	0.040476910663367005	0.068096278339228	0.050722835608639	0.010524319811102	0.004829697564057001	0.004577052136329
265.0.	0.41973646368687706	0.012034125516722002	0.036455287814012	0.061287937815512006	0.045846989191509	0.009406755552421	0.003911842845839	0.003709287959455
270.0.	0.379325887361015	0.010834148090414001	0.032794530908913	0.055098273638007005	0.041380133693635	0.008399204789142	0.0031596402577080004	0.002997498164846
275.0.	0.34230308500649803	0.009742792887411	0.029469907454112	0.049483459431746	0.037298971457249	0.007493476331904001	0.0025459342050790004	0.002416307749428
280.0.	0.308480581182114	0.00875240886579	0.026456844712825	0.044400262415586006	0.033579501770895005	0.006681215392996	0.0020471624190420003	0.0019436401358070001
285.0.	0.27766206334161603	0.007855443618968	0.023731285124246	0.039806613649461	0.030197462991632004	0.005954162821036	0.00164315429114	0.001560551933793
290.0.	0.24964709735150403	0.0070445446209630004	0.021269970730628	0.03566205581661	0.027128722817012	0.005304351528001	0.001316843221181	0.0012509821858020002
