time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
8.0.4.0	0.233811525693656	0.12722429123067902	0.9284238956895061	0.520804662350973	0.776549842138597	5.406118783960172	0.25781516326611603	1.886193583482864	2.971689009007862	1.007996061111798	0.450753120486296	2.433880821907562	0.0023845721899680003	4.179144150941119	0.5265210824016551	0.143308417837847	0.44831171906326805	0.18955618589710901
8.0.8.0	0.238451845486001	0.129363973769552	0.933031708499207	0.5403675452497181	0.7826068885477501	5.43314000727265	0.263591756540143	1.882145517907583	3.018206053659164	1.0163440238922261	0.457795860403141	2.471828936396988	0.002440142642972	4.171624413047461	0.5316258891362711	0.144478372924115	0.447883955833745	0.191456214446308
9.0.200000000000001.0	0.24339332079387901	0.13159206380826902	0.9373549121808511	0.561625701664973	0.788522792800863	5.458506712153705	0.269722073882249	1.878110495295697	3.063909718510585	1.024481922100081	0.46472144126346204	2.509167794202567	0.002498029133391	4.16511199718783	0.536828266730619	0.145679381554075	0.44709275436507906	0.193393710447809
9.0.600000000000001.0	0.248591185223889	0.13389213368278502	0.941417555878545	0.584470077718106	0.794290135914629	5.482358336106263	0.27615631703382804	1.8740863655108662	3.108703527106557	1.032415527307936	0.471514919706607	2.545815048339578	0.0025579953488790003	4.159490536197627	0.542097755915465	0.146903332407184	0.44600678649392406	0.195357469048057
10.0.	0.254009866202063	0.13625077082359502	0.9452379769039001	0.60881935426552	0.7999023890502961	5.504801523361891	0.282853766932043	1.870071448555092	3.152458485635049	1.040151038257104	0.478156768799724	2.581665012875701	0.0026198026791950002	4.154645261207382	0.547409614960908	0.148143491814432	0.44468138461572504	0.19733804555533102
10.0.4.0	0.259621267583165	0.138656972514296	0.9488291900482211	0.634614826943469	0.8053536583365251	5.5259123084568795	0.28978109466553303	1.866064456852846	3.195015478758558	1.047694753325977	0.484623225134204	2.6165904429115923	0.002683205801806	4.1504666155309025	0.552743709809848	0.14939430772557802	0.44316035087770206	0.19932738364899502
10.0.8.0	0.265403366467772	0.141101631797517	0.952199189551683	0.6618164216847331	0.810638463497737	5.545737816233175	0.29691093874179403	1.862064428899362	3.236185412038279	1.055052825069403	0.49088630242433706	2.6504425510467	0.0027479474082230003	4.146852483337005	0.55808351171958	0.150651227666277	0.44147766773575503	0.20131848392186502
11.0.200000000000001.0	0.27133910444325704	0.14357711371953802	0.9553511430904701	0.6903997223387001	0.8157515429135901	5.5642973573688455	0.304220739704944	1.8580706736165231	3.2757473943446342	1.062231079981683	0.49691351699506603	2.68304950839179	0.0028137520532740003	4.14370937697848	0.5634152393238641	0.15191053244857602	0.439658997208047	0.20330511059029102
11.0.600000000000001.0	0.27741553891025	0.14607691203752501	0.958283466011934	0.7203538863858591	0.82068767802607	5.581582850693353	0.311691803347666	1.8540827244503642	3.313445179068537	1.069234886728173	0.502667358351196	2.71421360889884	0.0028803190540370002	4.140952862698771	0.568727137228076	0.15316917939212102	0.43772292398904006	0.205281528466526
12.0.	0.283623216793911	0.148595372801472	0.9609897684645331	0.7516803392528411	0.825441530402313	5.597558529869915	0.31930855604895003	1.85010030216869	3.348981999372219	1.076069056020355	0.508104524872808	2.743707203172246	0.002947314309913	4.138507444374538	0.5740088610812281	0.154424645245889	0.43568193648884	0.20724226008440502
12.0.4.0	0.28995573549195003	0.15112747035617502	0.96345866885354	0.7843921594380061	0.830007485121739	5.612159897182095	0.327057954613368	1.846123285397756	3.382013849939543	1.082737754922972	0.513174931867467	2.771267438104226	0.0030143608601530003	4.136306071176312	0.579250930849003	0.155674758363143	0.43354315960023004	0.209181852512225
12.0.8.0	0.29640946116453404	0.15366862169390202	0.9656734647707401	0.8185140910050711	0.8343794943885551	5.625291874341864	0.33492901481409104	1.8421516881131201	3.412141188933529	1.089244417817684	0.517820487069257	2.796589772880253	0.003081027937629	4.134289388687634	0.584444213677332	0.15691751093327302	0.43130886094471205	0.211094643800065
13.0.200000000000001.0	0.30298338056651203	0.15621452575605402	0.9676116475181431	0.8540831444136551	0.838550915300111	5.636826071281844	0.34291242536597405	1.838185643529727	3.438898959058859	1.095591635887285	0.521973617067517	2.819320178902246	0.0031468182145090004	4.13240481427388	0.58957940134561	0.15815084445395902	0.428976753530497	0.21297451948179602
13.0.600000000000001.0	0.30967906854097205	0.15876101464636402	0.9692442386782921	0.891149769563465	0.8425143354650071	5.646597049467394	0.35100021573870804	1.834225394095908	3.461744754679512	1.101781007343716	0.5255555167747751	2.839045868906194	0.0032111528631800002	4.13060548566971	0.594646452326076	0.15937240447626402	0.42654011532629005	0.21481464955467203
14.0.	0.31650075848428505	0.16130390339324602	0.970534916811534	0.9297796050090791	0.8462613796042281	5.654397396097615	0.359185445842289	1.830271287577982	3.480044892815684	1.107812932178778	0.5284740827166501	2.8552843374219172	0.0032733539716900003	4.128849105517142	0.5996339731185231	0.16057926328774003	0.423987742054972	0.21660719542102203
14.0.4.0	0.32345550719767	0.16383882355061702	0.9714388890979591	0.9700558226630731	0.84978248932772	5.659971348727969	0.36746188190542806	1.826323779536017	3.493058082975309	1.113686338186252	0.53062147989131	2.867470431183658	0.0033326237563960004	4.127096682006298	0.6045285163391131	0.161767610853664	0.421303744561396	0.218342973920492
14.0.8.0	0.33055344814237003	0.16636102313904802	0.9719014463537201	1.012082094287175	0.8530666669037531	5.66300661508295	0.375823614127059	1.82238344286439	3.4999163449722572	1.119398329143307	0.531871282393325	2.874941109144836	0.0033880199099820003	4.125311144352388	0.6093137725422171	0.16293241420793703	0.41846719702001	0.22001106129093903
15.0.200000000000001.0	0.337808127438793	0.16886511056113301	0.971856120196912	1.05598619712685	0.856101171985133	5.663123919234617	0.384264555322254	1.818450985550193	3.499602820356465	1.124943750531713	0.532075123007941	2.8769175115823282	0.003438426325777	4.123455788506632	0.6139696273512171	0.16406704280207102	0.41545163761304305	0.221598313098636
15.0.600000000000001.0	0.34523691337332	0.17134471213121702	0.971222338533239	1.101924235638348	0.8588711579137651	5.659863674198489	0.39277773161336105	1.81452727845662	3.4909262147984252	1.130314671702757	0.5310587933541551	2.872483968940861	0.0034825183873	4.121492479571407	0.618471043392269	0.16516285144130202	0.41222442013984	0.223088766229872
16.0.	0.35286145934627905	0.173792000043917	0.9699024516676971	1.150085352743905	0.8613592314717621	5.652669040659985	0.401354229281406	1.810613395857326	3.472491902165205	1.135499784377335	0.5286177679766451	2.86056371252721	0.003518722089762	4.119379498691996	0.622786705760337	0.16620870291425302	0.408745915400805	0.224462875226062
16.0.400000000000002.0	0.360708175296418	0.17619702727486802	0.9677779815036811	1.200696573375318	0.86354491708502	5.640864509149437	0.409981584574349	1.8067106727360691	3.4426704258783403	1.140483714443244	0.524512211495033	2.8398914423717363	0.003545166647571	4.117068869483623	0.6268773380004381	0.167190399040219	0.404968569446278	0.225696516909579
16.0.8.0	0.36880860996859605	0.17854677390998402	0.9647049444392061	1.254026935832857	0.865404004340892	5.623629112070722	0.41864127625435205	1.802820784616662	3.3995656592392702	1.1452462364962	0.5184617242441301	2.808983848578408	0.0035596313124750005	4.114502929506345	0.6306935502482911	0.168089971720283	0.400835850619128	0.22675967425218002
17.0.2.0	0.377199538491699	0.18082375968514502	0.960508148887216	1.310389061296598	0.8669077582782291	5.599963614797061	0.427304772582131	1.7989458578976891	3.34098802912022	1.149761369125782	0.510140501193406	2.766111245502379	0.003559489648258	4.111609829042775	0.63417301975753	0.16888476554342902	0.39628117617839503	0.22761468471527002
17.0.6.0	0.38592233167043705	0.18300400233840403	0.9549745506761981	1.370134261405388	0.8680219799299681	5.568651981034492	0.435927247236835	1.795088620992302	3.264444494654032	1.153996316460905	0.499174442166995	2.709277806893203	0.0035416600405720005	4.108297564257306	0.6372367262742591	0.169546223692868	0.391227036605202	0.22821391815048
18.0.	0.395020746081568	0.18505399447994902	0.947846244543565	1.4336331345135491	0.868705930546376	5.528220034965295	0.44443754933866103	1.791252607676345	3.167169272729255	1.15791021497102	0.485143484451438	2.636226726817927	0.0035025828880620004	4.104446159622054	0.6397838796151241	0.17003827910951502	0.385584798317861	0.228496760785649
18.0.400000000000002.0	0.40453540592110704	0.186926242023596	0.9388148729502571	1.5012253072978141	0.8689111997371931	5.476900708460677	0.452722247320943	1.787442419868974	3.04624272534886	1.161452659573008	0.467595819118827	2.544504210720547	0.0034382687670270005	4.099897923130851	0.6416851235351051	0.17031528116180603	0.379256188313961	0.22838589685034003
18.0.8.0	0.41449156348848404	0.18855282561959202	0.927521966747134	1.573105858519547	0.868580753915771	5.412630098509673	0.460600694831351	1.7836640365188452	2.8988883827649112	1.164562054179462	0.44608701343285606	2.43164983922399	0.0033445087015560003	4.094446892361158	0.642773705079393	0.170319529427332	0.372138459980133	0.227783283272517
19.0.200000000000003.0	0.42487363646456205	0.18983668516819502	0.9135755305634241	1.649086675031827	0.8676487433479161	5.333130399133066	0.467787934244478	1.7799250901965	2.7231080791110562	1.167164033383443	0.420268015621	2.295640372641932	0.0032174232038960004	4.087832139693602	0.6428349224641261	0.16997892720920602	0.364136988879499	0.22656734731501801
19.0.6.0	0.43557510677073	0.190641718038248	0.8966041829764111	1.728126330600632	0.866042341092597	5.23619730394052	0.47384599586462606	1.776234858564632	2.51890388211509	1.169170682603471	0.39006123612199	2.135801077660878	0.0030546586920820002	4.079748851356525	0.641596233445583	0.16920642519293103	0.35519159513777904	0.22459572716096002
20.0.	0.446307524204257	0.19078736912576302	0.8763862870806141	1.8074877491381032	0.8636881254332651	5.120403765462511	0.47814058895906403	1.7726033120667761	2.290353546683193	1.170482282883702	0.355971746825959	1.954457901218063	0.002857653572208	4.069912101419174	0.638725957613824	0.16790553693964602	0.34532473146046205	0.22172370855487902
20.0.400000000000002.0	0.45645914062261106	0.19006432092706302	0.853098331713328	1.8814906897554162	0.8605271143659571	4.986488223255138	0.47986543847336405	1.7690378100271391	2.048435464771493	1.170994977297903	0.319533657913462	1.759385954504744	0.002635159976414	4.0582452750098	0.6338605441928621	0.16599073400066403	0.334714314778196	0.217857083320135
20.0.8.0	0.464946483114942	0.18830235476356003	0.8276693892277691	1.940422637689066	0.8565426177012401	4.8394164793547585	0.478266451250046	1.7655353400313332	1.8131340557267341	1.170619286835041	0.283687466475317	1.5660323553060609	0.002406786768107	4.045291445446205	0.626697142189888	0.163434602936701	0.323767416104563	0.21305796118168502
21.0.200000000000003.0	0.47023947365963903	0.18550620021491301	0.802026538275128	1.971474019555895	0.8517982006613011	4.6899938367368215	0.473155399737386	1.762069777451806	1.611160436999716	1.169312137967206	0.252514411085051	1.396388144409562	0.002202308780583	4.032831490529435	0.617182022674103	0.16033994900343002	0.313122997026267	0.20767556284817001
21.0.6.0	0.470841712050142	0.18197020785168902	0.7787960522256241	1.963886025268642	0.8464651656299661	4.55348466196451	0.46537207544776504	1.7585812680093451	1.4663738999388691	1.167113384520599	0.22979550572551302	1.271330606182811	0.002051860832791	4.024243812323008	0.605731479643367	0.156985283995906	0.30351768130587903	0.202361766257999
22.0.	0.466158131777311	0.178187834339559	0.760330719807998	1.916186339449303	0.8408067728919311	4.444084634175431	0.456448338026588	1.754983956429005	1.388155701666471	1.1641618237597071	0.21714014270598	1.200203078436919	0.001971274426517	4.023701952740528	0.5932708480127731	0.153756081780208	0.295586875050632	0.19782435369294102
22.0.400000000000002.0	0.45698625985719005	0.174587499174666	0.7477632490167591	1.838156774194244	0.8351135621847021	4.369040812037866	0.447632994231257	1.751198253317775	1.368877160411519	1.160670582755994	0.21349578774579	1.177770251826246	0.0019565415539930004	4.034099749087575	0.580955351628428	0.150976904277592	0.289737406134843	0.194477989229196
22.0.8.0	0.44508099348463304	0.171391522399146	0.7408494544410601	1.74514377563792	0.8296311066441221	4.32731791341719	0.43946885883028003	1.7471849082403712	1.391704573567017	1.156874194114803	0.21633349555917802	1.190559689113123	0.001991432913679	4.055322989507609	0.569780645661998	0.148799641238084	0.28608440166277205	0.19233926078929903
23.0.200000000000003.0	0.432309191712253	0.168675334305969	0.7384792310460531	1.6510837116876251	0.824522117408213	4.312522452818703	0.43211735430943604	1.7429534619610871	1.439465503617607	1.152979953291063	0.22304210513268902	1.2245240262065051	0.002057843222574	4.084405446123	0.560367985290527	0.14722258519459602	0.28443727161610405	0.191182934440832
23.0.6.0	0.42010937464554005	0.16645885839055302	0.7392871198037441	1.565316964318909	0.8198664187532121	4.316617589232816	0.42570234253770806	1.738545655284638	1.49892567802913	1.1491429968116451	0.231605145337152	1.268788715283451	0.002141238395079	4.117129589325404	0.5529609062287161	0.146165864212136	0.284380090611355	0.19072958701049403
24.0.	0.40937427641546403	0.16474462729314102	0.7420415060793291	1.492721501829573	0.815680099868599	4.332318530580793	0.420386310582722	1.7340129281851802	1.561313824443078	1.145463516845705	0.24068603786227702	1.3161389286215321	0.002231655605841	4.149636089883078	0.5475260855209421	0.14553015697003302	0.285409047431736	0.190745337300944
24.0.400000000000002.0	0.40054787260721103	0.16352229558720802	0.745793599595119	1.4350369072578362	0.8119377732978581	4.354009934428464	0.416317888873004	1.729401431977706	1.6213570400836521	1.141995918502747	0.249480442084372	1.362225919080378	0.002322831575494	4.179242764050024	0.5438695307122741	0.145224563812241	0.28704749419650705	0.19106575634837902
24.0.8.0	0.39376695435441306	0.162766690313897	0.749879774071154	1.392146920257812	0.808590715090534	4.377766102649351	0.41358093673733703	1.7247463390236741	1.676120278405333	1.138761226888547	0.25753887522782104	1.404610433134237	0.002411011056631	4.204529478180172	0.541727480381992	0.14517437245151402	0.288906400660222	0.19158436049537
25.0.200000000000003.0	0.38897994099439803	0.162438478872121	0.7538644913467191	1.362980499626832	0.805579397218603	4.401012100940464	0.412178373230762	1.720071917261841	1.724085073439828	1.135758189923549	0.264626562978722	1.442008152561367	0.0024939734096720003	4.22505449601885	0.5408231991303291	0.14531982091123602	0.290700203002467	0.19223260175661103
25.0.6.0	0.38603084816452504	0.162487454130329	0.7574736793423991	1.346060519117143	0.802841255184028	4.422128361978414	0.412041122779074	1.715393864588143	1.764522553022565	1.132971621701485	0.270628414743506	1.473778973320932	0.0025703605644230004	4.240993555301948	0.540895974244444	0.145612309486417	0.29223787225128	0.192962997162154
26.0.	0.38471402545391903	0.16285668552434102	0.7605387157219771	1.339808231749225	0.8003150587366791	4.440118997550116	0.41304729050422	1.7107219355233152	1.797102056904761	1.1303780650404631	0.27548983014913203	1.499609181899095	0.002639252112104	4.252839873832499	0.541712376411811	0.14601085994048402	0.293404042524381	0.19373815036046302
26.0.400000000000002.0	0.38480783184443	0.163486281229189	0.762955485916013	1.342696572934698	0.797943089831963	4.4543697579747015	0.415041936124583	1.706062100084287	1.8216640120493772	1.127949362760043	0.27918233959549604	1.519326909601183	0.002699914758512	4.261199710290619	0.543068059959373	0.146479597356682	0.294138569386585	0.194524745560053
26.0.8.0	0.38609392550077803	0.16431620614901501	0.7646568703216451	1.353314991448789	0.795672009339433	4.464485435875552	0.41785306103249004	1.701418088535498	1.838101189807694	1.125654765904782	0.28168555275205603	1.532804859785656	0.002751668448828	4.266672014002749	0.5447853112047161	0.14698617577900402	0.29441850988128904	0.195290767558706
27.0.200000000000003.0	0.38836694859550003	0.16528806496505602	0.7655955723458591	1.3703840570994261	0.7934530063282691	4.470188205281239	0.421302649866278	1.696792405101029	1.846310797092721	1.123462090834337	0.282979721437553	1.539919687881353	0.0027938308790170004	4.269788366540141	0.5467091170438181	0.147500850223091	0.294244038671718	0.19600450718696902
27.0.6.0	0.39143789527079803	0.16634600575177402	0.7657345248596411	1.39274198303832	0.7912416164072931	4.471260461092887	0.425213206810833	1.692186942913116	1.846194252075175	1.121338303479475	0.283045429089951	1.540549346214792	0.0028257176735060003	4.270991315885675	0.54870307596331	0.147995944517046	0.293628517406727	0.196634464472662
28.0.	0.39513339428737804	0.16743700836709502	0.7650428851790321	1.41931549132531	0.7889974613693591	4.467520360492287	0.42941087162735603	1.6876033154316081	1.83769116279628	1.1192498031713	0.28186839963369303	1.534597716378977	0.0028466861979570004	4.270635073501435	0.5506457673025581	0.14844557981696002	0.292592317317177	0.19714972599351402
28.0.400000000000002.0	0.39929242667817105	0.168510858869817	0.763496347632569	1.449082086102739	0.78668408119858	4.458822557021365	0.433726387067545	1.683042986347473	1.820839548435409	1.117162607116972	0.27944827346295303	1.52204050861628	0.0028562171587110004	4.26899824340255	0.552427916081564	0.148825632451683	0.29115976173144803	0.197520699033772
28.0.8.0	0.40376156856446804	0.16952011926215801	0.761081002509797	1.481028430811617	0.784268981334942	4.445079622371932	0.43799521351796505	1.678507248955441	1.795856217806985	1.115042593557544	0.275810507163336	1.502988153235149	0.002854030060121	4.266302572652017	0.553950618225578	0.149113960526328	0.28935851572272303	0.197720256023589
29.0.200000000000003.0	0.40838967376122803	0.170420400438472	0.7578001817821041	1.514109453193077	0.7817239850720861	4.426300994066699	0.44205808788201506	1.6739970829853932	1.763229571419223	1.112855936534365	0.27102033220083505	1.477760321536749	0.0028402258809610004	4.262734558404442	0.555124896640916	0.149290974534317	0.287220771345094	0.19772540937781702
29.0.6.0	0.413022979775489	0.17117122964636	0.753683591967312	1.5472146646949652	0.779025945967955	4.402645610182722	0.445763309722062	1.6695129044150052	1.723811950126001	1.110569845277274	0.26519694750502604	1.4469627074400782	0.0028154423237040003	4.258468292784202	0.5558728624339621	0.14934062464472903	0.28478556735821003	0.19751960740565103
