time	Ln_	NRLc	NRLm	NRLn	NRc	NRm	NRn	RE	REL
21.0.	0.004999999999995001	0.20895522388058602	0.208955223880417	0.40883721043730903	41.79104477611932	41.79104477611949	81.76744208754597	2.626279297983274	1.073720702016719
21.0.3.0	0.004999999999996001	0.208955223880589	0.20895522388047502	0.40883721043744403	41.79104477611932	41.79104477611943	81.76744208754558	2.626279297983018	1.073720702016975
21.0.599999999999998.0	0.004999999999997001	0.208955223880591	0.20895522388051502	0.408837210437535	41.79104477611932	41.7910447761194	81.76744208754529	2.626279297982845	1.073720702017147
21.0.9.0	0.004999999999998	0.208955223880593	0.20895522388054102	0.408837210437596	41.79104477611932	41.791044776119385	81.76744208754513	2.626279297982729	1.073720702017263
22.0.2.0	0.004999999999999	0.208955223880594	0.208955223880559	0.40883721043763804	41.79104477611932	41.79104477611937	81.76744208754499	2.6262792979826513	1.073720702017342
22.0.5.0	0.004999999999999	0.208955223880595	0.20895522388057103	0.408837210437665	41.79104477611932	41.79104477611937	81.76744208754486	2.626279297982599	1.073720702017394
22.0.8.0	0.004999999999999	0.208955223880595	0.20895522388057902	0.408837210437684	41.79104477611932	41.791044776119364	81.76744208754486	2.6262792979825633	1.07372070201743
23.0.099999999999998.0	0.004999999999999	0.208955223880595	0.20895522388058502	0.40883721043769705	41.79104477611932	41.791044776119364	81.76744208754486	2.626279297982539	1.073720702017454
23.0.4.0	0.004999999999999	0.208955223880596	0.20895522388058801	0.40883721043770604	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982522	1.07372070201747
23.0.7.0	0.004999999999999	0.208955223880596	0.208955223880591	0.40883721043771104	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982512	1.073720702017482
24.0.	0.004999999999999	0.208955223880596	0.208955223880593	0.40883721043771504	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982504	1.073720702017489
24.0.3.0	0.004999999999999	0.208955223880596	0.208955223880594	0.40883721043771803	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982499	1.073720702017494
