time	EGF	GS	Grb	PLCg	PLCgP	PLCgl	R	R2	RG	RGS	RP	RPLCg	RPLCgP	RSh	RShG	RShGS	RShP	Ra	SOS	ShG	ShGS	ShP	Shc
23.0.200000000000003.0	580.3579128901513	2.416821171758336	21.132856994905122	36.74676233730563	4.26015296303532	51.24601190249324	0.357912890151917	12.436176973425933	1.304398652754927	0.574386179014983	1.5080202910966252	3.211775169008194	9.535297628157752	0.6686657915320421	2.180888903489468	2.373346393346606	10.762726034162762	10.530723077869515	2.078252068711867	28.460107517562268	26.55719418716827	51.519231800413046	27.47783937232542
24.0.	580.3650199197846	2.347717730243529	20.436409785868115	34.65255326811249	4.304934938753521	53.41632990400895	0.365019919784959	12.94244976258407	1.33412717998884	0.5681436641541	1.5715954947710542	3.166911987338987	9.459269901786191	0.6379265790506611	2.066918030770702	2.256720627390039	10.441711992638144	10.74342963926948	2.032332329042773	29.194877332415036	26.79508564916962	53.543214487755584	25.06354530081009
24.0.8.0	580.3724185770916	2.28395078401941	19.807451244778587	32.59955300748572	4.345583383293129	55.56896308779444	0.37241857709243403	13.470546730837828	1.363058154008817	0.562528363941429	1.637801612772231	3.116100303200237	9.369800218226615	0.606733546988374	1.958442056144349	2.144299300374165	10.102443406799365	10.964074036320772	1.993708531096686	29.864757076164867	27.015513020568378	55.519296377021334	22.788515215939043
25.0.6.0	580.3800837368877	2.225376213256797	19.23954357271913	30.59225812296663	4.381738089828318	57.700920025340835	0.38008373688884706	14.019976562658334	1.3913815929449171	0.5575574094108521	1.706562996991484	3.059110026957766	9.265973734906563	0.575225963009394	1.855345617028989	2.036143085030196	9.746707453074048	11.191947379086098	1.960945210495063	30.474674427801965	27.219978081807163	57.43851318152988	20.653412190718218
26.0.400000000000002.0	580.3879907407272	2.171773891509926	18.726899302792756	28.6352238892677	4.413048785509071	59.808998949128	0.387990740728656	14.589975451625683	1.419276945867187	0.553241130868223	1.777763718640521	2.995774354440542	9.146954021654812	0.5435605179041361	1.757461579533556	1.93226642156645	9.3765634106171	11.426334153834954	1.93296338045955	31.02932555226598	27.40975517559592	59.292823357460684	18.658243985056025
27.0.200000000000003.0	580.3961145062254	2.122881947774975	18.264318364241625	26.732998456883223	4.439182975481223	61.88980364365689	0.396114506227255	15.179470693109138	1.4469108742271	0.5495847577920431	1.851243613650894	2.926003351903029	9.012011572075757	0.511909402115978	1.6645951521945221	1.8326478926027852	8.994320695679995	11.666489483070299	1.908936566235087	31.533112175571773	27.58594883559517	61.075164272678485	16.802301573561127
28.0.	580.4044287870134	2.078418845048334	17.84712671620927	24.890047488209337	4.4598347110022765	63.939765530701166	0.40442878701564206	15.787050195150163	1.474435613694073	0.546589526226643	1.9267953009870782	2.849797442234064	8.860554827853273	0.48045756327451605	1.576541812552447	1.737239374954929	8.602513551513818	11.911620796102387	1.888220277721612	31.990116135265765	27.749531976048548	62.779491133606804	15.08410845278303
28.0.8.0	580.4129055881249	2.038097174200518	17.471118363580246	23.110670671445845	4.474734159105074	65.95517249220059	0.412905588126494	16.41094045274933	1.501987716410981	0.5442533811413021	2.004162550947881	2.7672598978847622	8.692162779363873	0.449399096225896	1.493100096226563	1.645973946617987	8.20387020666415	12.160874163408097	1.8703036606379722	32.404097484420134	27.901371837402287	64.4008027286765	13.501384603766375
29.0.6.0	580.4215147459705	2.001631975656571	17.132501689216262	21.39891238565323	4.4836577218735325	67.93220481320108	0.421514745971779	17.048995658351224	1.529687060814918	0.542571402312897	2.083040367997476	2.678607309085276	8.506617770187027	0.41893278963225605	1.414080199102443	1.558772539948869	7.8012747153063104	12.413325628550869	1.8547758154194791	32.778506866285824	28.042248266662252	65.93515572731846	12.051028895743478
30.0.400000000000002.0	580.4302236840007	1.968745532517637	16.827850549578883	19.75846965392983	4.486438325353387	69.86697836790773	0.430223684001839	17.698700473460722	1.557636077133072	0.541536043259027	2.163077097375603	2.584176925833405	8.303936726975792	0.389256940903601	1.339309197005628	1.475549356515881	7.397720383135575	12.667977872801588	1.8413018793878941	33.11650605567028	28.172867188319632	67.37966763482993	10.729123243619354
