time	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
86.0.4.0	1.206967966035416	0.04992070315738201	15.868304975997328	3.104540738652973	-2.65614506586647e-67	-3.018529826945942e-37	5.446946576400759	21.954080000000115	56.376090371455625	11.836768219485341	0.293726481044641	0.24960453918195202	0.46548358372427706	4.788854525412442	0.00011187439498300001	0.000615059573965	0.32343408655649103	0.005081582800669	3.3899934537732612	7.575230264743942e-64	1.103257344357798	0.15903689931803	13.819335535787989
90.0.	1.1759174940256911	0.053088794763600004	14.735495383869281	3.329753076871229	-1.8099014997289058e-67	-2.690359739830382e-37	5.431435094780181	21.954080000000115	55.980963715570994	11.844158158955725	0.29373008515756605	0.24156335204519602	0.46548358372427706	4.788854525412442	0.00010827028205800001	0.000615059573965	0.26291114746085203	0.004201080946902001	3.373241135296201	-1.5688041539397629e-65	1.095787049873976	0.16167317010904	13.988796322731822
93.0.60000000000001.0	1.143627222977068	0.055881867637688	13.668286583944825	3.543933157758205	-1.549931144291748e-69	2.0746894548922672e-38	5.416077449634161	21.954080000000115	55.616729555305454	11.848363578366545	0.293733326126261	0.23433238111759702	0.46548358372427706	4.788854525412442	0.000105029313362	0.000615059573965	0.213035858946819	0.003453631138227	3.346217700194704	-8.804672104217219e-67	1.087660375655554	0.16395820490861202	14.112501881355925
97.0.2.0	1.110354280721657	0.058257676341852006	12.666288154543466	3.744782941677175	4.665402308944431e-71	-6.112423542162006e-40	5.400881083530256	21.954080000000115	55.28115606488487	11.85006291820467	0.293736244180611	0.22782186893678003	0.46548358372427706	4.788854525412442	0.00010211125901300001	0.000615059573965	0.172150529280189	0.002825081929678	3.310810066197534	-2.150839304530122e-68	1.078974521732468	0.165911955419645	14.192089416563256
100.0.8.0	1.076362620732268	0.060186621159865006	11.728653239853468	3.930304356704622	8.184814644126888e-73	-2.687719319636623e-41	5.385852083382911	21.954080000000115	54.97211332500599	11.849812177516949	0.29373887485884803	0.22195252565136403	0.46548358372427706	4.788854525412442	9.94805807765914e-05	0.000615059573965	0.13878938777864802	0.0023008687368280003	3.268672729958794	-2.870071151043542e-70	1.069814864870538	0.167554135756798	14.229688983220152
104.0.4.0	1.041915572324748	0.06165220289524401	10.85406275386562	4.098839996498891	-7.25611722888128e-75	3.9931505481042935e-42	5.37099535428912	21.954080000000115	54.687575231656574	11.848064716264416	0.293741249609321	0.21665418640623302	0.46548358372427706	4.788854525412442	9.710583030366834e-05	0.000615059573965	0.111677518307116	0.0018668254480010001	3.221233348131096	8.495560474652774e-73	1.060256475021876	0.168904073889105	14.227865693293486
108.0.	1.007268982975177	0.062650818696192	10.040741219774437	4.249099775265146	-2.228400398547745e-76	-2.0129243151321373e-43	5.35631477095079	21.954080000000115	54.42562201090224	11.845188131558539	0.293743396295762	0.211864684036418	0.46548358372427706	4.788854525412442	9.495914386258504e-05	0.000615059573965	0.08972128570849601	0.001509709558185	3.16970687646321	1.656222011486944e-73	1.05036539405336	0.169980596055294	14.189541632541786
111.0.60000000000001.0	0.9726652503736261	0.06319094718450201	9.286498489792855	4.380172582199254	3.956444350602405e-79	8.399151453227391e-46	5.341813310069678	21.954080000000115	54.184442635095074	11.841478647681345	0.293745339625794	0.20752889301563301	0.46548358372427706	4.788854525412442	9.30158138301473e-05	0.000615059573965	0.07199356916119401	0.0012175040089720001	3.115114734590289	5.053476598888726e-75	1.040199724193036	0.170801938359454	14.117904973403201
115.0.2.0	0.9383284536479131	0.06329181961374	8.588790470645378	4.491523215602054	3.584834188559856e-80	6.6010019480235704e-46	5.3274931664500365	21.954080000000115	53.962336605825215	11.837173369834831	0.293747101518171	0.203597910105506	0.46548358372427706	4.788854525412442	9.125392145350221e-05	0.000615059573965	0.057716315314427	0.0009795534452510001	3.058306342092668	8.72099682185601e-77	1.02981056348352	0.17138568082583602	14.016313866521308
118.0.8.0	0.9044606963413631	0.062981708245766	7.944791696989383	4.582975960099209	8.112096616496809e-83	-5.013579743290691e-47	5.313355855033333	21.954080000000115	53.75771474360575	11.832460688145249	0.29374870142075904	0.20002834489512303	0.46548358372427706	4.788854525412442	8.965401886529499e-05	0.000615059573965	0.046242221884266	0.000786584041834	2.9999811343886673	4.5245730306359867e-79	1.019242817277198	0.171748700045795	13.888201988073268
